split_a,pair_type,mean_hTw,frac_positive,n_pairs
1,within_long,19.5377,1.0,296400
1,cut,-8.0836,0.0,7800
1,cut,-40.2285,0.0,7800
1,within_long_d1,31.5686,1.0,76
1,within_long_d2,27.8435,1.0,74
1,within_long_d3,31.0197,1.0,72
1,within_long_d4,33.721,1.0,70
1,within_long_d5,34.6041,1.0,68
1,within_long_d6,29.8705,1.0,66
1,within_long_d7,31.3282,1.0,64
1,within_long_d8,46.1098,1.0,62
1,within_long_d9,24.1893,1.0,60
1,within_long_d10,10.8778,1.0,58
1,within_long_d11,10.8507,1.0,56
1,within_long_d12,10.8555,1.0,54
1,within_long_d13,10.8449,1.0,52
1,within_long_d14,10.8262,1.0,50
1,within_long_d15,10.7988,1.0,48
1,within_long_d16,10.763,1.0,46
1,within_long_d17,10.7204,1.0,44
1,within_long_d18,10.6752,1.0,42
1,within_long_d19,10.6277,1.0,40
1,within_long_d20,10.5786,1.0,38
1,within_long_d21,10.5291,1.0,36
1,within_long_d22,10.4708,1.0,34
1,within_long_d23,10.4119,1.0,32
1,within_long_d24,10.3754,1.0,30
1,within_long_d25,10.3582,1.0,28
1,within_long_d26,10.3389,1.0,26
1,within_long_d27,10.365,1.0,24
1,within_long_d28,10.4791,1.0,22
1,within_long_d29,10.4883,1.0,20
1,within_long_d30,10.2461,1.0,18
1,within_long_d31,10.0036,1.0,16
1,within_long_d32,10.0473,1.0,14
1,within_long_d33,10.1375,1.0,12
1,within_long_d34,10.3725,1.0,10
1,within_long_d35,10.9374,1.0,8
1,within_long_d36,11.6454,1.0,6
1,within_long_d37,12.5359,1.0,4
1,within_long_d38,12.8355,1.0,2
2,within_long,22.7698,1.0,281200
2,within_short,19.7714,1.0,400
2,cut,-26.1832,0.0,15200
2,cut,-12.7722,0.0,15200
2,within_long_d1,40.0246,1.0,74
2,within_long_d2,37.3666,1.0,72
2,within_long_d3,40.2024,1.0,70
2,within_long_d4,43.4971,1.0,68
2,within_long_d5,44.4738,1.0,66
2,within_long_d6,40.1257,1.0,64
2,within_long_d7,40.991,1.0,62
2,within_long_d8,48.7286,1.0,60
2,within_long_d9,26.8493,1.0,58
2,within_long_d10,11.4782,1.0,56
2,within_long_d11,11.4561,1.0,54
2,within_long_d12,11.3631,1.0,52
2,within_long_d13,11.2428,1.0,50
2,within_long_d14,11.0975,1.0,48
2,within_long_d15,10.943,1.0,46
2,within_long_d16,10.7773,1.0,44
2,within_long_d17,10.5982,1.0,42
2,within_long_d18,10.4062,1.0,40
2,within_long_d19,10.1935,1.0,38
2,within_long_d20,9.967,1.0,36
2,within_long_d21,9.7245,1.0,34
2,within_long_d22,9.4672,1.0,32
