cell,k,small_size,branch,category,value
k5_s2,5,2,dZ_attn1,within_short,14.03387
k5_s2,5,2,dZ_attn1,within_long_near,3.55406
k5_s2,5,2,dZ_attn1,within_long_far,0.39026
k5_s2,5,2,dZ_attn1,cross,0.90416
k5_s2,5,2,dZ_mlp1,within_short,6.35334
k5_s2,5,2,dZ_mlp1,within_long_near,1.09722
k5_s2,5,2,dZ_mlp1,within_long_far,1.06627
k5_s2,5,2,dZ_mlp1,cross,-0.32392
k5_s2,5,2,dZ_attn2,within_short,2.44789
k5_s2,5,2,dZ_attn2,within_long_near,15.17853
k5_s2,5,2,dZ_attn2,within_long_far,8.53364
k5_s2,5,2,dZ_attn2,cross,8.4669
k5_s2,5,2,dZ_mlp2,within_short,-22.54062
k5_s2,5,2,dZ_mlp2,within_long_near,1.97526
k5_s2,5,2,dZ_mlp2,within_long_far,11.36952
k5_s2,5,2,dZ_mlp2,cross,-16.19936
k5_s3,5,3,dZ_attn1,within_short,10.53664
k5_s3,5,3,dZ_attn1,within_long_near,3.56143
k5_s3,5,3,dZ_attn1,within_long_far,0.34831
k5_s3,5,3,dZ_attn1,cross,0.72769
k5_s3,5,3,dZ_mlp1,within_short,4.9924
k5_s3,5,3,dZ_mlp1,within_long_near,0.99994
k5_s3,5,3,dZ_mlp1,within_long_far,1.11882
k5_s3,5,3,dZ_mlp1,cross,0.35099
k5_s3,5,3,dZ_attn2,within_short,6.97584
k5_s3,5,3,dZ_attn2,within_long_near,16.97349
k5_s3,5,3,dZ_attn2,within_long_far,14.41441
k5_s3,5,3,dZ_attn2,cross,15.15034
k5_s3,5,3,dZ_mlp2,within_short,-21.34866
k5_s3,5,3,dZ_mlp2,within_long_near,1.71378
k5_s3,5,3,dZ_mlp2,within_long_far,8.67809
k5_s3,5,3,dZ_mlp2,cross,-24.2275
k5_s4,5,4,dZ_attn1,within_short,7.64885
k5_s4,5,4,dZ_attn1,within_long_near,3.51066
k5_s4,5,4,dZ_attn1,within_long_far,0.34425
k5_s4,5,4,dZ_attn1,cross,0.71591
