split_a,branch,category,value
4,dZ_attn1,within_short,2.04156
4,dZ_attn1,within_long_near,12.51508
4,dZ_attn1,within_long_far,13.64681
4,dZ_attn1,cross,9.60173
4,dZ_mlp1,within_short,-6.68189
4,dZ_mlp1,within_long_near,-7.78997
4,dZ_mlp1,within_long_far,-8.79459
4,dZ_mlp1,cross,-6.01953
4,dZ_attn2,within_short,7.58919
4,dZ_attn2,within_long_near,21.11982
4,dZ_attn2,within_long_far,22.33832
4,dZ_attn2,cross,11.0337
4,dZ_mlp2,within_short,0.91185
4,dZ_mlp2,within_long_near,4.5551
4,dZ_mlp2,within_long_far,5.93424
4,dZ_mlp2,cross,-35.48445
23,dZ_attn1,within_short,12.15785
23,dZ_attn1,within_long_near,12.05222
23,dZ_attn1,within_long_far,14.48497
23,dZ_attn1,cross,11.24054
23,dZ_mlp1,within_short,-7.61035
23,dZ_mlp1,within_long_near,-7.54267
23,dZ_mlp1,within_long_far,-9.2077
23,dZ_mlp1,cross,-7.34283
23,dZ_attn2,within_short,16.50243
23,dZ_attn2,within_long_near,16.5998
23,dZ_attn2,within_long_far,14.89202
23,dZ_attn2,cross,10.95825
23,dZ_mlp2,within_short,-6.53631
23,dZ_mlp2,within_long_near,-6.63001
23,dZ_mlp2,within_long_far,-5.81631
23,dZ_mlp2,cross,-11.83165
