split_a,branch,category,value
4,dZ_attn1,within_short,5.69042
4,dZ_attn1,within_long_near,7.00472
4,dZ_attn1,within_long_far,5.71342
4,dZ_attn1,cross,6.08105
4,dZ_mlp1,within_short,-0.25843
4,dZ_mlp1,within_long_near,-3.82769
4,dZ_mlp1,within_long_far,-3.05516
4,dZ_mlp1,cross,-4.47271
4,dZ_attn2,within_short,0.93053
4,dZ_attn2,within_long_near,13.45325
4,dZ_attn2,within_long_far,15.90227
4,dZ_attn2,cross,11.94203
4,dZ_mlp2,within_short,-0.06636
4,dZ_mlp2,within_long_near,-1.10244
4,dZ_mlp2,within_long_far,-1.11226
4,dZ_mlp2,cross,-22.17489
8,dZ_attn1,within_short,9.04715
8,dZ_attn1,within_long_near,6.99796
8,dZ_attn1,within_long_far,5.70663
8,dZ_attn1,cross,5.72585
8,dZ_mlp1,within_short,-5.01954
8,dZ_mlp1,within_long_near,-3.8371
8,dZ_mlp1,within_long_far,-3.06012
8,dZ_mlp1,cross,-3.05287
8,dZ_attn2,within_short,5.41443
8,dZ_attn2,within_long_near,7.34471
8,dZ_attn2,within_long_far,6.85157
8,dZ_attn2,cross,6.31724
8,dZ_mlp2,within_short,0.10305
8,dZ_mlp2,within_long_near,-0.09797
8,dZ_mlp2,within_long_far,0.77263
8,dZ_mlp2,cross,-21.3761
10,dZ_attn1,within_short,8.30298
10,dZ_attn1,within_long_near,7.00713
10,dZ_attn1,within_long_far,5.70909
10,dZ_attn1,cross,5.70431
10,dZ_mlp1,within_short,-4.63723
10,dZ_mlp1,within_long_near,-3.82672
10,dZ_mlp1,within_long_far,-3.03904
10,dZ_mlp1,cross,-3.0687
10,dZ_attn2,within_short,7.49486
10,dZ_attn2,within_long_near,7.35224
10,dZ_attn2,within_long_far,6.88288
10,dZ_attn2,cross,6.52342
10,dZ_mlp2,within_short,0.46329
10,dZ_mlp2,within_long_near,-0.11193
10,dZ_mlp2,within_long_far,0.7599
10,dZ_mlp2,cross,-20.2926
23,dZ_attn1,within_short,6.78212
23,dZ_attn1,within_long_near,6.9887
23,dZ_attn1,within_long_far,5.68973
23,dZ_attn1,cross,5.70489
23,dZ_mlp1,within_short,-3.69295
23,dZ_mlp1,within_long_near,-3.82526
23,dZ_mlp1,within_long_far,-3.04729
23,dZ_mlp1,cross,-3.04833
23,dZ_attn2,within_short,7.44311
23,dZ_attn2,within_long_near,7.35401
23,dZ_attn2,within_long_far,7.81341
23,dZ_attn2,cross,6.57927
23,dZ_mlp2,within_short,0.09758
23,dZ_mlp2,within_long_near,-0.1054
23,dZ_mlp2,within_long_far,1.22213
23,dZ_mlp2,cross,0.64399
