cell,s1,s2,s3,stage,mu_1,mu_2,mu_3,mu_12,mu_13,mu_23
s7_15_24,7,15,24,H0,0.26505,0.11624,0.06972,-0.01697,-0.01761,-0.01474
s7_15_24,7,15,24,Hattn1,0.55666,0.27269,0.18596,0.04557,0.0291,0.03138
s7_15_24,7,15,24,H1,0.50893,0.30134,0.2555,0.16894,0.13298,0.13578
s7_15_24,7,15,24,Hattn2,0.8907,0.85467,0.74343,0.58682,0.53249,0.44673
s7_15_24,7,15,24,H2,0.99714,0.94999,0.93689,-0.73618,-0.93144,0.73123
