condition,split_a,exact,reach_long,reach_short,cut
baseline,1,1.0,1.0,nan,1.0
baseline,4,1.0,1.0,1.0,1.0
baseline,7,0.96,0.9999,1.0,0.9998
baseline,8,0.9667,0.9997,1.0,0.9999
baseline,10,1.0,1.0,1.0,1.0
zero_attn0,1,0.0,0.1158,nan,0.9998
zero_attn0,4,0.0,0.136,0.5011,0.9907
zero_attn0,7,0.0,0.1658,0.2898,0.9885
zero_attn0,8,0.0,0.1769,0.2564,0.9875
zero_attn0,10,0.0,0.2086,0.2093,0.9888
zero_attn1,1,0.0,0.5214,nan,0.8349
zero_attn1,4,0.0,0.5389,1.0,0.7992
zero_attn1,7,0.0,0.5708,0.7357,0.8034
zero_attn1,8,0.0,0.5852,0.6817,0.7903
zero_attn1,10,0.0,0.6173,0.6213,0.7779
zero_mlp0,1,0.0,0.6835,nan,0.4384
zero_mlp0,4,0.0,0.7011,0.9778,0.7482
zero_mlp0,7,0.0,0.731,0.8041,0.7089
zero_mlp0,8,0.0,0.7484,0.8042,0.6782
zero_mlp0,10,0.0,0.7856,0.7726,0.6665
zero_mlp1,1,0.0,0.9886,nan,0.6172
zero_mlp1,4,0.0,0.9866,0.9072,0.5605
zero_mlp1,7,0.0,0.9742,0.9987,0.5376
zero_mlp1,8,0.0,0.9813,1.0,0.4937
zero_mlp1,10,0.0,1.0,1.0,0.4587
bypass,1,0.0,0.435,nan,0.6737
bypass,4,0.0,0.4427,0.5561,0.6352
bypass,7,0.0,0.4527,0.5119,0.6237
bypass,8,0.0,0.459,0.4862,0.6157
bypass,10,0.0,0.4617,0.4684,0.6135
