split_a,branch,category,value
4,dZ_attn1,within_short,8.76036
4,dZ_attn1,within_long_near,3.5813
4,dZ_attn1,within_long_far,0.23842
4,dZ_attn1,cross,0.18939
4,dZ_mlp1,within_short,-1.24169
4,dZ_mlp1,within_long_near,2.18386
4,dZ_mlp1,within_long_far,2.94872
4,dZ_mlp1,cross,2.59297
4,dZ_attn2,within_short,5.36582
4,dZ_attn2,within_long_near,14.01935
4,dZ_attn2,within_long_far,10.56038
4,dZ_attn2,cross,7.98998
4,dZ_mlp2,within_short,-0.47488
4,dZ_mlp2,within_long_near,6.66657
4,dZ_mlp2,within_long_far,16.27216
4,dZ_mlp2,cross,-32.40679
23,dZ_attn1,within_short,2.50591
23,dZ_attn1,within_long_near,3.77321
23,dZ_attn1,within_long_far,0.2557
23,dZ_attn1,cross,0.26964
23,dZ_mlp1,within_short,2.27857
23,dZ_mlp1,within_long_near,1.81846
23,dZ_mlp1,within_long_far,3.14074
23,dZ_mlp1,cross,3.05864
23,dZ_attn2,within_short,12.27753
23,dZ_attn2,within_long_near,12.74916
23,dZ_attn2,within_long_far,11.49047
23,dZ_attn2,cross,3.45889
23,dZ_mlp2,within_short,-5.32607
23,dZ_mlp2,within_long_near,-7.22084
23,dZ_mlp2,within_long_far,-2.18247
23,dZ_mlp2,cross,-9.30597
