split_a,stage,quantity,value
4,H0,mu_short,0.50642
4,H0,mu_long_near,0.11606
4,H0,mu_long_far,-0.0087
4,H0,mu_cross,-0.01117
4,H0,M_far,0.00246
4,Hattn1,mu_short,0.80598
4,Hattn1,mu_long_near,0.12954
4,Hattn1,mu_long_far,-0.0581
4,Hattn1,mu_cross,-0.05409
4,Hattn1,M_far,-0.00401
4,H1,mu_short,0.78245
4,H1,mu_long_near,0.18664
4,H1,mu_long_far,0.02087
4,H1,mu_cross,0.06461
4,H1,M_far,-0.04374
4,Hattn2,mu_short,0.86584
4,Hattn2,mu_long_near,0.61382
4,Hattn2,mu_long_far,0.40928
4,Hattn2,mu_cross,0.46835
4,Hattn2,M_far,-0.05907
4,H2,mu_short,0.90021
4,H2,mu_long_near,0.67527
4,H2,mu_long_far,0.27213
4,H2,mu_cross,-0.23984
4,H2,M_far,0.51197
23,H0,mu_short,0.0788
23,H0,mu_long_near,0.12835
23,H0,mu_long_far,-0.00941
23,H0,mu_cross,-0.00883
23,H0,M_far,-0.00058
23,Hattn1,mu_short,0.07646
23,Hattn1,mu_long_near,0.15112
23,Hattn1,mu_long_far,-0.0564
23,Hattn1,mu_cross,-0.05748
23,Hattn1,M_far,0.00109
23,H1,mu_short,0.14248
23,H1,mu_long_near,0.19976
23,H1,mu_long_far,0.04073
23,H1,mu_cross,0.03315
23,H1,M_far,0.00759
23,Hattn2,mu_short,0.55015
23,Hattn2,mu_long_near,0.62413
23,Hattn2,mu_long_far,0.42489
23,Hattn2,mu_cross,0.40266
23,Hattn2,M_far,0.02223
23,H2,mu_short,0.4317
23,H2,mu_long_near,0.61062
23,H2,mu_long_far,0.11309
23,H2,mu_cross,-0.0019
23,H2,M_far,0.11499
