split_a,pair_type,mean_hTw,frac_positive,n_pairs
1,within_long,10.0673,0.9264,68400
1,cut,-22.8925,0.0,3800
1,cut,-20.4407,0.0,3800
1,within_long_d1,18.8593,1.0,36
1,within_long_d2,20.7638,1.0,34
1,within_long_d3,21.3279,1.0,32
1,within_long_d4,12.9657,1.0,30
1,within_long_d5,9.7622,1.0,28
1,within_long_d6,6.9981,1.0,26
1,within_long_d7,4.734,0.9954,24
1,within_long_d8,3.2572,0.9432,22
1,within_long_d9,2.5257,0.8377,20
1,within_long_d10,2.2918,0.7844,18
1,within_long_d11,2.4604,0.7222,16
1,within_long_d12,2.7983,0.6679,14
1,within_long_d13,3.0629,0.6517,12
1,within_long_d14,3.5218,0.7465,10
1,within_long_d15,4.5017,0.8906,8
1,within_long_d16,5.5162,1.0,6
1,within_long_d17,5.6689,1.0,4
1,within_long_d18,5.9994,1.0,2
2,within_long,11.8936,0.9729,61200
2,within_short,10.6984,1.0,400
2,cut,-24.9776,0.0,7200
2,cut,-8.117,0.0,7200
2,within_long_d1,21.4707,1.0,34
2,within_long_d2,23.6735,1.0,32
2,within_long_d3,23.928,1.0,30
2,within_long_d4,13.6298,1.0,28
2,within_long_d5,10.5587,1.0,26
2,within_long_d6,8.0169,1.0,24
2,within_long_d7,5.8559,0.9989,22
2,within_long_d8,4.5773,0.9842,20
2,within_long_d9,4.1135,0.9481,18
2,within_long_d10,3.9881,0.9294,16
2,within_long_d11,3.8429,0.9075,14
2,within_long_d12,3.5868,0.8433,12
2,within_long_d13,3.4824,0.817,10
2,within_long_d14,4.0194,0.8925,8
2,within_long_d15,4.9265,0.9975,6
2,within_long_d16,5.4119,1.0,4
2,within_long_d17,6.1148,1.0,2
3,within_long,14.9335,0.9999,54400
3,within_short,7.2364,0.9833,1200
3,cut,-16.1712,0.0,10200
3,cut,-5.1692,0.0001,10200
3,within_long_d1,25.4816,1.0,32
3,within_long_d2,27.649,1.0,30
3,within_long_d3,27.3672,1.0,28
3,within_long_d4,15.4895,1.0,26
3,within_long_d5,12.6571,1.0,24
3,within_long_d6,10.2973,1.0,22
3,within_long_d7,8.2248,1.0,20
3,within_long_d8,7.0597,1.0,18
3,within_long_d9,6.6531,1.0,16
3,within_long_d10,6.2745,1.0,14
3,within_long_d11,5.5362,0.9996,12
3,within_long_d12,5.0573,0.9985,10
3,within_long_d13,5.1874,0.9981,8
3,within_long_d14,5.743,1.0,6
3,within_long_d15,6.1993,1.0,4
3,within_long_d16,7.0465,1.0,2
4,within_long,14.1751,1.0,48000
4,within_short,8.6197,1.0,2400
4,cut,-6.0037,0.0099,12800
4,cut,-3.5658,0.0104,12800
4,within_long_d1,23.3108,1.0,30
4,within_long_d2,24.8645,1.0,28
4,within_long_d3,24.5779,1.0,26
4,within_long_d4,14.2304,1.0,24
4,within_long_d5,12.086,1.0,22
4,within_long_d6,10.196,1.0,20
