split_a,pair_type,mean_hTw,frac_positive,n_pairs
1,within_long,4.4187,0.8874,68400
1,cut,-18.8621,0.0,3800
1,cut,-17.0992,0.0,3800
1,within_long_d1,19.85,1.0,36
1,within_long_d2,9.2534,1.0,34
1,within_long_d3,5.0156,1.0,32
1,within_long_d4,2.8497,0.9977,30
1,within_long_d5,1.8902,0.9632,28
1,within_long_d6,1.4058,0.9104,26
1,within_long_d7,1.1976,0.8723,24
1,within_long_d8,1.0671,0.8352,22
1,within_long_d9,0.9675,0.798,20
1,within_long_d10,0.8924,0.7719,18
1,within_long_d11,0.83,0.7494,16
1,within_long_d12,0.779,0.7175,14
1,within_long_d13,0.7566,0.6904,12
1,within_long_d14,0.7785,0.6885,10
1,within_long_d15,0.8303,0.6987,8
1,within_long_d16,0.9358,0.7158,6
1,within_long_d17,1.0242,0.825,4
1,within_long_d18,0.7347,0.69,2
2,within_long,4.7739,0.887,61200
2,within_short,28.1051,1.0,400
2,cut,-15.7998,0.0,7200
2,cut,-9.3904,0.0,7200
2,within_long_d1,19.6934,1.0,34
2,within_long_d2,9.7394,1.0,32
2,within_long_d3,5.4777,1.0,30
2,within_long_d4,3.1936,0.9959,28
2,within_long_d5,2.1122,0.9596,26
2,within_long_d6,1.5801,0.9075,24
2,within_long_d7,1.3381,0.8605,22
2,within_long_d8,1.1573,0.8175,20
2,within_long_d9,1.0226,0.7825,18
2,within_long_d10,0.9335,0.7644,16
2,within_long_d11,0.842,0.7121,14
2,within_long_d12,0.7469,0.6521,12
2,within_long_d13,0.7455,0.654,10
2,within_long_d14,0.8636,0.71,8
2,within_long_d15,0.8701,0.6658,6
2,within_long_d16,1.1346,0.8762,4
2,within_long_d17,1.0901,0.855,2
3,within_long,2.6147,0.5144,54400
3,within_short,7.9868,0.9967,1200
3,cut,-3.9434,0.0,10200
3,cut,-4.7673,0.0,10200
3,within_long_d1,15.5001,1.0,32
3,within_long_d2,6.2221,0.9998,30
3,within_long_d3,3.0421,0.9866,28
3,within_long_d4,1.1312,0.741,26
3,within_long_d5,0.2646,0.451,24
3,within_long_d6,-0.2138,0.275,22
3,within_long_d7,-0.4837,0.1898,20
3,within_long_d8,-0.6385,0.1569,18
3,within_long_d9,-0.7251,0.1394,16
3,within_long_d10,-0.8138,0.1304,14
3,within_long_d11,-0.9663,0.1221,12
3,within_long_d12,-1.068,0.0835,10
3,within_long_d13,-1.0543,0.0638,8
3,within_long_d14,-1.0897,0.055,6
3,within_long_d15,-1.1367,0.0475,4
3,within_long_d16,-0.8786,0.0725,2
4,within_long,3.1288,0.5766,48000
4,within_short,7.4822,0.9712,2400
4,cut,-3.4576,0.0004,12800
4,cut,-4.5202,0.0,12800
4,within_long_d1,16.7587,1.0,30
4,within_long_d2,6.1154,0.9998,28
4,within_long_d3,3.0425,0.9954,26
4,within_long_d4,1.3874,0.86,24
4,within_long_d5,0.5577,0.5718,22
4,within_long_d6,0.0688,0.353,20
4,within_long_d7,-0.2089,0.2561,18
4,within_long_d8,-0.3661,0.1966,16
4,within_long_d9,-0.4778,0.1761,14
4,within_long_d10,-0.6396,0.1367,12
4,within_long_d11,-0.7869,0.0995,10
4,within_long_d12,-0.8531,0.0694,8
4,within_long_d13,-0.9348,0.0583,6
4,within_long_d14,-0.9328,0.0625,4
4,within_long_d15,-0.5527,0.1075,2
5,within_long,3.9619,0.6102,42000
5,within_short,7.0205,0.8808,4000
5,cut,-2.2449,0.0321,15000
5,cut,-3.5387,0.0161,15000
5,within_long_d1,20.5185,1.0,28
5,within_long_d2,6.9184,1.0,26
5,within_long_d3,3.1505,0.9885,24
5,within_long_d4,1.404,0.8318,22
5,within_long_d5,0.5993,0.579,20
5,within_long_d6,0.1141,0.3936,18
5,within_long_d7,-0.159,0.3034,16
5,within_long_d8,-0.3502,0.2396,14
5,within_long_d9,-0.5667,0.1946,12
5,within_long_d10,-0.8059,0.128,10
5,within_long_d11,-1.0147,0.0875,8
5,within_long_d12,-1.1139,0.0683,6
5,within_long_d13,-1.1128,0.075,4
5,within_long_d14,-0.6865,0.105,2
6,within_long,4.5225,0.6367,36400
6,within_short,6.8438,0.8185,6000
6,cut,-1.7104,0.0584,16800
6,cut,-2.6996,0.0298,16800
6,within_long_d1,21.323,1.0,26
6,within_long_d2,7.6069,1.0,24
6,within_long_d3,3.5661,0.9952,22
6,within_long_d4,1.5833,0.8365,20
6,within_long_d5,0.6493,0.5889,18
6,within_long_d6,0.0915,0.4088,16
6,within_long_d7,-0.2272,0.3,14
6,within_long_d8,-0.4997,0.2263,12
6,within_long_d9,-0.7621,0.145,10
6,within_long_d10,-1.0027,0.0931,8
6,within_long_d11,-1.0979,0.0725,6
6,within_long_d12,-1.0891,0.0862,4
6,within_long_d13,-0.6873,0.1125,2
7,within_long,4.959,0.641,31200
7,within_short,6.8011,0.7667,8400
7,cut,-1.3538,0.0632,18200
7,cut,-2.3886,0.0194,18200
7,within_long_d1,21.6866,1.0,24
7,within_long_d2,8.0453,1.0,22
7,within_long_d3,3.809,0.9952,20
7,within_long_d4,1.6174,0.8153,18
7,within_long_d5,0.5633,0.5578,16
7,within_long_d6,-0.0627,0.35,14
7,within_long_d7,-0.4836,0.2279,12
7,within_long_d8,-0.8407,0.1455,10
7,within_long_d9,-1.132,0.08,8
7,within_long_d10,-1.2265,0.0592,6
7,within_long_d11,-1.241,0.0712,4
7,within_long_d12,-0.8571,0.0575,2
8,within_long,5.468,0.6732,26400
8,within_short,6.99,0.7601,11200
8,cut,-1.1365,0.0858,19200
8,cut,-1.8298,0.0332,19200
8,within_long_d1,21.8516,1.0,22
8,within_long_d2,8.2337,1.0,20
8,within_long_d3,4.038,0.9983,18
8,within_long_d4,1.7627,0.8403,16
8,within_long_d5,0.6109,0.5761,14
8,within_long_d6,-0.1483,0.3312,12
8,within_long_d7,-0.689,0.1855,10
8,within_long_d8,-1.1066,0.0938,8
8,within_long_d9,-1.2948,0.065,6
8,within_long_d10,-1.402,0.0775,4
8,within_long_d11,-1.0883,0.05,2
9,within_long,5.8138,0.6937,22000
9,within_short,6.6929,0.7391,14400
9,cut,-1.2046,0.0747,19800
9,cut,-1.4697,0.0551,19800
9,within_long_d1,21.4627,1.0,20
9,within_long_d2,8.0149,1.0,18
9,within_long_d3,3.9716,0.9956,16
9,within_long_d4,1.6995,0.8389,14
9,within_long_d5,0.4793,0.5271,12
9,within_long_d6,-0.4139,0.258,10
9,within_long_d7,-0.9573,0.115,8
9,within_long_d8,-1.2213,0.0692,6
