split_a,stage,quantity,value
4,H0,mu_short,0.44191
4,H0,mu_long_near,0.09306
4,H0,mu_long_far,-0.04055
4,H0,mu_cross,-0.06214
4,H0,M_far,0.02158
4,Hattn1,mu_short,0.74798
4,Hattn1,mu_long_near,0.27061
4,Hattn1,mu_long_far,0.01982
4,Hattn1,mu_cross,-0.02202
4,Hattn1,M_far,0.04183
4,H1,mu_short,0.36708
4,H1,mu_long_near,0.30171
4,H1,mu_long_far,0.09164
4,H1,mu_cross,-0.00931
4,H1,M_far,0.10095
4,Hattn2,mu_short,0.6213
4,Hattn2,mu_long_near,0.71526
4,Hattn2,mu_long_far,0.27096
4,Hattn2,mu_cross,0.23733
4,Hattn2,M_far,0.03363
4,H2,mu_short,0.88902
4,H2,mu_long_near,0.70749
4,H2,mu_long_far,0.50309
4,H2,mu_cross,-0.26711
4,H2,M_far,0.7702
7,H0,mu_short,0.23007
7,H0,mu_long_near,0.09395
7,H0,mu_long_far,-0.04159
7,H0,mu_cross,-0.05003
7,H0,M_far,0.00844
7,Hattn1,mu_short,0.49841
7,Hattn1,mu_long_near,0.27227
7,Hattn1,mu_long_far,0.01822
7,Hattn1,mu_cross,-0.00022
7,Hattn1,M_far,0.01844
7,H1,mu_short,0.36106
7,H1,mu_long_near,0.30054
7,H1,mu_long_far,0.08682
7,H1,mu_cross,0.04613
7,H1,M_far,0.04069
7,Hattn2,mu_short,0.808
7,Hattn2,mu_long_near,0.71187
7,Hattn2,mu_long_far,0.27411
7,Hattn2,mu_cross,0.21931
7,Hattn2,M_far,0.0548
7,H2,mu_short,0.87409
7,H2,mu_long_near,0.74314
7,H2,mu_long_far,0.55442
7,H2,mu_cross,-0.34547
7,H2,M_far,0.8999
8,H0,mu_short,0.19588
8,H0,mu_long_near,0.0943
8,H0,mu_long_far,-0.04199
8,H0,mu_cross,-0.04807
8,H0,M_far,0.00608
8,Hattn1,mu_short,0.44293
8,Hattn1,mu_long_near,0.27304
8,Hattn1,mu_long_far,0.01732
8,Hattn1,mu_cross,0.00362
8,Hattn1,M_far,0.0137
8,H1,mu_short,0.32698
8,H1,mu_long_near,0.2998
8,H1,mu_long_far,0.0852
8,H1,mu_cross,0.05509
8,H1,M_far,0.03011
8,Hattn2,mu_short,0.78885
8,Hattn2,mu_long_near,0.69619
8,Hattn2,mu_long_far,0.24066
8,Hattn2,mu_cross,0.1674
8,Hattn2,M_far,0.07326
8,H2,mu_short,0.85986
8,H2,mu_long_near,0.61674
8,H2,mu_long_far,0.35174
8,H2,mu_cross,-0.31458
8,H2,M_far,0.66633
10,H0,mu_short,0.14983
10,H0,mu_long_near,0.09524
10,H0,mu_long_far,-0.04316
10,H0,mu_cross,-0.04543
10,H0,M_far,0.00227
10,Hattn1,mu_short,0.36386
10,Hattn1,mu_long_near,0.27363
10,Hattn1,mu_long_far,0.01497
10,Hattn1,mu_cross,0.00936
10,Hattn1,M_far,0.00561
10,H1,mu_short,0.29159
10,H1,mu_long_near,0.29915
10,H1,mu_long_far,0.08245
10,H1,mu_cross,0.06633
10,H1,M_far,0.01612
10,Hattn2,mu_short,0.76214
10,Hattn2,mu_long_near,0.69898
10,Hattn2,mu_long_far,0.26548
10,Hattn2,mu_cross,0.13299
10,Hattn2,M_far,0.1325
10,H2,mu_short,0.82364
10,H2,mu_long_near,0.61597
10,H2,mu_long_far,0.37518
10,H2,mu_cross,-0.24979
10,H2,M_far,0.62497
14,H0,mu_short,0.09681
14,H0,mu_long_near,0.09749
14,H0,mu_long_far,-0.04548
14,H0,mu_cross,-0.04287
14,H0,M_far,-0.00261
14,Hattn1,mu_short,0.27255
14,Hattn1,mu_long_near,0.27759
14,Hattn1,mu_long_far,0.01106
14,Hattn1,mu_cross,0.01416
14,Hattn1,M_far,-0.00309
14,H1,mu_short,0.25166
14,H1,mu_long_near,0.29657
14,H1,mu_long_far,0.07186
14,H1,mu_cross,0.07908
14,H1,M_far,-0.00722
14,Hattn2,mu_short,0.73455
14,Hattn2,mu_long_near,0.70568
14,Hattn2,mu_long_far,0.32101
14,Hattn2,mu_cross,0.11286
14,Hattn2,M_far,0.20815
14,H2,mu_short,0.71431
14,H2,mu_long_near,0.61732
14,H2,mu_long_far,0.43602
14,H2,mu_cross,-0.11723
14,H2,M_far,0.55325
20,H0,mu_short,0.05813
20,H0,mu_long_near,0.10301
20,H0,mu_long_far,-0.0508
20,H0,mu_cross,-0.04171
20,H0,M_far,-0.00909
20,Hattn1,mu_short,0.20349
20,Hattn1,mu_long_near,0.28621
20,Hattn1,mu_long_far,0.0012
20,Hattn1,mu_cross,0.0164
20,Hattn1,M_far,-0.0152
20,H1,mu_short,0.22114
20,H1,mu_long_near,0.28886
20,H1,mu_long_far,0.05032
20,H1,mu_cross,0.0844
20,H1,M_far,-0.03408
20,Hattn2,mu_short,0.64876
20,Hattn2,mu_long_near,0.72644
20,Hattn2,mu_long_far,0.45775
20,Hattn2,mu_cross,0.10605
20,Hattn2,M_far,0.3517
20,H2,mu_short,0.60346
20,H2,mu_long_near,0.62339
20,H2,mu_long_far,0.5528
20,H2,mu_cross,0.04224
20,H2,M_far,0.51056
