split_a,pair_type,mean_hTw,frac_positive,n_pairs
1,within_long,17.8513,1.0,296400
1,cut,-8.9058,0.0,7800
1,cut,-34.4864,0.0,7800
1,within_long_d1,27.2268,1.0,76
1,within_long_d2,25.0769,1.0,74
1,within_long_d3,27.7669,1.0,72
1,within_long_d4,30.3155,1.0,70
1,within_long_d5,30.7759,1.0,68
1,within_long_d6,26.9194,1.0,66
1,within_long_d7,30.0908,1.0,64
1,within_long_d8,42.9622,1.0,62
1,within_long_d9,22.2453,1.0,60
1,within_long_d10,10.4079,1.0,58
1,within_long_d11,10.3694,1.0,56
1,within_long_d12,10.3601,1.0,54
1,within_long_d13,10.3351,1.0,52
1,within_long_d14,10.2938,1.0,50
1,within_long_d15,10.2438,1.0,48
1,within_long_d16,10.195,1.0,46
1,within_long_d17,10.127,1.0,44
1,within_long_d18,10.0605,1.0,42
1,within_long_d19,10.0008,1.0,40
1,within_long_d20,9.9407,1.0,38
1,within_long_d21,9.8759,1.0,36
1,within_long_d22,9.7989,1.0,34
1,within_long_d23,9.7005,1.0,32
1,within_long_d24,9.6153,1.0,30
1,within_long_d25,9.5285,1.0,28
1,within_long_d26,9.4257,1.0,26
1,within_long_d27,9.3645,1.0,24
1,within_long_d28,9.3954,1.0,22
1,within_long_d29,9.3498,1.0,20
1,within_long_d30,9.0637,1.0,18
1,within_long_d31,8.6755,1.0,16
1,within_long_d32,8.491,1.0,14
1,within_long_d33,8.4121,1.0,12
1,within_long_d34,8.4815,1.0,10
1,within_long_d35,8.8709,1.0,8
1,within_long_d36,9.3523,1.0,6
1,within_long_d37,10.3416,1.0,4
1,within_long_d38,10.1788,1.0,2
2,within_long,22.6168,0.998,281200
2,within_short,25.5048,1.0,400
2,cut,-25.5454,0.0,15200
2,cut,-13.8769,0.0,15200
2,within_long_d1,38.9124,1.0,74
2,within_long_d2,37.4829,1.0,72
2,within_long_d3,39.8241,1.0,70
2,within_long_d4,43.1005,1.0,68
2,within_long_d5,43.6831,1.0,66
2,within_long_d6,39.7324,1.0,64
2,within_long_d7,41.3471,1.0,62
2,within_long_d8,47.6649,1.0,60
2,within_long_d9,26.3601,1.0,58
2,within_long_d10,11.5278,0.9977,56
2,within_long_d11,11.4967,0.9977,54
2,within_long_d12,11.4112,0.9975,52
2,within_long_d13,11.2967,0.9976,50
2,within_long_d14,11.1584,0.9973,48
2,within_long_d15,11.0041,0.9971,46
2,within_long_d16,10.8387,0.9972,44
2,within_long_d17,10.6566,0.997,42
2,within_long_d18,10.4666,0.9969,40
2,within_long_d19,10.2571,0.9971,38
2,within_long_d20,10.0328,0.9965,36
2,within_long_d21,9.7995,0.9962,34
