condition,split_a,exact,reach_long,reach_short,cut
baseline,1,0.0,0.9403,nan,1.0
baseline,4,0.78,0.9987,1.0,0.9997
baseline,7,0.0,0.9561,1.0,0.5541
baseline,8,0.0,0.9077,1.0,0.5949
baseline,10,0.0,0.8373,0.9997,0.5966
baseline,14,0.0,0.8759,0.991,0.3824
baseline,17,0.0,0.9092,0.9726,0.2921
baseline,20,0.0,0.9316,0.936,0.2801
zero_attn0,1,0.0,0.0444,nan,1.0
zero_attn0,4,0.0,0.0482,0.4106,0.9998
zero_attn0,7,0.0,0.0528,0.2448,0.9997
zero_attn0,8,0.0,0.0546,0.2168,0.9996
zero_attn0,10,0.0,0.0584,0.1727,0.9997
zero_attn0,14,0.0,0.0663,0.1245,0.9998
zero_attn0,17,0.0,0.0752,0.1021,0.9997
zero_attn0,20,0.0,0.0866,0.086,0.9997
zero_attn1,1,0.0,0.1455,nan,0.9829
zero_attn1,4,0.0,0.1568,1.0,1.0
zero_attn1,7,0.0,0.1707,0.7071,1.0
zero_attn1,8,0.0,0.1764,0.632,1.0
zero_attn1,10,0.0,0.1874,0.5237,1.0
zero_attn1,14,0.0,0.2155,0.3862,1.0
zero_attn1,17,0.0,0.2417,0.3227,1.0
zero_attn1,20,0.0,0.2766,0.2759,1.0
zero_mlp0,1,0.0,0.5053,nan,1.0
zero_mlp0,4,0.0,0.5854,0.9967,0.8052
zero_mlp0,7,0.0,0.5061,0.9998,0.8161
zero_mlp0,8,0.0,0.4967,0.9736,0.8156
zero_mlp0,10,0.0,0.5032,0.8787,0.8143
zero_mlp0,14,0.0,0.54,0.7292,0.8022
zero_mlp0,17,0.0,0.566,0.656,0.8043
zero_mlp0,20,0.0,0.6151,0.6046,0.7966
zero_mlp1,1,0.0,0.994,nan,0.837
zero_mlp1,4,0.0,0.9815,1.0,0.5192
zero_mlp1,7,0.0,0.9725,1.0,0.356
zero_mlp1,8,0.0,0.9717,1.0,0.2805
zero_mlp1,10,0.0,0.9678,1.0,0.1886
zero_mlp1,14,0.0,0.9573,0.9249,0.1557
zero_mlp1,17,0.0,0.9476,0.9113,0.1354
zero_mlp1,20,0.0,0.9301,0.9272,0.1376
bypass,1,0.0,0.2234,nan,0.706
bypass,4,0.0,0.2235,0.2278,0.7624
bypass,7,0.0,0.2255,0.2222,0.7689
bypass,8,0.0,0.223,0.2356,0.7676
bypass,10,0.0,0.2231,0.2232,0.7705
bypass,14,0.0,0.2249,0.2242,0.7725
bypass,17,0.0,0.2282,0.2211,0.7729
bypass,20,0.0,0.2234,0.2269,0.7709
