split_a,branch,category,value
4,dZ_attn1,within_short,0.39567
4,dZ_attn1,within_long_near,0.16216
4,dZ_attn1,within_long_far,0.04363
4,dZ_attn1,cross,0.03016
4,dZ_mlp1,within_short,-0.17555
4,dZ_mlp1,within_long_near,0.08317
4,dZ_mlp1,within_long_far,0.1043
4,dZ_mlp1,cross,0.05965
4,dZ_attn2,within_short,0.17106
4,dZ_attn2,within_long_near,0.47728
4,dZ_attn2,within_long_far,0.36439
4,dZ_attn2,cross,0.19512
4,dZ_mlp2,within_short,0.1227
4,dZ_mlp2,within_long_near,0.16437
4,dZ_mlp2,within_long_far,0.50059
4,dZ_mlp2,cross,-1.26059
23,dZ_attn1,within_short,0.11946
23,dZ_attn1,within_long_near,0.1636
23,dZ_attn1,within_long_far,0.04033
23,dZ_attn1,cross,0.04541
23,dZ_mlp1,within_short,0.069
23,dZ_mlp1,within_long_near,0.05455
23,dZ_mlp1,within_long_far,0.09523
23,dZ_mlp1,cross,0.10422
23,dZ_attn2,within_short,0.43915
23,dZ_attn2,within_long_near,0.46211
23,dZ_attn2,within_long_far,0.38757
23,dZ_attn2,cross,0.13606
23,dZ_mlp2,within_short,-0.11504
23,dZ_mlp2,within_long_near,-0.09917
23,dZ_mlp2,within_long_far,-0.22955
23,dZ_mlp2,cross,-0.56146
