condition,split_a,exact,reach_long,reach_short,cut
baseline,1,0.3933,0.9956,nan,1.0
baseline,4,0.5667,1.0,1.0,0.9965
baseline,7,0.0,0.9891,1.0,0.5134
baseline,8,0.0,0.9655,1.0,0.5344
baseline,10,0.0,0.9637,0.9999,0.4462
baseline,14,0.0,0.9883,0.9996,0.1635
baseline,17,0.0,0.9962,0.9994,0.0438
baseline,20,0.0,0.999,0.9981,0.0073
zero_attn0,1,0.0,0.0354,nan,1.0
zero_attn0,4,0.0,0.0461,0.2339,0.997
zero_attn0,7,0.0,0.0437,0.1414,0.9914
zero_attn0,8,0.0,0.0465,0.1236,0.9877
zero_attn0,10,0.0,0.0474,0.1055,0.9878
zero_attn0,14,0.0,0.0511,0.0806,0.9863
zero_attn0,17,0.0,0.0571,0.0689,0.9852
zero_attn0,20,0.0,0.0621,0.0639,0.9843
zero_attn1,1,0.0,0.1012,nan,1.0
zero_attn1,4,0.0,0.1094,1.0,1.0
zero_attn1,7,0.0,0.1198,0.5911,1.0
zero_attn1,8,0.0,0.1228,0.521,1.0
zero_attn1,10,0.0,0.132,0.411,1.0
zero_attn1,14,0.0,0.1525,0.292,1.0
zero_attn1,17,0.0,0.1695,0.2392,1.0
zero_attn1,20,0.0,0.1994,0.1972,1.0
zero_mlp0,1,0.0,0.503,nan,1.0
zero_mlp0,4,0.0,0.6178,0.9967,0.6286
zero_mlp0,7,0.0,0.5456,1.0,0.8125
zero_mlp0,8,0.0,0.5469,0.9845,0.806
zero_mlp0,10,0.0,0.5423,0.8821,0.8207
zero_mlp0,14,0.0,0.5691,0.7356,0.7961
zero_mlp0,17,0.0,0.5862,0.6631,0.8005
zero_mlp0,20,0.0,0.621,0.6184,0.7855
zero_mlp1,1,0.0133,0.9974,nan,0.9885
zero_mlp1,4,0.0,0.9908,1.0,0.4734
zero_mlp1,7,0.0,0.9866,1.0,0.233
zero_mlp1,8,0.0,0.9856,1.0,0.1729
zero_mlp1,10,0.0,0.9837,1.0,0.1034
zero_mlp1,14,0.0,0.9786,0.9507,0.0788
zero_mlp1,17,0.0,0.972,0.9526,0.0714
zero_mlp1,20,0.0,0.9613,0.9628,0.0712
bypass,1,0.0,0.2184,nan,0.6731
bypass,4,0.0,0.2193,0.2122,0.7647
bypass,7,0.0,0.22,0.2095,0.7746
bypass,8,0.0,0.2198,0.2176,0.7686
bypass,10,0.0,0.2183,0.2253,0.7718
bypass,14,0.0,0.2144,0.2293,0.7736
bypass,17,0.0,0.2164,0.2249,0.7739
bypass,20,0.0,0.2274,0.2176,0.7734
