split_a,pair_type,mean_hTw,frac_positive,n_pairs
1,within_long,19.0277,1.0,296400
1,cut,-7.3471,0.0,7800
1,cut,-30.7086,0.0,7800
1,within_long_d1,29.8556,1.0,76
1,within_long_d2,27.262,1.0,74
1,within_long_d3,30.2562,1.0,72
1,within_long_d4,31.991,1.0,70
1,within_long_d5,32.8879,1.0,68
1,within_long_d6,29.3929,1.0,66
1,within_long_d7,30.4221,1.0,64
1,within_long_d8,41.39,1.0,62
1,within_long_d9,22.928,1.0,60
1,within_long_d10,10.9152,1.0,58
1,within_long_d11,10.893,1.0,56
1,within_long_d12,10.9063,1.0,54
1,within_long_d13,10.9054,1.0,52
1,within_long_d14,10.8931,1.0,50
1,within_long_d15,10.8789,1.0,48
1,within_long_d16,10.8586,1.0,46
1,within_long_d17,10.8323,1.0,44
1,within_long_d18,10.8106,1.0,42
1,within_long_d19,10.788,1.0,40
1,within_long_d20,10.7628,1.0,38
1,within_long_d21,10.7304,1.0,36
1,within_long_d22,10.7099,1.0,34
1,within_long_d23,10.6962,1.0,32
1,within_long_d24,10.688,1.0,30
1,within_long_d25,10.6997,1.0,28
1,within_long_d26,10.7067,1.0,26
1,within_long_d27,10.7749,1.0,24
1,within_long_d28,10.9241,1.0,22
1,within_long_d29,10.9557,1.0,20
1,within_long_d30,10.7905,1.0,18
1,within_long_d31,10.7362,1.0,16
1,within_long_d32,10.6299,1.0,14
1,within_long_d33,10.6086,1.0,12
1,within_long_d34,10.6796,1.0,10
1,within_long_d35,11.1067,1.0,8
1,within_long_d36,11.5492,1.0,6
1,within_long_d37,12.561,1.0,4
1,within_long_d38,13.1893,1.0,2
2,within_long,23.2656,1.0,281200
2,within_short,13.1413,1.0,400
2,cut,-23.8831,0.0,15200
2,cut,-12.4987,0.0,15200
2,within_long_d1,39.7782,1.0,74
2,within_long_d2,37.9073,1.0,72
2,within_long_d3,41.2508,1.0,70
2,within_long_d4,43.1686,1.0,68
2,within_long_d5,44.3092,1.0,66
2,within_long_d6,41.3398,1.0,64
2,within_long_d7,41.2667,1.0,62
2,within_long_d8,47.0374,1.0,60
2,within_long_d9,27.0328,1.0,58
2,within_long_d10,12.0686,1.0,56
2,within_long_d11,12.0309,1.0,54
2,within_long_d12,11.939,1.0,52
2,within_long_d13,11.8306,1.0,50
2,within_long_d14,11.702,1.0,48
2,within_long_d15,11.5634,1.0,46
2,within_long_d16,11.422,1.0,44
2,within_long_d17,11.2722,1.0,42
2,within_long_d18,11.1027,1.0,40
2,within_long_d19,10.9288,1.0,38
2,within_long_d20,10.7388,1.0,36
2,within_long_d21,10.5382,1.0,34
2,within_long_d22,10.3311,1.0,32
2,within_long_d23,10.1085,1.0,30
2,within_long_d24,9.8616,1.0,28
2,within_long_d25,9.5756,1.0,26
2,within_long_d26,9.2635,1.0,24
2,within_long_d27,8.8943,1.0,22
2,within_long_d28,8.5486,1.0,20
2,within_long_d29,8.405,1.0,18
2,within_long_d30,8.2439,1.0,16
2,within_long_d31,8.173,1.0,14
2,within_long_d32,8.0949,1.0,12
2,within_long_d33,8.1134,1.0,10
2,within_long_d34,8.1228,1.0,8
2,within_long_d35,8.0832,1.0,6
2,within_long_d36,8.016,1.0,4
2,within_long_d37,7.7557,1.0,2
3,within_long,22.7818,1.0,266400
3,within_short,26.3958,1.0,1200
3,cut,-11.1266,0.0243,22200
3,cut,-23.1697,0.0,22200
3,within_long_d1,41.4335,1.0,72
3,within_long_d2,39.2595,1.0,70
3,within_long_d3,42.454,1.0,68
3,within_long_d4,44.3113,1.0,66
3,within_long_d5,45.2599,1.0,64
3,within_long_d6,41.8389,1.0,62
3,within_long_d7,41.5118,1.0,60
3,within_long_d8,46.8205,1.0,58
3,within_long_d9,25.5551,1.0,56
3,within_long_d10,9.3275,1.0,54
3,within_long_d11,9.2745,1.0,52
3,within_long_d12,9.2254,1.0,50
3,within_long_d13,9.1674,1.0,48
3,within_long_d14,9.103,1.0,46
3,within_long_d15,9.0393,1.0,44
3,within_long_d16,8.9803,1.0,42
3,within_long_d17,8.9234,1.0,40
3,within_long_d18,8.8611,1.0,38
3,within_long_d19,8.7968,1.0,36
3,within_long_d20,8.7384,1.0,34
3,within_long_d21,8.6869,1.0,32
3,within_long_d22,8.6409,1.0,30
3,within_long_d23,8.5931,1.0,28
3,within_long_d24,8.5325,1.0,26
3,within_long_d25,8.4716,1.0,24
3,within_long_d26,8.386,1.0,22
3,within_long_d27,8.228,1.0,20
3,within_long_d28,8.1507,1.0,18
3,within_long_d29,8.0766,1.0,16
3,within_long_d30,8.0341,1.0,14
3,within_long_d31,7.9682,1.0,12
3,within_long_d32,8.0858,1.0,10
3,within_long_d33,8.2753,1.0,8
3,within_long_d34,8.5186,1.0,6
3,within_long_d35,8.7266,1.0,4
3,within_long_d36,8.5222,1.0,2
4,within_long,20.4598,1.0,252000
4,within_short,35.9642,1.0,2400
4,cut,-5.7816,0.0,28800
4,cut,-22.7938,0.0,28800
4,within_long_d1,39.6755,1.0,70
4,within_long_d2,37.34,1.0,68
4,within_long_d3,40.1588,1.0,66
4,within_long_d4,41.7603,1.0,64
4,within_long_d5,42.5571,1.0,62
4,within_long_d6,39.0834,1.0,60
4,within_long_d7,38.6147,1.0,58
4,within_long_d8,43.0018,1.0,56
4,within_long_d9,22.1219,1.0,54
4,within_long_d10,6.0699,1.0,52
4,within_long_d11,6.0369,1.0,50
4,within_long_d12,6.0315,1.0,48
4,within_long_d13,6.0209,1.0,46
4,within_long_d14,6.0122,1.0,44
4,within_long_d15,6.0083,1.0,42
4,within_long_d16,6.0051,1.0,40
4,within_long_d17,6.0105,1.0,38
4,within_long_d18,6.0184,1.0,36
4,within_long_d19,6.0333,1.0,34
4,within_long_d20,6.0615,1.0,32
4,within_long_d21,6.1075,1.0,30
4,within_long_d22,6.1721,1.0,28
4,within_long_d23,6.2441,1.0,26
4,within_long_d24,6.3322,1.0,24
4,within_long_d25,6.4404,1.0,22
4,within_long_d26,6.4608,1.0,20
4,within_long_d27,6.4415,1.0,18
4,within_long_d28,6.4006,1.0,16
4,within_long_d29,6.3195,1.0,14
4,within_long_d30,6.2381,1.0,12
4,within_long_d31,6.3914,1.0,10
4,within_long_d32,6.7283,1.0,8
4,within_long_d33,7.0849,1.0,6
4,within_long_d34,7.5748,1.0,4
4,within_long_d35,7.5812,1.0,2
5,within_long,22.2276,1.0,238000
5,within_short,36.8387,1.0,4000
5,cut,-6.029,0.0,35000
5,cut,-18.9859,0.0,35000
5,within_long_d1,41.9771,1.0,68
5,within_long_d2,39.786,1.0,66
5,within_long_d3,42.7752,1.0,64
5,within_long_d4,44.3895,1.0,62
5,within_long_d5,45.2717,1.0,60
5,within_long_d6,41.9442,1.0,58
5,within_long_d7,41.6984,1.0,56
5,within_long_d8,46.6461,1.0,54
5,within_long_d9,24.5459,1.0,52
5,within_long_d10,6.792,1.0,50
5,within_long_d11,6.7471,1.0,48
5,within_long_d12,6.7108,1.0,46
5,within_long_d13,6.6614,1.0,44
5,within_long_d14,6.6069,1.0,42
5,within_long_d15,6.5573,1.0,40
5,within_long_d16,6.5106,1.0,38
5,within_long_d17,6.4677,1.0,36
5,within_long_d18,6.4283,1.0,34
5,within_long_d19,6.397,1.0,32
5,within_long_d20,6.3801,1.0,30
5,within_long_d21,6.3684,1.0,28
5,within_long_d22,6.352,1.0,26
5,within_long_d23,6.3341,1.0,24
5,within_long_d24,6.3164,1.0,22
5,within_long_d25,6.2235,1.0,20
5,within_long_d26,6.1399,1.0,18
5,within_long_d27,6.0422,1.0,16
5,within_long_d28,5.9074,1.0,14
5,within_long_d29,5.7499,1.0,12
5,within_long_d30,5.8019,1.0,10
5,within_long_d31,6.0251,1.0,8
5,within_long_d32,6.2843,1.0,6
5,within_long_d33,6.6294,1.0,4
5,within_long_d34,6.5633,1.0,2
6,within_long,20.1551,1.0,224400
6,within_short,32.923,1.0,6000
6,cut,-4.6267,0.0026,40800
6,cut,-19.7783,0.0,40800
6,within_long_d1,39.3362,1.0,66
6,within_long_d2,37.1153,1.0,64
6,within_long_d3,39.7931,1.0,62
6,within_long_d4,41.162,1.0,60
6,within_long_d5,41.821,1.0,58
