cell,k,small_size,stage,quantity,value
k5_s2,5,2,H0,mu_short,0.20623
k5_s2,5,2,H0,mu_long_near,0.11039
k5_s2,5,2,H0,mu_long_far,-0.02055
k5_s2,5,2,H0,mu_cross,-0.03171
k5_s2,5,2,H0,M_far,0.01116
k5_s2,5,2,Hattn1,mu_short,0.65041
k5_s2,5,2,Hattn1,mu_long_near,0.21018
k5_s2,5,2,Hattn1,mu_long_far,-0.00727
k5_s2,5,2,Hattn1,mu_cross,0.00564
k5_s2,5,2,Hattn1,M_far,-0.01291
k5_s2,5,2,H1,mu_short,0.82255
k5_s2,5,2,H1,mu_long_near,0.25375
k5_s2,5,2,H1,mu_long_far,0.02711
k5_s2,5,2,H1,mu_cross,-0.01342
k5_s2,5,2,H1,M_far,0.04053
k5_s2,5,2,Hattn2,mu_short,0.89171
k5_s2,5,2,Hattn2,mu_long_near,0.71557
k5_s2,5,2,Hattn2,mu_long_far,0.26693
k5_s2,5,2,Hattn2,mu_cross,0.22541
k5_s2,5,2,Hattn2,M_far,0.04152
k5_s2,5,2,H2,mu_short,0.26993
k5_s2,5,2,H2,mu_long_near,0.80663
k5_s2,5,2,H2,mu_long_far,0.68845
k5_s2,5,2,H2,mu_cross,-0.18788
k5_s2,5,2,H2,M_far,0.87633
k5_s3,5,3,H0,mu_short,0.13436
k5_s3,5,3,H0,mu_long_near,0.11337
k5_s3,5,3,H0,mu_long_far,-0.02071
k5_s3,5,3,H0,mu_cross,-0.02702
k5_s3,5,3,H0,M_far,0.00631
k5_s3,5,3,Hattn1,mu_short,0.47283
k5_s3,5,3,Hattn1,mu_long_near,0.21329
k5_s3,5,3,Hattn1,mu_long_far,-0.00761
k5_s3,5,3,Hattn1,mu_cross,0.00472
k5_s3,5,3,Hattn1,M_far,-0.01233
k5_s3,5,3,H1,mu_short,0.57117
k5_s3,5,3,H1,mu_long_near,0.25438
k5_s3,5,3,H1,mu_long_far,0.02623
k5_s3,5,3,H1,mu_cross,0.00182
k5_s3,5,3,H1,M_far,0.02441
k5_s3,5,3,Hattn2,mu_short,0.78272
k5_s3,5,3,Hattn2,mu_long_near,0.79347
k5_s3,5,3,Hattn2,mu_long_far,0.50607
k5_s3,5,3,Hattn2,mu_cross,0.46609
k5_s3,5,3,Hattn2,M_far,0.03998
k5_s3,5,3,H2,mu_short,0.11521
k5_s3,5,3,H2,mu_long_near,0.8247
k5_s3,5,3,H2,mu_long_far,0.7375
k5_s3,5,3,H2,mu_cross,-0.23333
k5_s3,5,3,H2,M_far,0.97083
k5_s4,5,4,H0,mu_short,0.09399
k5_s4,5,4,H0,mu_long_near,0.11701
k5_s4,5,4,H0,mu_long_far,-0.02172
k5_s4,5,4,H0,mu_cross,-0.02425
k5_s4,5,4,H0,M_far,0.00253
k5_s4,5,4,Hattn1,mu_short,0.34462
k5_s4,5,4,Hattn1,mu_long_near,0.21573
k5_s4,5,4,Hattn1,mu_long_far,-0.00825
k5_s4,5,4,Hattn1,mu_cross,0.00625
k5_s4,5,4,Hattn1,M_far,-0.0145
k5_s4,5,4,H1,mu_short,0.39888
k5_s4,5,4,H1,mu_long_near,0.25461
k5_s4,5,4,H1,mu_long_far,0.02848
k5_s4,5,4,H1,mu_cross,0.02551
k5_s4,5,4,H1,M_far,0.00297
k5_s4,5,4,Hattn2,mu_short,0.72139
k5_s4,5,4,Hattn2,mu_long_near,0.83034
