cell,k,small_size,stage,metric,value
k5_s2,5,2,H0,exact,0.0
k5_s2,5,2,H0,reach_long,0.12298
k5_s2,5,2,H0,reach_long_near,0.25103
k5_s2,5,2,H0,reach_long_far,0.0
k5_s2,5,2,H0,reach_short,1.0
k5_s2,5,2,H0,cut,1.0
k5_s2,5,2,H0,pred_positive_rate,0.10625
k5_s2,5,2,Hattn1,exact,0.0
k5_s2,5,2,Hattn1,reach_long,0.18804
k5_s2,5,2,Hattn1,reach_long_near,0.37474
k5_s2,5,2,Hattn1,reach_long_far,0.00871
k5_s2,5,2,Hattn1,reach_short,0.14286
k5_s2,5,2,Hattn1,cut,0.875
k5_s2,5,2,Hattn1,pred_positive_rate,0.21658
k5_s2,5,2,H1,exact,0.0
k5_s2,5,2,H1,reach_long,0.30021
k5_s2,5,2,H1,reach_long_near,0.58443
k5_s2,5,2,H1,reach_long_far,0.02724
k5_s2,5,2,H1,reach_short,0.14286
k5_s2,5,2,H1,cut,0.875
k5_s2,5,2,H1,pred_positive_rate,0.28613
k5_s2,5,2,Hattn2,exact,0.0
k5_s2,5,2,Hattn2,reach_long,0.88231
k5_s2,5,2,Hattn2,reach_long_near,1.0
k5_s2,5,2,Hattn2,reach_long_far,0.76927
k5_s2,5,2,Hattn2,reach_short,0.14286
k5_s2,5,2,Hattn2,cut,0.03113
k5_s2,5,2,Hattn2,pred_positive_rate,0.91707
k5_s2,5,2,H2,exact,0.09375
k5_s2,5,2,H2,reach_long,1.0
k5_s2,5,2,H2,reach_long_near,1.0
k5_s2,5,2,H2,reach_long_far,1.0
k5_s2,5,2,H2,reach_short,0.58705
k5_s2,5,2,H2,cut,1.0
k5_s2,5,2,H2,pred_positive_rate,0.66445
k5_s3,5,3,H0,exact,0.0
k5_s3,5,3,H0,reach_long,0.14021
k5_s3,5,3,H0,reach_long_near,0.25604
k5_s3,5,3,H0,reach_long_far,0.0
k5_s3,5,3,H0,reach_short,1.0
k5_s3,5,3,H0,cut,1.0
k5_s3,5,3,H0,pred_positive_rate,0.10625
k5_s3,5,3,Hattn1,exact,0.0
k5_s3,5,3,Hattn1,reach_long,0.21573
k5_s3,5,3,Hattn1,reach_long_near,0.3824
k5_s3,5,3,Hattn1,reach_long_far,0.01398
k5_s3,5,3,Hattn1,reach_short,0.18182
k5_s3,5,3,Hattn1,cut,0.85714
k5_s3,5,3,Hattn1,pred_positive_rate,0.26943
k5_s3,5,3,H1,exact,0.0
k5_s3,5,3,H1,reach_long,0.33532
k5_s3,5,3,H1,reach_long_near,0.57926
k5_s3,5,3,H1,reach_long_far,0.04002
k5_s3,5,3,H1,reach_short,0.18182
k5_s3,5,3,H1,cut,0.88095
k5_s3,5,3,H1,pred_positive_rate,0.31594
k5_s3,5,3,Hattn2,exact,0.0
k5_s3,5,3,Hattn2,reach_long,1.0
k5_s3,5,3,Hattn2,reach_long_near,1.0
k5_s3,5,3,Hattn2,reach_long_far,1.0
k5_s3,5,3,Hattn2,reach_short,0.18182
k5_s3,5,3,Hattn2,cut,0.0
k5_s3,5,3,Hattn2,pred_positive_rate,1.0
k5_s3,5,3,H2,exact,0.95312
k5_s3,5,3,H2,reach_long,1.0
k5_s3,5,3,H2,reach_long_near,1.0
k5_s3,5,3,H2,reach_long_far,1.0
k5_s3,5,3,H2,reach_short,0.99929
k5_s3,5,3,H2,cut,1.0
k5_s3,5,3,H2,pred_positive_rate,0.51256
k5_s4,5,4,H0,exact,0.0
k5_s4,5,4,H0,reach_long,0.16304
k5_s4,5,4,H0,reach_long_near,0.26316
k5_s4,5,4,H0,reach_long_far,0.0
k5_s4,5,4,H0,reach_short,0.96667
k5_s4,5,4,H0,cut,1.0
k5_s4,5,4,H0,pred_positive_rate,0.10625
k5_s4,5,4,Hattn1,exact,0.0
k5_s4,5,4,Hattn1,reach_long,0.24655
k5_s4,5,4,Hattn1,reach_long_near,0.38478
k5_s4,5,4,Hattn1,reach_long_far,0.02143
k5_s4,5,4,Hattn1,reach_short,0.2
k5_s4,5,4,Hattn1,cut,0.85095
k5_s4,5,4,Hattn1,pred_positive_rate,0.3316
k5_s4,5,4,H1,exact,0.0
k5_s4,5,4,H1,reach_long,0.38004
k5_s4,5,4,H1,reach_long_near,0.57401
k5_s4,5,4,H1,reach_long_far,0.06414
k5_s4,5,4,H1,reach_short,0.59609
k5_s4,5,4,H1,cut,0.85006
k5_s4,5,4,H1,pred_positive_rate,0.31867
k5_s4,5,4,Hattn2,exact,0.0
k5_s4,5,4,Hattn2,reach_long,1.0
k5_s4,5,4,Hattn2,reach_long_near,1.0
k5_s4,5,4,Hattn2,reach_long_far,1.0
k5_s4,5,4,Hattn2,reach_short,0.2
k5_s4,5,4,Hattn2,cut,0.0
k5_s4,5,4,Hattn2,pred_positive_rate,1.0
k5_s4,5,4,H2,exact,1.0
k5_s4,5,4,H2,reach_long,1.0
k5_s4,5,4,H2,reach_long_near,1.0
k5_s4,5,4,H2,reach_long_far,1.0
k5_s4,5,4,H2,reach_short,1.0
k5_s4,5,4,H2,cut,1.0
k5_s4,5,4,H2,pred_positive_rate,0.4
k5_s5,5,5,H0,exact,0.0
k5_s5,5,5,H0,reach_long,0.19474
k5_s5,5,5,H0,reach_long_near,0.27407
k5_s5,5,5,H0,reach_long_far,0.0
k5_s5,5,5,H0,reach_short,0.93684
k5_s5,5,5,H0,cut,1.0
k5_s5,5,5,H0,pred_positive_rate,0.10625
k5_s5,5,5,Hattn1,exact,0.0
k5_s5,5,5,Hattn1,reach_long,0.29688
k5_s5,5,5,Hattn1,reach_long_near,0.4015
k5_s5,5,5,Hattn1,reach_long_far,0.04006
k5_s5,5,5,Hattn1,reach_short,0.71965
k5_s5,5,5,Hattn1,cut,0.91008
k5_s5,5,5,Hattn1,pred_positive_rate,0.25705
k5_s5,5,5,H1,exact,0.0
k5_s5,5,5,H1,reach_long,0.43791
k5_s5,5,5,H1,reach_long_near,0.56586
k5_s5,5,5,H1,reach_long_far,0.12386
k5_s5,5,5,H1,reach_short,0.21053
k5_s5,5,5,H1,cut,0.7366
k5_s5,5,5,H1,pred_positive_rate,0.4982
k5_s5,5,5,Hattn2,exact,0.0
k5_s5,5,5,Hattn2,reach_long,1.0
k5_s5,5,5,Hattn2,reach_long_near,1.0
k5_s5,5,5,Hattn2,reach_long_far,1.0
k5_s5,5,5,Hattn2,reach_short,0.21053
k5_s5,5,5,Hattn2,cut,0.0
k5_s5,5,5,Hattn2,pred_positive_rate,1.0
k5_s5,5,5,H2,exact,0.95312
k5_s5,5,5,H2,reach_long,1.0
k5_s5,5,5,H2,reach_long_near,1.0
k5_s5,5,5,H2,reach_long_far,1.0
k5_s5,5,5,H2,reach_short,0.99984
k5_s5,5,5,H2,cut,0.99984
k5_s5,5,5,H2,pred_positive_rate,0.31262
k6_s2,6,2,H0,exact,0.0
k6_s2,6,2,H0,reach_long,0.13103
k6_s2,6,2,H0,reach_long_near,0.25333
k6_s2,6,2,H0,reach_long_far,0.0
k6_s2,6,2,H0,reach_short,1.0
k6_s2,6,2,H0,cut,1.0
k6_s2,6,2,H0,pred_positive_rate,0.1025
k6_s2,6,2,Hattn1,exact,0.0
k6_s2,6,2,Hattn1,reach_long,0.19914
k6_s2,6,2,Hattn1,reach_long_near,0.37514
k6_s2,6,2,Hattn1,reach_long_far,0.01057
k6_s2,6,2,Hattn1,reach_short,0.11111
k6_s2,6,2,Hattn1,cut,0.86667
k6_s2,6,2,Hattn1,pred_positive_rate,0.23953
k6_s2,6,2,H1,exact,0.0
k6_s2,6,2,H1,reach_long,0.31721
k6_s2,6,2,H1,reach_long_near,0.58292
k6_s2,6,2,H1,reach_long_far,0.03251
k6_s2,6,2,H1,reach_short,0.11111
k6_s2,6,2,H1,cut,0.86667
k6_s2,6,2,H1,pred_positive_rate,0.30373
k6_s2,6,2,Hattn2,exact,0.0
k6_s2,6,2,Hattn2,reach_long,0.97992
k6_s2,6,2,Hattn2,reach_long_near,1.0
k6_s2,6,2,Hattn2,reach_long_far,0.95841
k6_s2,6,2,Hattn2,reach_short,0.11111
k6_s2,6,2,Hattn2,cut,0.0
k6_s2,6,2,Hattn2,pred_positive_rate,0.98908
k6_s2,6,2,H2,exact,0.0
k6_s2,6,2,H2,reach_long,1.0
k6_s2,6,2,H2,reach_long_near,1.0
k6_s2,6,2,H2,reach_long_far,1.0
k6_s2,6,2,H2,reach_short,0.11111
k6_s2,6,2,H2,cut,1.0
k6_s2,6,2,H2,pred_positive_rate,0.625
k6_s3,6,3,H0,exact,0.0
k6_s3,6,3,H0,reach_long,0.15661
k6_s3,6,3,H0,reach_long_near,0.26102
k6_s3,6,3,H0,reach_long_far,0.0
k6_s3,6,3,H0,reach_short,1.0
k6_s3,6,3,H0,cut,1.0
k6_s3,6,3,H0,pred_positive_rate,0.10248
k6_s3,6,3,Hattn1,exact,0.0
k6_s3,6,3,Hattn1,reach_long,0.23802
k6_s3,6,3,Hattn1,reach_long_near,0.38411
k6_s3,6,3,Hattn1,reach_long_far,0.01888
k6_s3,6,3,Hattn1,reach_short,0.14286
k6_s3,6,3,Hattn1,cut,0.84
k6_s3,6,3,Hattn1,pred_positive_rate,0.32051
k6_s3,6,3,H1,exact,0.0
k6_s3,6,3,H1,reach_long,0.36927
k6_s3,6,3,H1,reach_long_near,0.57717
k6_s3,6,3,H1,reach_long_far,0.05742
k6_s3,6,3,H1,reach_short,0.14286
k6_s3,6,3,H1,cut,0.86654
k6_s3,6,3,H1,pred_positive_rate,0.35729
k6_s3,6,3,Hattn2,exact,0.0
k6_s3,6,3,Hattn2,reach_long,1.0
k6_s3,6,3,Hattn2,reach_long_near,1.0
k6_s3,6,3,Hattn2,reach_long_far,1.0
k6_s3,6,3,Hattn2,reach_short,0.14286
k6_s3,6,3,Hattn2,cut,0.0
k6_s3,6,3,Hattn2,pred_positive_rate,1.0
k6_s3,6,3,H2,exact,0.01562
k6_s3,6,3,H2,reach_long,1.0
k6_s3,6,3,H2,reach_long_near,1.0
k6_s3,6,3,H2,reach_long_far,1.0
k6_s3,6,3,H2,reach_short,0.90074
k6_s3,6,3,H2,cut,1.0
k6_s3,6,3,H2,pred_positive_rate,0.43178
k6_s4,6,4,H0,exact,0.0
k6_s4,6,4,H0,reach_long,0.19474
k6_s4,6,4,H0,reach_long_near,0.27407
k6_s4,6,4,H0,reach_long_far,0.0
k6_s4,6,4,H0,reach_short,0.97368
k6_s4,6,4,H0,cut,1.0
k6_s4,6,4,H0,pred_positive_rate,0.1025
k6_s4,6,4,Hattn1,exact,0.0
k6_s4,6,4,Hattn1,reach_long,0.29523
k6_s4,6,4,Hattn1,reach_long_near,0.39873
k6_s4,6,4,Hattn1,reach_long_far,0.04119
k6_s4,6,4,Hattn1,reach_short,0.15789
k6_s4,6,4,Hattn1,cut,0.82203
k6_s4,6,4,Hattn1,pred_positive_rate,0.4216
k6_s4,6,4,H1,exact,0.0
k6_s4,6,4,H1,reach_long,0.44128
k6_s4,6,4,H1,reach_long_near,0.56794
k6_s4,6,4,H1,reach_long_far,0.1304
k6_s4,6,4,H1,reach_short,0.57566
k6_s4,6,4,H1,cut,0.8191
k6_s4,6,4,H1,pred_positive_rate,0.35854
k6_s4,6,4,Hattn2,exact,0.0
k6_s4,6,4,Hattn2,reach_long,1.0
k6_s4,6,4,Hattn2,reach_long_near,1.0
k6_s4,6,4,Hattn2,reach_long_far,1.0
k6_s4,6,4,Hattn2,reach_short,0.15789
k6_s4,6,4,Hattn2,cut,0.0
k6_s4,6,4,Hattn2,pred_positive_rate,1.0
k6_s4,6,4,H2,exact,0.04688
k6_s4,6,4,H2,reach_long,1.0
k6_s4,6,4,H2,reach_long_near,1.0
k6_s4,6,4,H2,reach_long_far,1.0
k6_s4,6,4,H2,reach_short,0.92155
k6_s4,6,4,H2,cut,1.0
k6_s4,6,4,H2,pred_positive_rate,0.31863
k7_s2,7,2,H0,exact,0.0
k7_s2,7,2,H0,reach_long,0.14021
k7_s2,7,2,H0,reach_long_near,0.25604
k7_s2,7,2,H0,reach_long_far,0.0
k7_s2,7,2,H0,reach_short,1.0
k7_s2,7,2,H0,cut,1.0
k7_s2,7,2,H0,pred_positive_rate,0.09875
k7_s2,7,2,Hattn1,exact,0.0
k7_s2,7,2,Hattn1,reach_long,0.21404
k7_s2,7,2,Hattn1,reach_long_near,0.38028
k7_s2,7,2,Hattn1,reach_long_far,0.01279
k7_s2,7,2,Hattn1,reach_short,0.09091
k7_s2,7,2,Hattn1,cut,0.85714
k7_s2,7,2,Hattn1,pred_positive_rate,0.26863
k7_s2,7,2,H1,exact,0.0
k7_s2,7,2,H1,reach_long,0.33594
k7_s2,7,2,H1,reach_long_near,0.57979
k7_s2,7,2,H1,reach_long_far,0.04075
k7_s2,7,2,H1,reach_short,0.09091
k7_s2,7,2,H1,cut,0.85714
k7_s2,7,2,H1,pred_positive_rate,0.32623
k7_s2,7,2,Hattn2,exact,0.0
k7_s2,7,2,Hattn2,reach_long,1.0
k7_s2,7,2,Hattn2,reach_long_near,1.0
k7_s2,7,2,Hattn2,reach_long_far,1.0
k7_s2,7,2,Hattn2,reach_short,0.09091
k7_s2,7,2,Hattn2,cut,0.0
k7_s2,7,2,Hattn2,pred_positive_rate,1.0
k7_s2,7,2,H2,exact,0.0
k7_s2,7,2,H2,reach_long,1.0
k7_s2,7,2,H2,reach_long_near,1.0
k7_s2,7,2,H2,reach_long_far,1.0
k7_s2,7,2,H2,reach_short,0.09091
k7_s2,7,2,H2,cut,1.0
k7_s2,7,2,H2,pred_positive_rate,0.58
k7_s3,7,3,H0,exact,0.0
k7_s3,7,3,H0,reach_long,0.17749
k7_s3,7,3,H0,reach_long_near,0.26797
k7_s3,7,3,H0,reach_long_far,0.0
k7_s3,7,3,H0,reach_short,1.0
k7_s3,7,3,H0,cut,1.0
k7_s3,7,3,H0,pred_positive_rate,0.09875
k7_s3,7,3,Hattn1,exact,0.0
k7_s3,7,3,Hattn1,reach_long,0.27009
k7_s3,7,3,Hattn1,reach_long_near,0.39297
k7_s3,7,3,Hattn1,reach_long_far,0.02905
k7_s3,7,3,Hattn1,reach_short,0.11765
k7_s3,7,3,Hattn1,cut,0.81818
k7_s3,7,3,Hattn1,pred_positive_rate,0.38424
k7_s3,7,3,H1,exact,0.0
k7_s3,7,3,H1,reach_long,0.4095
k7_s3,7,3,H1,reach_long_near,0.57333
k7_s3,7,3,H1,reach_long_far,0.08814
k7_s3,7,3,H1,reach_short,0.11765
k7_s3,7,3,H1,cut,0.84848
k7_s3,7,3,H1,pred_positive_rate,0.40949
k7_s3,7,3,Hattn2,exact,0.0
k7_s3,7,3,Hattn2,reach_long,1.0
k7_s3,7,3,Hattn2,reach_long_near,1.0
k7_s3,7,3,Hattn2,reach_long_far,1.0
k7_s3,7,3,Hattn2,reach_short,0.11765
k7_s3,7,3,Hattn2,cut,0.0
k7_s3,7,3,Hattn2,pred_positive_rate,1.0
k7_s3,7,3,H2,exact,0.0
k7_s3,7,3,H2,reach_long,1.0
k7_s3,7,3,H2,reach_long_near,1.0
k7_s3,7,3,H2,reach_long_far,1.0
k7_s3,7,3,H2,reach_short,0.38685
k7_s3,7,3,H2,cut,0.99432
k7_s3,7,3,H2,pred_positive_rate,0.45633
