cell,k,small_size,branch,category,value
k5_s2,5,2,dZ_attn1,within_short,14.60118
k5_s2,5,2,dZ_attn1,within_long_near,3.28034
k5_s2,5,2,dZ_attn1,within_long_far,0.43647
k5_s2,5,2,dZ_attn1,cross,1.22773
k5_s2,5,2,dZ_mlp1,within_short,5.65884
k5_s2,5,2,dZ_mlp1,within_long_near,1.43235
k5_s2,5,2,dZ_mlp1,within_long_far,1.13035
k5_s2,5,2,dZ_mlp1,cross,-0.6264
k5_s2,5,2,dZ_attn2,within_short,2.27326
k5_s2,5,2,dZ_attn2,within_long_near,15.18095
k5_s2,5,2,dZ_attn2,within_long_far,7.88354
k5_s2,5,2,dZ_attn2,cross,7.85105
k5_s2,5,2,dZ_mlp2,within_short,-20.4395
k5_s2,5,2,dZ_mlp2,within_long_near,2.99347
k5_s2,5,2,dZ_mlp2,within_long_far,13.85624
k5_s2,5,2,dZ_mlp2,cross,-13.58606
k5_s3,5,3,dZ_attn1,within_short,11.12619
k5_s3,5,3,dZ_attn1,within_long_near,3.28464
k5_s3,5,3,dZ_attn1,within_long_far,0.43073
k5_s3,5,3,dZ_attn1,cross,1.04347
k5_s3,5,3,dZ_mlp1,within_short,3.23272
k5_s3,5,3,dZ_mlp1,within_long_near,1.3506
k5_s3,5,3,dZ_mlp1,within_long_far,1.11248
k5_s3,5,3,dZ_mlp1,cross,-0.09524
k5_s3,5,3,dZ_attn2,within_short,6.9541
k5_s3,5,3,dZ_attn2,within_long_near,17.72122
k5_s3,5,3,dZ_attn2,within_long_far,15.77331
k5_s3,5,3,dZ_attn2,cross,15.26142
k5_s3,5,3,dZ_mlp2,within_short,-21.94262
k5_s3,5,3,dZ_mlp2,within_long_near,1.02659
k5_s3,5,3,dZ_mlp2,within_long_far,7.60772
k5_s3,5,3,dZ_mlp2,cross,-22.99165
k5_s4,5,4,dZ_attn1,within_short,8.23876
k5_s4,5,4,dZ_attn1,within_long_near,3.24505
k5_s4,5,4,dZ_attn1,within_long_far,0.44287
k5_s4,5,4,dZ_attn1,cross,1.00271
k5_s4,5,4,dZ_mlp1,within_short,1.78356
k5_s4,5,4,dZ_mlp1,within_long_near,1.27798
k5_s4,5,4,dZ_mlp1,within_long_far,1.20726
k5_s4,5,4,dZ_mlp1,cross,0.63307
k5_s4,5,4,dZ_attn2,within_short,10.60164
k5_s4,5,4,dZ_attn2,within_long_near,18.92595
