split_a,pair_type,mean_hTw,frac_positive,n_pairs
1,within_long,45.8162,1.0,68400
1,cut,-20.567,0.0,3800
1,cut,-31.4312,0.0,3800
1,within_long_d1,56.4937,1.0,36
1,within_long_d2,54.2795,1.0,34
1,within_long_d3,53.7889,1.0,32
1,within_long_d4,59.7967,1.0,30
1,within_long_d5,56.5833,1.0,28
1,within_long_d6,54.7629,1.0,26
1,within_long_d7,53.2423,1.0,24
1,within_long_d8,52.1312,1.0,22
1,within_long_d9,36.1333,1.0,20
1,within_long_d10,26.1352,1.0,18
1,within_long_d11,24.6068,1.0,16
1,within_long_d12,23.2002,1.0,14
1,within_long_d13,22.2179,1.0,12
1,within_long_d14,22.1827,1.0,10
1,within_long_d15,22.1086,1.0,8
1,within_long_d16,21.9081,1.0,6
1,within_long_d17,22.2165,1.0,4
1,within_long_d18,22.3032,1.0,2
2,within_long,46.5846,1.0,61200
2,within_short,57.2998,1.0,400
2,cut,-25.8108,0.0,7200
2,cut,-29.1546,0.0,7200
2,within_long_d1,56.9144,1.0,34
2,within_long_d2,54.6057,1.0,32
2,within_long_d3,54.2829,1.0,30
2,within_long_d4,60.0056,1.0,28
2,within_long_d5,56.5205,1.0,26
2,within_long_d6,54.3794,1.0,24
2,within_long_d7,52.8854,1.0,22
2,within_long_d8,52.5805,1.0,20
2,within_long_d9,35.591,1.0,18
2,within_long_d10,24.8919,1.0,16
2,within_long_d11,23.3947,1.0,14
2,within_long_d12,22.1996,1.0,12
2,within_long_d13,21.7602,1.0,10
2,within_long_d14,21.2993,1.0,8
2,within_long_d15,20.8385,1.0,6
2,within_long_d16,21.3334,1.0,4
2,within_long_d17,21.4253,1.0,2
3,within_long,48.1459,1.0,54400
3,within_short,67.4854,1.0,1200
3,cut,-29.7217,0.0,10200
3,cut,-31.7031,0.0,10200
3,within_long_d1,58.1022,1.0,32
3,within_long_d2,55.2602,1.0,30
3,within_long_d3,54.9439,1.0,28
3,within_long_d4,60.79,1.0,26
3,within_long_d5,57.1056,1.0,24
3,within_long_d6,54.7223,1.0,22
3,within_long_d7,53.3161,1.0,20
3,within_long_d8,53.9961,1.0,18
3,within_long_d9,35.8651,1.0,16
3,within_long_d10,24.3399,1.0,14
3,within_long_d11,23.0984,1.0,12
3,within_long_d12,22.5123,1.0,10
3,within_long_d13,21.8207,1.0,8
3,within_long_d14,21.2852,1.0,6
3,within_long_d15,21.2355,1.0,4
3,within_long_d16,21.4218,1.0,2
4,within_long,46.8044,1.0,48000
4,within_short,97.3618,1.0,2400
4,cut,-25.4232,0.0,12800
4,cut,-30.9637,0.0,12800
4,within_long_d1,56.5283,1.0,30
4,within_long_d2,53.5997,1.0,28
4,within_long_d3,53.1131,1.0,26
4,within_long_d4,57.4573,1.0,24
4,within_long_d5,54.1337,1.0,22
4,within_long_d6,51.8176,1.0,20
4,within_long_d7,49.9077,1.0,18
4,within_long_d8,51.2195,1.0,16
4,within_long_d9,33.6606,1.0,14
4,within_long_d10,22.0202,1.0,12
4,within_long_d11,21.3398,1.0,10
4,within_long_d12,20.4193,1.0,8
4,within_long_d13,19.4352,1.0,6
4,within_long_d14,17.5658,1.0,4
4,within_long_d15,16.1162,1.0,2
5,within_long,46.1961,1.0,42000
5,within_short,86.6794,1.0,4000
5,cut,-25.7456,0.0,15000
5,cut,-27.8143,0.0,15000
5,within_long_d1,54.7911,1.0,28
5,within_long_d2,52.2205,1.0,26
5,within_long_d3,51.838,1.0,24
5,within_long_d4,54.3821,1.0,22
5,within_long_d5,51.9559,1.0,20
5,within_long_d6,49.4564,1.0,18
