split_a,pair_type,mean_cos,frac_positive,n_pairs
9,within_long_d12,0.2423,0.9993,74
9,within_long_d13,0.2599,0.9981,74
9,within_long_d14,0.2445,0.9903,74
9,within_long_d15,0.2417,0.9662,74
9,within_long_d16,0.2294,0.9065,74
9,within_long_d17,0.167,0.7574,74
9,within_long_d18,0.0346,0.4301,74
10,within_long,0.3054,0.9688,252000
10,within_short,0.865,1.0,18000
10,cut,-0.3883,0.0,72000
10,cut,-0.3883,0.0,72000
10,within_long_d1,0.7535,1.0,72
10,within_long_d2,0.5588,1.0,72
10,within_long_d3,0.4449,1.0,72
10,within_long_d4,0.377,1.0,72
10,within_long_d5,0.3169,1.0,72
10,within_long_d6,0.2603,1.0,72
10,within_long_d7,0.2483,1.0,72
10,within_long_d8,0.2419,1.0,72
10,within_long_d9,0.2325,0.9999,72
10,within_long_d10,0.2259,0.9993,72
10,within_long_d11,0.2261,0.9989,72
10,within_long_d12,0.242,0.9988,72
10,within_long_d13,0.2595,0.9982,72
10,within_long_d14,0.2439,0.9882,72
10,within_long_d15,0.2414,0.9663,72
10,within_long_d16,0.2294,0.9079,72
10,within_long_d17,0.1668,0.7596,72
10,within_long_d18,0.1519,0.6753,36
11,within_long,0.3177,0.9847,238000
11,within_short,0.8639,1.0,22000
11,cut,-0.3734,0.0,77000
11,cut,-0.3734,0.0,77000
11,within_long_d1,0.7532,1.0,70
11,within_long_d2,0.5584,1.0,70
11,within_long_d3,0.446,1.0,70
11,within_long_d4,0.3774,1.0,70
11,within_long_d5,0.3168,1.0,70
11,within_long_d6,0.2605,1.0,70
11,within_long_d7,0.2485,1.0,70
11,within_long_d8,0.2422,1.0,70
11,within_long_d9,0.233,1.0,70
11,within_long_d10,0.2266,0.9999,70
11,within_long_d11,0.2268,0.9997,70
11,within_long_d12,0.2434,0.9999,70
11,within_long_d13,0.2612,0.9994,70
11,within_long_d14,0.2461,0.9911,70
11,within_long_d15,0.2431,0.9686,70
11,within_long_d16,0.2306,0.9093,70
11,within_long_d17,0.2877,0.8729,70
12,within_long,0.3287,0.9934,224400
12,within_short,0.8752,1.0,26400
12,cut,-0.3391,0.0,81600
12,cut,-0.3391,0.0,81600
12,within_long_d1,0.7523,1.0,68
12,within_long_d2,0.557,1.0,68
12,within_long_d3,0.4445,1.0,68
12,within_long_d4,0.3759,1.0,68
12,within_long_d5,0.3158,1.0,68
12,within_long_d6,0.259,1.0,68
12,within_long_d7,0.2471,1.0,68
12,within_long_d8,0.2408,1.0,68
12,within_long_d9,0.2319,0.9999,68
12,within_long_d10,0.2255,0.9999,68
12,within_long_d11,0.2259,0.9999,68
12,within_long_d12,0.2422,0.9999,68
12,within_long_d13,0.2602,0.9991,68
12,within_long_d14,0.2448,0.9903,68
12,within_long_d15,0.2419,0.9675,68
12,within_long_d16,0.348,0.9566,68
12,within_long_d17,0.422,0.9565,34
13,within_long,0.3421,0.9977,211200
13,within_short,0.8751,1.0,31200
13,cut,-0.285,0.0,85800
13,cut,-0.285,0.0,85800
13,within_long_d1,0.7528,1.0,66
13,within_long_d2,0.5586,1.0,66
13,within_long_d3,0.4453,1.0,66
13,within_long_d4,0.3768,1.0,66
13,within_long_d5,0.3164,1.0,66
13,within_long_d6,0.2591,1.0,66
13,within_long_d7,0.2471,1.0,66
13,within_long_d8,0.2409,1.0,66
13,within_long_d9,0.2318,1.0,66
13,within_long_d10,0.2253,0.9998,66
13,within_long_d11,0.2261,0.9997,66
13,within_long_d12,0.2428,0.9995,66
13,within_long_d13,0.2609,0.9992,66
13,within_long_d14,0.2452,0.9912,66
13,within_long_d15,0.3617,0.9877,66
13,within_long_d16,0.4834,0.9867,66
14,within_long,0.3564,0.9989,198400
14,within_short,0.8741,1.0,36400
14,cut,-0.2448,0.0,89600
14,cut,-0.2448,0.0,89600
14,within_long_d1,0.7542,1.0,64
