cell,k,small_size,pair_type,mean_cos,frac_positive,n_pairs
k5_s2,5,2,within_long,0.6621,1.0,198400
k5_s2,5,2,within_short,0.1025,0.1429,11200
k5_s2,5,2,cut,-0.161,0.0,51200
k5_s2,5,2,cut,-0.161,0.0,51200
k5_s2,5,2,within_long_d1,0.8918,1.0,62
k5_s2,5,2,within_long_d2,0.8083,1.0,60
k5_s2,5,2,within_long_d3,0.7687,1.0,58
k5_s2,5,2,within_long_d4,0.7449,1.0,56
k5_s2,5,2,within_long_d5,0.7305,1.0,54
k5_s2,5,2,within_long_d6,0.7168,1.0,52
k5_s2,5,2,within_long_d7,0.6992,1.0,50
k5_s2,5,2,within_long_d8,0.6867,1.0,48
k5_s2,5,2,within_long_d9,0.6813,1.0,46
k5_s2,5,2,within_long_d10,0.6726,1.0,44
k5_s2,5,2,within_long_d11,0.6691,1.0,42
k5_s2,5,2,within_long_d12,0.6596,1.0,40
k5_s2,5,2,within_long_d13,0.6494,1.0,38
k5_s2,5,2,within_long_d14,0.6387,1.0,36
k5_s2,5,2,within_long_d15,0.6466,1.0,34
k5_s2,5,2,within_long_d16,0.6605,1.0,32
k5_s2,5,2,within_long_d17,0.666,1.0,30
k5_s2,5,2,within_long_d18,0.592,1.0,28
k5_s2,5,2,within_long_d19,0.4434,1.0,26
k5_s2,5,2,within_long_d20,0.4439,1.0,24
k5_s2,5,2,within_long_d21,0.4432,1.0,22
k5_s2,5,2,within_long_d22,0.44,1.0,20
k5_s2,5,2,within_long_d23,0.4337,1.0,18
k5_s2,5,2,within_long_d24,0.4288,1.0,16
k5_s2,5,2,within_long_d25,0.4275,1.0,14
k5_s2,5,2,within_long_d26,0.4252,1.0,12
k5_s2,5,2,within_long_d27,0.4267,1.0,10
k5_s2,5,2,within_long_d28,0.4271,1.0,8
k5_s2,5,2,within_long_d29,0.425,1.0,6
k5_s2,5,2,within_long_d30,0.4252,1.0,4
k5_s2,5,2,within_long_d31,0.4267,1.0,2
k5_s3,5,3,within_long,0.6874,1.0,151200
k5_s3,5,3,within_short,0.1248,0.1818,26400
k5_s3,5,3,cut,-0.158,0.0,67200
k5_s3,5,3,cut,-0.158,0.0,67200
k5_s3,5,3,within_long_d1,0.8912,1.0,54
k5_s3,5,3,within_long_d2,0.8084,1.0,52
k5_s3,5,3,within_long_d3,0.7689,1.0,50
k5_s3,5,3,within_long_d4,0.7449,1.0,48
k5_s3,5,3,within_long_d5,0.73,1.0,46
k5_s3,5,3,within_long_d6,0.7163,1.0,44
k5_s3,5,3,within_long_d7,0.699,1.0,42
k5_s3,5,3,within_long_d8,0.6862,1.0,40
k5_s3,5,3,within_long_d9,0.6799,1.0,38
k5_s3,5,3,within_long_d10,0.671,1.0,36
k5_s3,5,3,within_long_d11,0.6689,1.0,34
k5_s3,5,3,within_long_d12,0.6625,1.0,32
k5_s3,5,3,within_long_d13,0.6578,1.0,30
k5_s3,5,3,within_long_d14,0.652,1.0,28
k5_s3,5,3,within_long_d15,0.6685,1.0,26
k5_s3,5,3,within_long_d16,0.6918,1.0,24
k5_s3,5,3,within_long_d17,0.7018,1.0,22
k5_s3,5,3,within_long_d18,0.619,1.0,20
k5_s3,5,3,within_long_d19,0.4488,1.0,18
k5_s3,5,3,within_long_d20,0.4452,1.0,16
k5_s3,5,3,within_long_d21,0.444,1.0,14
k5_s3,5,3,within_long_d22,0.4408,1.0,12
k5_s3,5,3,within_long_d23,0.4403,1.0,10
k5_s3,5,3,within_long_d24,0.436,1.0,8
k5_s3,5,3,within_long_d25,0.4266,1.0,6
k5_s3,5,3,within_long_d26,0.4255,1.0,4
