task 3 -> n=20 p=0.08 L=3 seed=2000  (mixed, bridged held out)
== n20_mixed_roberta_linear_lam0_L3_seed2000 ==
 device=cuda arch=roberta readout=linear lambda=0.0 params=9,479,188
 step  240000 loss=0.00011 bce=0.00011 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 49s
 step  245000 loss=0.00010 bce=0.00010 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 49s
 step  250000 loss=0.00010 bce=0.00010 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 49s
 step  255000 loss=0.00010 bce=0.00010 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 49s
 step  260000 loss=0.00010 bce=0.00010 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  265000 loss=0.00008 bce=0.00008 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 49s
 step  270000 loss=0.00011 bce=0.00011 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 49s
 step  275000 loss=0.00008 bce=0.00008 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  280000 loss=0.00009 bce=0.00009 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  285000 loss=0.00009 bce=0.00009 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 49s
 step  290000 loss=0.00007 bce=0.00007 lap=0.00 lam=0.0e+00 val=0.9992 2ch=1.000 2cl=1.000 49s
 step  295000 loss=0.00008 bce=0.00008 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  300000 loss=0.00008 bce=0.00008 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  305000 loss=0.00008 bce=0.00008 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step  310000 loss=0.00007 bce=0.00007 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  315000 loss=0.00007 bce=0.00007 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  320000 loss=0.00008 bce=0.00008 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  325000 loss=0.00006 bce=0.00006 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  330000 loss=0.00007 bce=0.00007 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  335000 loss=0.00008 bce=0.00008 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 49s
 step  340000 loss=0.00006 bce=0.00006 lap=0.00 lam=0.0e+00 val=0.9998 2ch=0.999 2cl=1.000 49s
 step  345000 loss=0.00006 bce=0.00006 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  350000 loss=0.00006 bce=0.00006 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 49s
 step  355000 loss=0.00006 bce=0.00006 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  360000 loss=0.00006 bce=0.00006 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  365000 loss=0.00005 bce=0.00005 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  370000 loss=0.00005 bce=0.00005 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step  375000 loss=0.00005 bce=0.00005 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  380000 loss=0.00006 bce=0.00006 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  385000 loss=0.00005 bce=0.00005 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  390000 loss=0.00006 bce=0.00006 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step  395000 loss=0.00005 bce=0.00005 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  400000 loss=0.00005 bce=0.00005 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  405000 loss=0.00005 bce=0.00005 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  410000 loss=0.00005 bce=0.00005 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 49s
 step  415000 loss=0.00004 bce=0.00004 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  420000 loss=0.00004 bce=0.00004 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  425000 loss=0.00004 bce=0.00004 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
