task 2 -> n=20 p=0.05 seed=3000  (out: runs/report5/density_sweep/p05)
== n20_er_roberta_linear_lam0_seed3000 ==
 device=cuda arch=roberta readout=linear lambda=0.0 params=6,326,804
 step  210000 loss=0.00408 bce=0.00408 lap=0.00 lam=0.0e+00 val=0.9928 2ch=0.000 2cl=0.000 35s
 step  215000 loss=0.00401 bce=0.00401 lap=0.00 lam=0.0e+00 val=0.9924 2ch=0.000 2cl=0.000 35s
 step  220000 loss=0.00397 bce=0.00397 lap=0.00 lam=0.0e+00 val=0.9914 2ch=0.000 2cl=0.000 35s
 step  225000 loss=0.00388 bce=0.00388 lap=0.00 lam=0.0e+00 val=0.9888 2ch=0.000 2cl=0.000 35s
 step  230000 loss=0.00386 bce=0.00386 lap=0.00 lam=0.0e+00 val=0.9934 2ch=0.000 2cl=0.005 35s
 step  235000 loss=0.00382 bce=0.00382 lap=0.00 lam=0.0e+00 val=0.9920 2ch=0.000 2cl=0.000 35s
 step  240000 loss=0.00378 bce=0.00378 lap=0.00 lam=0.0e+00 val=0.9850 2ch=0.000 2cl=0.000 35s
 step  245000 loss=0.00375 bce=0.00375 lap=0.00 lam=0.0e+00 val=0.9920 2ch=0.000 2cl=0.000 35s
 step  250000 loss=0.00368 bce=0.00368 lap=0.00 lam=0.0e+00 val=0.9890 2ch=0.000 2cl=0.000 35s
 step  255000 loss=0.00365 bce=0.00365 lap=0.00 lam=0.0e+00 val=0.9912 2ch=0.000 2cl=0.000 35s
 step  260000 loss=0.00362 bce=0.00362 lap=0.00 lam=0.0e+00 val=0.9894 2ch=0.000 2cl=0.000 35s
 step  265000 loss=0.00358 bce=0.00358 lap=0.00 lam=0.0e+00 val=0.9924 2ch=0.000 2cl=0.000 35s
 step  270000 loss=0.00352 bce=0.00352 lap=0.00 lam=0.0e+00 val=0.9908 2ch=0.000 2cl=0.000 35s
 step  275000 loss=0.00349 bce=0.00349 lap=0.00 lam=0.0e+00 val=0.9932 2ch=0.000 2cl=0.000 35s
 step  280000 loss=0.00348 bce=0.00348 lap=0.00 lam=0.0e+00 val=0.9904 2ch=0.000 2cl=0.000 35s
 step  285000 loss=0.00343 bce=0.00343 lap=0.00 lam=0.0e+00 val=0.9944 2ch=0.000 2cl=0.000 35s
 step  290000 loss=0.00338 bce=0.00338 lap=0.00 lam=0.0e+00 val=0.9922 2ch=0.000 2cl=0.000 35s
 step  295000 loss=0.00334 bce=0.00334 lap=0.00 lam=0.0e+00 val=0.9908 2ch=0.000 2cl=0.000 35s
 step  300000 loss=0.00331 bce=0.00331 lap=0.00 lam=0.0e+00 val=0.9900 2ch=0.000 2cl=0.000 35s
 step  305000 loss=0.00328 bce=0.00328 lap=0.00 lam=0.0e+00 val=0.9936 2ch=0.000 2cl=0.000 35s
 step  310000 loss=0.00324 bce=0.00324 lap=0.00 lam=0.0e+00 val=0.9930 2ch=0.000 2cl=0.000 35s
 step  315000 loss=0.00323 bce=0.00323 lap=0.00 lam=0.0e+00 val=0.9916 2ch=0.000 2cl=0.000 35s
