=== Job info ===
Node:  gnode14
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Big ER training: ER(n=40, p=0.05), filter=diam7
  d_model=512, normalized-ReLU, online data, bf16
  Output: runs/retrain_er_n40_big_495199/n40_p005_diam7_big
========================================================================

Generating 10,000 test graphs (D≤7) with 32 workers …
  done in 7.1s
  device: cuda
  parameters: 6,347,304
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step    5000 | lr=1.00e-04 | loss=0.058633 | exact=0.9844 | pair=0.9999 | 369.2s for 5000 steps
  step   10000 | lr=1.00e-04 | loss=0.000979 | exact=0.9949 | pair=1.0000 | 365.5s for 5000 steps
  step   15000 | lr=1.00e-04 | loss=0.000922 | exact=0.9940 | pair=1.0000 | 363.8s for 5000 steps
  step   20000 | lr=9.99e-05 | loss=0.000431 | exact=0.8704 | pair=0.9989 | 363.2s for 5000 steps
  step   25000 | lr=9.99e-05 | loss=0.000416 | exact=0.9962 | pair=1.0000 | 363.1s for 5000 steps
  step   30000 | lr=9.98e-05 | loss=0.000236 | exact=0.9924 | pair=1.0000 | 364.0s for 5000 steps
  step   35000 | lr=9.97e-05 | loss=0.000250 | exact=0.9985 | pair=1.0000 | 364.3s for 5000 steps
  step   40000 | lr=9.96e-05 | loss=0.000185 | exact=0.9962 | pair=1.0000 | 365.3s for 5000 steps
  step   45000 | lr=9.95e-05 | loss=0.000186 | exact=0.9778 | pair=0.9999 | 365.4s for 5000 steps
  step   50000 | lr=9.94e-05 | loss=0.000175 | exact=0.9834 | pair=0.9999 | 363.9s for 5000 steps
  step   55000 | lr=9.93e-05 | loss=0.000150 | exact=0.9987 | pair=1.0000 | 364.9s for 5000 steps
  step   60000 | lr=9.91e-05 | loss=0.000136 | exact=0.9878 | pair=1.0000 | 366.6s for 5000 steps
  step   65000 | lr=9.90e-05 | loss=0.000118 | exact=0.9971 | pair=1.0000 | 365.0s for 5000 steps
  step   70000 | lr=9.88e-05 | loss=0.000117 | exact=0.9962 | pair=1.0000 | 364.7s for 5000 steps
  step   75000 | lr=9.87e-05 | loss=0.000103 | exact=0.9746 | pair=0.9999 | 366.4s for 5000 steps
  step   80000 | lr=9.85e-05 | loss=0.000095 | exact=0.9985 | pair=1.0000 | 367.1s for 5000 steps
  step   85000 | lr=9.83e-05 | loss=0.000098 | exact=0.9990 | pair=1.0000 | 365.0s for 5000 steps
  step   90000 | lr=9.81e-05 | loss=0.000073 | exact=0.9933 | pair=1.0000 | 365.6s for 5000 steps
  step   95000 | lr=9.78e-05 | loss=0.000088 | exact=0.9991 | pair=1.0000 | 364.7s for 5000 steps
  step  100000 | lr=9.76e-05 | loss=0.000075 | exact=0.9930 | pair=1.0000 | 367.1s for 5000 steps
  step  105000 | lr=9.73e-05 | loss=0.000068 | exact=0.9998 | pair=1.0000 | 362.7s for 5000 steps
  step  110000 | lr=9.71e-05 | loss=0.000069 | exact=0.9996 | pair=1.0000 | 364.4s for 5000 steps
  step  115000 | lr=9.68e-05 | loss=0.000063 | exact=0.9980 | pair=1.0000 | 364.8s for 5000 steps
  step  120000 | lr=9.65e-05 | loss=0.000050 | exact=0.9929 | pair=1.0000 | 369.1s for 5000 steps
  step  125000 | lr=9.62e-05 | loss=0.000054 | exact=0.9813 | pair=0.9999 | 365.6s for 5000 steps
  step  130000 | lr=9.59e-05 | loss=0.000044 | exact=0.9969 | pair=1.0000 | 364.5s for 5000 steps
  step  135000 | lr=9.56e-05 | loss=0.000053 | exact=0.9882 | pair=0.9999 | 364.9s for 5000 steps
  step  140000 | lr=9.53e-05 | loss=0.000042 | exact=0.9993 | pair=1.0000 | 367.1s for 5000 steps
  step  145000 | lr=9.50e-05 | loss=0.000042 | exact=0.9912 | pair=1.0000 | 359.5s for 5000 steps
  step  150000 | lr=9.46e-05 | loss=0.000041 | exact=0.9997 | pair=1.0000 | 358.6s for 5000 steps
  step  155000 | lr=9.43e-05 | loss=0.000041 | exact=0.9984 | pair=1.0000 | 360.1s for 5000 steps
  step  160000 | lr=9.39e-05 | loss=0.000030 | exact=0.9981 | pair=1.0000 | 361.2s for 5000 steps
  step  165000 | lr=9.35e-05 | loss=0.000037 | exact=0.9991 | pair=1.0000 | 362.4s for 5000 steps
  step  170000 | lr=9.31e-05 | loss=0.000023 | exact=1.0000 | pair=1.0000 | 361.6s for 5000 steps
  step  175000 | lr=9.27e-05 | loss=0.000029 | exact=0.9995 | pair=1.0000 | 360.7s for 5000 steps
  step  180000 | lr=9.23e-05 | loss=0.000034 | exact=0.9996 | pair=1.0000 | 361.2s for 5000 steps
  step  185000 | lr=9.19e-05 | loss=0.000027 | exact=0.9997 | pair=1.0000 | 363.6s for 5000 steps
  step  190000 | lr=9.14e-05 | loss=0.000029 | exact=0.9996 | pair=1.0000 | 359.7s for 5000 steps
  step  195000 | lr=9.10e-05 | loss=0.000022 | exact=1.0000 | pair=1.0000 | 362.7s for 5000 steps
  step  200000 | lr=9.05e-05 | loss=0.000021 | exact=0.9958 | pair=1.0000 | 360.8s for 5000 steps
  step  205000 | lr=9.01e-05 | loss=0.000027 | exact=0.9989 | pair=1.0000 | 363.6s for 5000 steps
  step  210000 | lr=8.96e-05 | loss=0.000024 | exact=0.9996 | pair=1.0000 | 361.3s for 5000 steps
  step  215000 | lr=8.91e-05 | loss=0.000019 | exact=0.9998 | pair=1.0000 | 360.6s for 5000 steps
  step  220000 | lr=8.86e-05 | loss=0.000022 | exact=0.9991 | pair=1.0000 | 360.6s for 5000 steps
  step  225000 | lr=8.81e-05 | loss=0.000023 | exact=0.9997 | pair=1.0000 | 361.6s for 5000 steps
  step  230000 | lr=8.76e-05 | loss=0.000017 | exact=0.9991 | pair=1.0000 | 360.0s for 5000 steps
  step  235000 | lr=8.71e-05 | loss=0.000019 | exact=0.9995 | pair=1.0000 | 360.7s for 5000 steps
  step  240000 | lr=8.65e-05 | loss=0.000017 | exact=0.9957 | pair=1.0000 | 360.2s for 5000 steps
  step  245000 | lr=8.60e-05 | loss=0.000017 | exact=0.9994 | pair=1.0000 | 361.7s for 5000 steps
  step  250000 | lr=8.54e-05 | loss=0.000015 | exact=0.9990 | pair=1.0000 | 359.7s for 5000 steps
  step  255000 | lr=8.49e-05 | loss=0.000015 | exact=0.9994 | pair=1.0000 | 359.9s for 5000 steps
  step  260000 | lr=8.43e-05 | loss=0.000015 | exact=0.9997 | pair=1.0000 | 361.6s for 5000 steps
  step  265000 | lr=8.37e-05 | loss=0.000018 | exact=0.9952 | pair=1.0000 | 361.7s for 5000 steps
  step  270000 | lr=8.32e-05 | loss=0.000017 | exact=1.0000 | pair=1.0000 | 360.5s for 5000 steps
  step  275000 | lr=8.26e-05 | loss=0.000016 | exact=1.0000 | pair=1.0000 | 361.3s for 5000 steps
  step  280000 | lr=8.20e-05 | loss=0.000013 | exact=0.9993 | pair=1.0000 | 361.2s for 5000 steps
  step  285000 | lr=8.13e-05 | loss=0.000013 | exact=1.0000 | pair=1.0000 | 361.9s for 5000 steps
  step  290000 | lr=8.07e-05 | loss=0.000016 | exact=0.9997 | pair=1.0000 | 359.7s for 5000 steps
  step  295000 | lr=8.01e-05 | loss=0.000009 | exact=0.9994 | pair=1.0000 | 359.4s for 5000 steps
  step  300000 | lr=7.95e-05 | loss=0.000010 | exact=0.9999 | pair=1.0000 | 360.4s for 5000 steps
  step  305000 | lr=7.88e-05 | loss=0.000012 | exact=0.9999 | pair=1.0000 | 362.6s for 5000 steps
  step  310000 | lr=7.82e-05 | loss=0.000012 | exact=0.9993 | pair=1.0000 | 361.2s for 5000 steps
  step  315000 | lr=7.75e-05 | loss=0.000011 | exact=0.9991 | pair=1.0000 | 360.1s for 5000 steps
  step  320000 | lr=7.69e-05 | loss=0.000012 | exact=0.9991 | pair=1.0000 | 360.8s for 5000 steps
  step  325000 | lr=7.62e-05 | loss=0.000010 | exact=0.9999 | pair=1.0000 | 361.8s for 5000 steps
  step  330000 | lr=7.55e-05 | loss=0.000012 | exact=0.9999 | pair=1.0000 | 359.7s for 5000 steps
  step  335000 | lr=7.49e-05 | loss=0.000013 | exact=1.0000 | pair=1.0000 | 359.7s for 5000 steps
  step  340000 | lr=7.42e-05 | loss=0.000007 | exact=0.9997 | pair=1.0000 | 360.2s for 5000 steps
  step  345000 | lr=7.35e-05 | loss=0.000011 | exact=0.9998 | pair=1.0000 | 361.3s for 5000 steps
  step  350000 | lr=7.28e-05 | loss=0.000007 | exact=0.9964 | pair=1.0000 | 360.0s for 5000 steps
  step  355000 | lr=7.21e-05 | loss=0.000007 | exact=0.9994 | pair=1.0000 | 360.4s for 5000 steps
  step  360000 | lr=7.14e-05 | loss=0.000007 | exact=0.9996 | pair=1.0000 | 359.4s for 5000 steps
  step  365000 | lr=7.07e-05 | loss=0.000008 | exact=1.0000 | pair=1.0000 | 362.8s for 5000 steps
  step  370000 | lr=6.99e-05 | loss=0.000006 | exact=0.9998 | pair=1.0000 | 362.1s for 5000 steps
  step  375000 | lr=6.92e-05 | loss=0.000008 | exact=0.9999 | pair=1.0000 | 360.1s for 5000 steps
  step  380000 | lr=6.85e-05 | loss=0.000010 | exact=0.9988 | pair=1.0000 | 361.4s for 5000 steps
  step  385000 | lr=6.78e-05 | loss=0.000004 | exact=0.9999 | pair=1.0000 | 362.3s for 5000 steps
  step  390000 | lr=6.70e-05 | loss=0.000008 | exact=0.9998 | pair=1.0000 | 361.5s for 5000 steps
  step  395000 | lr=6.63e-05 | loss=0.000007 | exact=0.9998 | pair=1.0000 | 360.5s for 5000 steps
  step  400000 | lr=6.55e-05 | loss=0.000004 | exact=1.0000 | pair=1.0000 | 360.0s for 5000 steps
  step  405000 | lr=6.48e-05 | loss=0.000005 | exact=1.0000 | pair=1.0000 | 363.4s for 5000 steps
  step  410000 | lr=6.40e-05 | loss=0.000006 | exact=0.9996 | pair=1.0000 | 360.7s for 5000 steps
  step  415000 | lr=6.33e-05 | loss=0.000005 | exact=0.9994 | pair=1.0000 | 360.7s for 5000 steps
  step  420000 | lr=6.25e-05 | loss=0.000006 | exact=1.0000 | pair=1.0000 | 360.1s for 5000 steps
  step  425000 | lr=6.18e-05 | loss=0.000006 | exact=0.9989 | pair=1.0000 | 362.2s for 5000 steps
  step  430000 | lr=6.10e-05 | loss=0.000005 | exact=1.0000 | pair=1.0000 | 360.4s for 5000 steps
  step  435000 | lr=6.02e-05 | loss=0.000005 | exact=0.9997 | pair=1.0000 | 362.1s for 5000 steps
  step  440000 | lr=5.95e-05 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 362.9s for 5000 steps
  step  445000 | lr=5.87e-05 | loss=0.000005 | exact=0.9994 | pair=1.0000 | 363.4s for 5000 steps
  step  450000 | lr=5.79e-05 | loss=0.000005 | exact=0.9999 | pair=1.0000 | 362.5s for 5000 steps
  step  455000 | lr=5.71e-05 | loss=0.000003 | exact=0.9998 | pair=1.0000 | 360.2s for 5000 steps
  step  460000 | lr=5.64e-05 | loss=0.000003 | exact=0.9995 | pair=1.0000 | 361.8s for 5000 steps
  step  465000 | lr=5.56e-05 | loss=0.000004 | exact=0.9994 | pair=1.0000 | 361.6s for 5000 steps
  step  470000 | lr=5.48e-05 | loss=0.000004 | exact=1.0000 | pair=1.0000 | 360.9s for 5000 steps
  step  475000 | lr=5.40e-05 | loss=0.000003 | exact=1.0000 | pair=1.0000 | 362.5s for 5000 steps
  step  480000 | lr=5.32e-05 | loss=0.000003 | exact=0.9999 | pair=1.0000 | 360.5s for 5000 steps
  step  485000 | lr=5.24e-05 | loss=0.000003 | exact=1.0000 | pair=1.0000 | 361.8s for 5000 steps
  step  490000 | lr=5.17e-05 | loss=0.000003 | exact=1.0000 | pair=1.0000 | 362.0s for 5000 steps
  step  495000 | lr=5.09e-05 | loss=0.000004 | exact=1.0000 | pair=1.0000 | 361.7s for 5000 steps
  step  500000 | lr=5.01e-05 | loss=0.000002 | exact=0.9992 | pair=1.0000 | 361.4s for 5000 steps
  step  505000 | lr=4.93e-05 | loss=0.000003 | exact=0.9999 | pair=1.0000 | 363.7s for 5000 steps
  step  510000 | lr=4.85e-05 | loss=0.000003 | exact=1.0000 | pair=1.0000 | 359.0s for 5000 steps
  step  515000 | lr=4.77e-05 | loss=0.000002 | exact=0.9997 | pair=1.0000 | 361.9s for 5000 steps
  step  520000 | lr=4.69e-05 | loss=0.000001 | exact=1.0000 | pair=1.0000 | 362.6s for 5000 steps
  step  525000 | lr=4.62e-05 | loss=0.000002 | exact=0.9999 | pair=1.0000 | 363.6s for 5000 steps
  step  530000 | lr=4.54e-05 | loss=0.000002 | exact=1.0000 | pair=1.0000 | 360.6s for 5000 steps
  step  535000 | lr=4.46e-05 | loss=0.000002 | exact=0.9999 | pair=1.0000 | 360.2s for 5000 steps
  step  540000 | lr=4.38e-05 | loss=0.000001 | exact=0.9997 | pair=1.0000 | 360.3s for 5000 steps
  step  545000 | lr=4.30e-05 | loss=0.000002 | exact=0.9999 | pair=1.0000 | 361.9s for 5000 steps
  step  550000 | lr=4.22e-05 | loss=0.000002 | exact=0.9997 | pair=1.0000 | 361.4s for 5000 steps
  step  555000 | lr=4.15e-05 | loss=0.000002 | exact=0.9998 | pair=1.0000 | 358.6s for 5000 steps
  step  560000 | lr=4.07e-05 | loss=0.000001 | exact=1.0000 | pair=1.0000 | 361.5s for 5000 steps
  step  565000 | lr=3.99e-05 | loss=0.000001 | exact=0.9999 | pair=1.0000 | 361.0s for 5000 steps
  step  570000 | lr=3.92e-05 | loss=0.000002 | exact=0.9998 | pair=1.0000 | 359.9s for 5000 steps
  step  575000 | lr=3.84e-05 | loss=0.000001 | exact=1.0000 | pair=1.0000 | 362.2s for 5000 steps
  step  580000 | lr=3.76e-05 | loss=0.000001 | exact=0.9991 | pair=1.0000 | 360.6s for 5000 steps
  step  585000 | lr=3.69e-05 | loss=0.000001 | exact=1.0000 | pair=1.0000 | 360.4s for 5000 steps
  step  590000 | lr=3.61e-05 | loss=0.000001 | exact=1.0000 | pair=1.0000 | 362.4s for 5000 steps
  step  595000 | lr=3.54e-05 | loss=0.000002 | exact=0.9996 | pair=1.0000 | 361.8s for 5000 steps
  step  600000 | lr=3.46e-05 | loss=0.000001 | exact=1.0000 | pair=1.0000 | 361.5s for 5000 steps
  step  605000 | lr=3.39e-05 | loss=0.000000 | exact=1.0000 | pair=1.0000 | 361.2s for 5000 steps
  step  610000 | lr=3.31e-05 | loss=0.000001 | exact=0.9998 | pair=1.0000 | 364.5s for 5000 steps
  step  615000 | lr=3.24e-05 | loss=0.000001 | exact=1.0000 | pair=1.0000 | 373.7s for 5000 steps
  step  620000 | lr=3.16e-05 | loss=0.000001 | exact=0.9998 | pair=1.0000 | 371.1s for 5000 steps
  step  625000 | lr=3.09e-05 | loss=0.000000 | exact=1.0000 | pair=1.0000 | 371.4s for 5000 steps
  step  630000 | lr=3.02e-05 | loss=0.000000 | exact=1.0000 | pair=1.0000 | 373.3s for 5000 steps
  step  635000 | lr=2.95e-05 | loss=0.000000 | exact=1.0000 | pair=1.0000 | 371.3s for 5000 steps
