task 0 -> n=20 p=0.08 L=1 seed=1000  (mixed, bridged held out)
== n20_mixed_roberta_linear_lam0_L1_seed1000 ==
 device=cuda arch=roberta readout=linear lambda=0.0 params=3,174,420
 step    5000 loss=0.34671 bce=0.34671 lap=0.00 lam=0.0e+00 val=0.3626 2ch=0.000 2cl=1.000 28s
 step   10000 loss=0.29568 bce=0.29568 lap=0.00 lam=0.0e+00 val=0.3714 2ch=0.000 2cl=1.000 27s
 step   15000 loss=0.27781 bce=0.27781 lap=0.00 lam=0.0e+00 val=0.2702 2ch=0.000 2cl=1.000 27s
 step   20000 loss=0.27102 bce=0.27102 lap=0.00 lam=0.0e+00 val=0.2658 2ch=0.000 2cl=1.000 27s
 step   25000 loss=0.26659 bce=0.26659 lap=0.00 lam=0.0e+00 val=0.3850 2ch=0.000 2cl=1.000 27s
 step   30000 loss=0.26331 bce=0.26331 lap=0.00 lam=0.0e+00 val=0.3844 2ch=0.000 2cl=1.000 27s
 step   35000 loss=0.25853 bce=0.25853 lap=0.00 lam=0.0e+00 val=0.2836 2ch=0.000 2cl=1.000 27s
 step   40000 loss=0.25714 bce=0.25714 lap=0.00 lam=0.0e+00 val=0.4092 2ch=0.000 2cl=1.000 27s
 step   45000 loss=0.25443 bce=0.25443 lap=0.00 lam=0.0e+00 val=0.2472 2ch=0.000 2cl=1.000 27s
 step   50000 loss=0.25321 bce=0.25321 lap=0.00 lam=0.0e+00 val=0.2884 2ch=0.000 2cl=1.000 27s
 step   55000 loss=0.25036 bce=0.25036 lap=0.00 lam=0.0e+00 val=0.4090 2ch=0.000 2cl=1.000 27s
 step   60000 loss=0.25031 bce=0.25031 lap=0.00 lam=0.0e+00 val=0.5288 2ch=0.000 2cl=1.000 27s
 step   65000 loss=0.24766 bce=0.24766 lap=0.00 lam=0.0e+00 val=0.4960 2ch=0.000 2cl=1.000 27s
 step   70000 loss=0.24777 bce=0.24777 lap=0.00 lam=0.0e+00 val=0.4784 2ch=0.000 2cl=1.000 27s
 step   75000 loss=0.24639 bce=0.24639 lap=0.00 lam=0.0e+00 val=0.4928 2ch=0.000 2cl=1.000 27s
