=== Job info ===
Node:  gnode11
Array task: 0  -> seed=1000
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Paper reproduction (standard Transformer): ER(n=20, p=0.08), filter=unrestricted, seed=1000
  arch=roberta, d_model=512, single-head, normalized-ReLU, 2 layers, online, bf16
  Output: runs/repro_paper_n20_roberta/n20_p008_unrestricted_seed1000
========================================================================

Generating 10,000 ER test graphs (unfiltered) with 16 workers …
  done in 6.7s
Generating 10,000 two_chains test graphs …
  done in 0.4s
Generating 10,000 two_cliques test graphs …
  done in 0.5s
  device: cuda
  arch: roberta
  parameters: 6,326,804
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step  215000 | lr=8.91e-05 | loss=0.001147 | ER=0.9975 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step  220000 | lr=8.86e-05 | loss=0.001133 | ER=0.9960 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step  225000 | lr=8.81e-05 | loss=0.001102 | ER=0.9981 | 2chain=0.0001 | 2clique=0.0000 | 29.8s/5000
  step  230000 | lr=8.76e-05 | loss=0.001084 | ER=0.9981 | 2chain=0.0011 | 2clique=0.0000 | 29.9s/5000
  step  235000 | lr=8.71e-05 | loss=0.001036 | ER=0.9968 | 2chain=0.0002 | 2clique=0.0000 | 29.9s/5000
  step  240000 | lr=8.65e-05 | loss=0.001035 | ER=0.9984 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step  245000 | lr=8.60e-05 | loss=0.001013 | ER=0.9983 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step  250000 | lr=8.54e-05 | loss=0.000985 | ER=0.9965 | 2chain=0.0019 | 2clique=0.0000 | 29.8s/5000
  step  255000 | lr=8.49e-05 | loss=0.000972 | ER=0.9969 | 2chain=0.0009 | 2clique=0.0000 | 29.8s/5000
  step  260000 | lr=8.43e-05 | loss=0.000953 | ER=0.9973 | 2chain=0.0012 | 2clique=0.0000 | 29.8s/5000
  step  265000 | lr=8.37e-05 | loss=0.000929 | ER=0.9979 | 2chain=0.0002 | 2clique=0.0000 | 29.9s/5000
  step  270000 | lr=8.32e-05 | loss=0.000912 | ER=0.9959 | 2chain=0.0001 | 2clique=0.0000 | 29.9s/5000
  step  275000 | lr=8.26e-05 | loss=0.000884 | ER=0.9987 | 2chain=0.0001 | 2clique=0.0000 | 29.9s/5000
  step  280000 | lr=8.20e-05 | loss=0.000882 | ER=0.9976 | 2chain=0.0005 | 2clique=0.0000 | 29.8s/5000
  step  285000 | lr=8.13e-05 | loss=0.000861 | ER=0.9965 | 2chain=0.0034 | 2clique=0.0000 | 29.8s/5000
  step  290000 | lr=8.07e-05 | loss=0.000847 | ER=0.9984 | 2chain=0.0000 | 2clique=0.0000 | 29.9s/5000
  step  295000 | lr=8.01e-05 | loss=0.000836 | ER=0.9991 | 2chain=0.0002 | 2clique=0.0000 | 29.8s/5000
  step  300000 | lr=7.95e-05 | loss=0.000812 | ER=0.9982 | 2chain=0.0004 | 2clique=0.0000 | 29.8s/5000
  step  305000 | lr=7.88e-05 | loss=0.000812 | ER=0.9974 | 2chain=0.0000 | 2clique=0.0000 | 29.9s/5000
  step  310000 | lr=7.82e-05 | loss=0.000792 | ER=0.9986 | 2chain=0.0003 | 2clique=0.0000 | 29.9s/5000
  step  315000 | lr=7.75e-05 | loss=0.000785 | ER=0.9971 | 2chain=0.0057 | 2clique=0.0000 | 29.9s/5000
  step  320000 | lr=7.69e-05 | loss=0.000761 | ER=0.9989 | 2chain=0.0003 | 2clique=0.0000 | 29.8s/5000
  step  325000 | lr=7.62e-05 | loss=0.000748 | ER=0.9975 | 2chain=0.0022 | 2clique=0.0000 | 29.8s/5000
  step  330000 | lr=7.55e-05 | loss=0.000742 | ER=0.9972 | 2chain=0.0013 | 2clique=0.0000 | 29.9s/5000
  step  335000 | lr=7.49e-05 | loss=0.000735 | ER=0.9982 | 2chain=0.0002 | 2clique=0.0000 | 29.8s/5000
