=== Job info ===
Node:  gnode12
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Big ER training: ER(n=40, p=0.05), filter=diam7
  d_model=512, normalized-ReLU, online data, bf16
  Output: runs/retrain_er_n40_big_495033/n40_p005_diam7_big
========================================================================

Generating 10,000 test graphs (D≤7) with 24 workers …
  done in 3.9s
  device: cuda
  parameters: 6,347,304
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step    5000 | lr=1.00e-04 | loss=0.058136 | exact=0.9774 | pair=0.9999 | 483.1s for 5000 steps
  step   10000 | lr=1.00e-04 | loss=0.001498 | exact=0.9328 | pair=0.9996 | 482.7s for 5000 steps
  step   15000 | lr=1.00e-04 | loss=0.000706 | exact=0.8556 | pair=0.9987 | 479.9s for 5000 steps
  step   20000 | lr=9.99e-05 | loss=0.000440 | exact=0.9977 | pair=1.0000 | 479.8s for 5000 steps
  step   25000 | lr=9.99e-05 | loss=0.000391 | exact=0.9447 | pair=0.9997 | 482.0s for 5000 steps
  step   30000 | lr=9.98e-05 | loss=0.000305 | exact=0.9784 | pair=0.9999 | 479.3s for 5000 steps
  step   35000 | lr=9.97e-05 | loss=0.000252 | exact=0.9990 | pair=1.0000 | 480.8s for 5000 steps
  step   40000 | lr=9.96e-05 | loss=0.000218 | exact=0.9987 | pair=1.0000 | 481.5s for 5000 steps
  step   45000 | lr=9.95e-05 | loss=0.000165 | exact=0.9986 | pair=1.0000 | 479.0s for 5000 steps
  step   50000 | lr=9.94e-05 | loss=0.000219 | exact=0.9974 | pair=1.0000 | 477.7s for 5000 steps
  step   55000 | lr=9.93e-05 | loss=0.000111 | exact=0.9994 | pair=1.0000 | 483.6s for 5000 steps
  step   60000 | lr=9.91e-05 | loss=0.000158 | exact=0.9969 | pair=1.0000 | 479.2s for 5000 steps
  step   65000 | lr=9.90e-05 | loss=0.000140 | exact=0.9847 | pair=1.0000 | 476.0s for 5000 steps
  step   70000 | lr=9.88e-05 | loss=0.000130 | exact=0.9976 | pair=1.0000 | 477.5s for 5000 steps
  step   75000 | lr=9.87e-05 | loss=0.000100 | exact=0.9993 | pair=1.0000 | 477.9s for 5000 steps
  step   80000 | lr=9.85e-05 | loss=0.000112 | exact=0.9986 | pair=1.0000 | 479.1s for 5000 steps
  step   85000 | lr=9.83e-05 | loss=0.000083 | exact=0.9697 | pair=0.9999 | 478.2s for 5000 steps
  step   90000 | lr=9.81e-05 | loss=0.000092 | exact=0.9990 | pair=1.0000 | 481.7s for 5000 steps
  step   95000 | lr=9.78e-05 | loss=0.000076 | exact=0.9896 | pair=1.0000 | 478.5s for 5000 steps
  step  100000 | lr=9.76e-05 | loss=0.000086 | exact=0.9940 | pair=1.0000 | 478.5s for 5000 steps
  step  105000 | lr=9.73e-05 | loss=0.000065 | exact=0.9987 | pair=1.0000 | 480.6s for 5000 steps
  step  110000 | lr=9.71e-05 | loss=0.000067 | exact=0.9869 | pair=1.0000 | 470.1s for 5000 steps
  step  115000 | lr=9.68e-05 | loss=0.000054 | exact=0.9970 | pair=1.0000 | 468.8s for 5000 steps
  step  120000 | lr=9.65e-05 | loss=0.000057 | exact=0.9992 | pair=1.0000 | 471.0s for 5000 steps
