== eval_threeway_splitchains.py --topology cycle (full behavioural sweep) ==
checkpoint=runs/report9/n46_train/n46_split_cycles_roberta_similarity_lam0_seed1000/last.pt
  arch=roberta readout=similarity n=46 device=cpu topology=cycle
testing 133 distinct 3-way size combinations (partitions of 46, min_size=3)
  sizes=(5, 15, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.8943,0.8842,0.0) pos_rate=0.828
  sizes=(5, 16, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.8939,0.8928,0.0) pos_rate=0.827
  sizes=(5, 17, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9041,0.8958,0.0) pos_rate=0.826
  sizes=(5, 18, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9108,0.9112,0.0) pos_rate=0.824
  sizes=(5, 19, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9168,0.9121,0.0) pos_rate=0.823
  sizes=(5, 20, 21) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9188,0.895,0.0) pos_rate=0.824
  sizes=(6, 6, 34) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,1.0,1.0) pos_rate=0.614
  sizes=(6, 7, 33) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,1.0,1.0) pos_rate=0.595
  sizes=(6, 8, 32) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,1.0,1.0) pos_rate=0.577
  sizes=(6, 9, 31) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,1.0,1.0) pos_rate=0.560
  sizes=(6, 10, 30) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0863,1.0,0.9997) pos_rate=0.541
  sizes=(6, 11, 29) exact=0.100 reach=(1.0,1.0,1.0) cut=(0.9767,1.0,0.8901) pos_rate=0.506
  sizes=(6, 12, 28) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.773
  sizes=(6, 13, 27) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.773
  sizes=(6, 14, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.773
  sizes=(6, 15, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.773
  sizes=(6, 16, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.773
  sizes=(6, 17, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.773
  sizes=(6, 18, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.773
  sizes=(6, 19, 21) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.773
  sizes=(6, 20, 20) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.773
  sizes=(7, 7, 32) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,1.0,1.0) pos_rate=0.577
  sizes=(7, 8, 31) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,1.0,1.0) pos_rate=0.560
  sizes=(7, 9, 30) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,1.0,1.0) pos_rate=0.546
  sizes=(7, 10, 29) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,1.0,1.0) pos_rate=0.534
  sizes=(7, 11, 28) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0032,1.0,1.0) pos_rate=0.523
  sizes=(7, 12, 27) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.742
  sizes=(7, 13, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.742
  sizes=(7, 14, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.742
  sizes=(7, 15, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.742
  sizes=(7, 16, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.742
  sizes=(7, 17, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.742
  sizes=(7, 18, 21) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.742
  sizes=(7, 19, 20) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.742
  sizes=(8, 8, 30) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,1.0,1.0) pos_rate=0.546
  sizes=(8, 9, 29) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,1.0,1.0) pos_rate=0.534
  sizes=(8, 10, 28) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,1.0,1.0) pos_rate=0.524
  sizes=(8, 11, 27) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0017,1.0,1.0) pos_rate=0.515
  sizes=(8, 12, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.713
  sizes=(8, 13, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.713
  sizes=(8, 14, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.713
  sizes=(8, 15, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.713
  sizes=(8, 16, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.713
  sizes=(8, 17, 21) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.713
  sizes=(8, 18, 20) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.713
  sizes=(8, 19, 19) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.713
  sizes=(9, 9, 28) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,1.0,1.0) pos_rate=0.524
  sizes=(9, 10, 27) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,1.0,1.0) pos_rate=0.515
  sizes=(9, 11, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0111,1.0,1.0) pos_rate=0.507
  sizes=(9, 12, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.685
  sizes=(9, 13, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.685
  sizes=(9, 14, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.685
  sizes=(9, 15, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.685
  sizes=(9, 16, 21) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.685
  sizes=(9, 17, 20) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.685
  sizes=(9, 18, 19) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.685
  sizes=(10, 10, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0001,1.0,1.0) pos_rate=0.508
  sizes=(10, 11, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.2652,1.0,1.0) pos_rate=0.476
  sizes=(10, 12, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.660
  sizes=(10, 13, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.660
  sizes=(10, 14, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.660
  sizes=(10, 15, 21) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.660
  sizes=(10, 16, 20) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.660
  sizes=(10, 17, 19) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.660
  sizes=(10, 18, 18) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.660
