checkpoint=runs/report9/n46_train/n46_1chain+split_chains_roberta_similarity_lam0_seed1000/last.pt
  arch=roberta readout=similarity n=46 device=cpu
testing 176 distinct 3-way size combinations (partitions of 46)
  sizes=(1, 1, 44) exact=0.000 reach=(None,None,1.0) cut=(0.0,1.0,1.0)
  sizes=(1, 2, 43) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,0.0,0.9505)
  sizes=(1, 3, 42) exact=0.000 reach=(None,1.0,1.0) cut=(0.995,0.0,0.0146)
  sizes=(1, 4, 41) exact=0.000 reach=(None,1.0,1.0) cut=(0.7188,0.005,0.0297)
  sizes=(1, 5, 40) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,0.9595,0.0)
  sizes=(1, 6, 39) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(1, 7, 38) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(1, 8, 37) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,0.9997,0.0)
  sizes=(1, 9, 36) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(1, 10, 35) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(1, 11, 34) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(1, 12, 33) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(1, 13, 32) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(1, 14, 31) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(1, 15, 30) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(1, 16, 29) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(1, 17, 28) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(1, 18, 27) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(1, 19, 26) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(1, 20, 25) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(1, 21, 24) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(1, 22, 23) exact=0.000 reach=(None,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(2, 2, 42) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,1.0,1.0)
  sizes=(2, 3, 41) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0333,1.0,0.7815)
  sizes=(2, 4, 40) exact=0.000 reach=(1.0,0.415,1.0) cut=(0.5138,0.9998,0.4916)
  sizes=(2, 5, 39) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.88,0.0,0.0)
  sizes=(2, 6, 38) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(2, 7, 37) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,0.9761,0.0)
  sizes=(2, 8, 36) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9962,0.9547,0.0)
  sizes=(2, 9, 35) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,0.9641,0.0)
  sizes=(2, 10, 34) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,0.9984,0.0)
  sizes=(2, 11, 33) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(2, 12, 32) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(2, 13, 31) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(2, 14, 30) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(2, 15, 29) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(2, 16, 28) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(2, 17, 27) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(2, 18, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(2, 19, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(2, 20, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(2, 21, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(2, 22, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(3, 3, 40) exact=0.000 reach=(0.995,0.9933,1.0) cut=(0.0083,0.8968,0.9243)
  sizes=(3, 4, 39) exact=0.000 reach=(0.9883,0.3333,1.0) cut=(0.6083,0.7202,0.5)
  sizes=(3, 5, 38) exact=0.000 reach=(0.9633,1.0,1.0) cut=(0.3997,0.2663,0.0)
  sizes=(3, 6, 37) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,0.974,0.0)
  sizes=(3, 7, 36) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9974,0.9347,0.0)
  sizes=(3, 8, 35) exact=0.000 reach=(0.9883,1.0,1.0) cut=(0.9579,0.7902,0.0)
  sizes=(3, 9, 34) exact=0.000 reach=(0.9933,1.0,1.0) cut=(0.9857,0.908,0.0)
  sizes=(3, 10, 33) exact=0.000 reach=(0.9967,1.0,1.0) cut=(0.9987,0.9726,0.0)
  sizes=(3, 11, 32) exact=0.000 reach=(0.9967,1.0,1.0) cut=(1.0,0.9967,0.0)
  sizes=(3, 12, 31) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(3, 13, 30) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(3, 14, 29) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(3, 15, 28) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(3, 16, 27) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(3, 17, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(3, 18, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(3, 19, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(3, 20, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(3, 21, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(4, 4, 38) exact=0.000 reach=(0.4442,0.4225,1.0) cut=(0.4956,0.4731,0.4842)
  sizes=(4, 5, 37) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0005,0.0,0.0)
  sizes=(4, 6, 36) exact=0.000 reach=(0.9967,1.0,1.0) cut=(0.6952,0.6444,0.0)
  sizes=(4, 7, 35) exact=0.000 reach=(0.9933,1.0,1.0) cut=(0.542,0.5032,0.0)
  sizes=(4, 8, 34) exact=0.000 reach=(0.9917,1.0,1.0) cut=(0.4486,0.3815,0.0)
  sizes=(4, 9, 33) exact=0.000 reach=(0.9917,1.0,1.0) cut=(0.4917,0.4222,0.0)
  sizes=(4, 10, 32) exact=0.000 reach=(0.9975,1.0,1.0) cut=(0.5048,0.469,0.0)
  sizes=(4, 11, 31) exact=0.000 reach=(0.9983,1.0,1.0) cut=(0.8147,0.7217,0.0)
  sizes=(4, 12, 30) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(4, 13, 29) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(4, 14, 28) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(4, 15, 27) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(4, 16, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(4, 17, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(4, 18, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(4, 19, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(4, 20, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(4, 21, 21) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(5, 5, 36) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0)
  sizes=(5, 6, 35) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0262,0.0234,0.0)
  sizes=(5, 7, 34) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0006,0.0)
  sizes=(5, 8, 33) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0)
  sizes=(5, 9, 32) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0)
  sizes=(5, 10, 31) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0)
  sizes=(5, 11, 30) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.2685,0.0338,0.0)
  sizes=(5, 12, 29) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(5, 13, 28) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(5, 14, 27) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(5, 15, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(5, 16, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(5, 17, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(5, 18, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(5, 19, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(5, 20, 21) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(6, 6, 34) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.119,0.0587,0.0804)
  sizes=(6, 7, 33) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.3845,0.0176,0.203)
  sizes=(6, 8, 32) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.6709,0.0,0.3998)
  sizes=(6, 9, 31) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.8196,0.0,0.419)
  sizes=(6, 10, 30) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9164,0.0,0.4328)
  sizes=(6, 11, 29) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9851,0.0028,0.3493)
  sizes=(6, 12, 28) exact=0.000 reach=(1.0,1.0,0.9998) cut=(0.9865,1.0,0.178)
  sizes=(6, 13, 27) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9918,0.9997,0.1227)
  sizes=(6, 14, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9963,1.0,0.1002)
  sizes=(6, 15, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9969,0.9995,0.0698)
  sizes=(6, 16, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9965,0.9964,0.0614)
  sizes=(6, 17, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9995,1.0,0.04)
  sizes=(6, 18, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,0.9998,0.0224)
  sizes=(6, 19, 21) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,0.9998,0.0144)
  sizes=(6, 20, 20) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9995,0.9995,0.0161)
  sizes=(7, 7, 32) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.2117,0.0214,0.026)
  sizes=(7, 8, 31) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.2662,0.0,0.0942)
  sizes=(7, 9, 30) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.4321,0.0,0.0739)
  sizes=(7, 10, 29) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.6213,0.0,0.0888)
  sizes=(7, 11, 28) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9426,0.0394,0.0495)
  sizes=(7, 12, 27) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9978,1.0,0.0151)
  sizes=(7, 13, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0009)
  sizes=(7, 14, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.9999,1.0,0.0032)
  sizes=(7, 15, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0019)
  sizes=(7, 16, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0025)
  sizes=(7, 17, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0012)
  sizes=(7, 18, 21) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.002)
  sizes=(7, 19, 20) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0008)
  sizes=(8, 8, 30) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0227,0.0006,0.0027)
  sizes=(8, 9, 29) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0444,0.0,0.0)
  sizes=(8, 10, 28) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.1004,0.0,0.005)
  sizes=(8, 11, 27) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.7798,0.0954,0.0)
  sizes=(8, 12, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0001)
  sizes=(8, 13, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(8, 14, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(8, 15, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(8, 16, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(8, 17, 21) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(8, 18, 20) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(8, 19, 19) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(9, 9, 28) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.1152,0.0005,0.0014)
  sizes=(9, 10, 27) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.1899,0.0,0.0014)
  sizes=(9, 11, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.8294,0.0834,0.0)
  sizes=(9, 12, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(9, 13, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(9, 14, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(9, 15, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(9, 16, 21) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(9, 17, 20) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(9, 18, 19) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(10, 10, 26) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.2711,0.0,0.0)
  sizes=(10, 11, 25) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.8856,0.0792,0.0)
  sizes=(10, 12, 24) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(10, 13, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(10, 14, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(10, 15, 21) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
  sizes=(10, 16, 20) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0)
