=== Job info ===
Node:  gnode12
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Big ER curriculum: ER(n=40, p=0.05), 4 phases (D≤7→9→10→11)
  d_model=512, normalized-ReLU, online data, bf16
  Output: runs/curriculum_er_n40_big_494470/n40_p005_curriculum_big
========================================================================

Generating 10,000 test graphs (D≤11) with 32 workers …
  done in 5.3s
  device: cuda
  parameters: 6,347,304
  Starting curriculum training: total budget 1,000,000 steps
  Initial phase: phase1_d7 (D ≤ 7)
  step  205000 | phase 4 (phase4_d11) | lr=9.01e-05 | loss=0.000114 | exact=0.9900 | pair=0.9999 | 75.7s/5000
  step  210000 | phase 4 (phase4_d11) | lr=8.96e-05 | loss=0.000122 | exact=0.9969 | pair=1.0000 | 75.8s/5000
  step  215000 | phase 4 (phase4_d11) | lr=8.91e-05 | loss=0.000128 | exact=0.9966 | pair=1.0000 | 75.7s/5000
  step  220000 | phase 4 (phase4_d11) | lr=8.86e-05 | loss=0.000116 | exact=0.9967 | pair=1.0000 | 75.4s/5000
  step  225000 | phase 4 (phase4_d11) | lr=8.81e-05 | loss=0.000114 | exact=0.9973 | pair=1.0000 | 75.4s/5000
  step  230000 | phase 4 (phase4_d11) | lr=8.76e-05 | loss=0.000125 | exact=0.9959 | pair=1.0000 | 75.4s/5000
  step  235000 | phase 4 (phase4_d11) | lr=8.71e-05 | loss=0.000110 | exact=0.9936 | pair=1.0000 | 75.4s/5000
  step  240000 | phase 4 (phase4_d11) | lr=8.65e-05 | loss=0.000108 | exact=0.9970 | pair=1.0000 | 75.1s/5000
  step  245000 | phase 4 (phase4_d11) | lr=8.60e-05 | loss=0.000092 | exact=0.9953 | pair=1.0000 | 74.9s/5000
  step  250000 | phase 4 (phase4_d11) | lr=8.54e-05 | loss=0.000112 | exact=0.9919 | pair=0.9999 | 75.6s/5000
  step  255000 | phase 4 (phase4_d11) | lr=8.49e-05 | loss=0.000094 | exact=0.9964 | pair=1.0000 | 75.5s/5000
  step  260000 | phase 4 (phase4_d11) | lr=8.43e-05 | loss=0.000101 | exact=0.9977 | pair=1.0000 | 75.3s/5000
  step  265000 | phase 4 (phase4_d11) | lr=8.37e-05 | loss=0.000090 | exact=0.9941 | pair=1.0000 | 75.4s/5000
  step  270000 | phase 4 (phase4_d11) | lr=8.32e-05 | loss=0.000093 | exact=0.9909 | pair=0.9999 | 75.5s/5000
  step  275000 | phase 4 (phase4_d11) | lr=8.26e-05 | loss=0.000091 | exact=0.9857 | pair=0.9996 | 75.1s/5000
  step  280000 | phase 4 (phase4_d11) | lr=8.20e-05 | loss=0.000091 | exact=0.9966 | pair=1.0000 | 75.3s/5000
  step  285000 | phase 4 (phase4_d11) | lr=8.13e-05 | loss=0.000081 | exact=0.9964 | pair=1.0000 | 75.4s/5000
  step  290000 | phase 4 (phase4_d11) | lr=8.07e-05 | loss=0.000089 | exact=0.9976 | pair=1.0000 | 75.4s/5000
  step  295000 | phase 4 (phase4_d11) | lr=8.01e-05 | loss=0.000079 | exact=0.9940 | pair=1.0000 | 75.7s/5000
  step  300000 | phase 4 (phase4_d11) | lr=7.95e-05 | loss=0.000076 | exact=0.9966 | pair=1.0000 | 75.3s/5000
  step  305000 | phase 4 (phase4_d11) | lr=7.88e-05 | loss=0.000078 | exact=0.9937 | pair=1.0000 | 75.4s/5000
  step  310000 | phase 4 (phase4_d11) | lr=7.82e-05 | loss=0.000078 | exact=0.9945 | pair=1.0000 | 75.1s/5000
  step  315000 | phase 4 (phase4_d11) | lr=7.75e-05 | loss=0.000062 | exact=0.9880 | pair=0.9999 | 75.3s/5000
  step  320000 | phase 4 (phase4_d11) | lr=7.69e-05 | loss=0.000068 | exact=0.9979 | pair=1.0000 | 75.3s/5000
  step  325000 | phase 4 (phase4_d11) | lr=7.62e-05 | loss=0.000070 | exact=0.9973 | pair=1.0000 | 75.4s/5000
  step  330000 | phase 4 (phase4_d11) | lr=7.55e-05 | loss=0.000075 | exact=0.9965 | pair=1.0000 | 75.5s/5000
  step  335000 | phase 4 (phase4_d11) | lr=7.49e-05 | loss=0.000063 | exact=0.9959 | pair=1.0000 | 75.3s/5000
  step  340000 | phase 4 (phase4_d11) | lr=7.42e-05 | loss=0.000065 | exact=0.9975 | pair=1.0000 | 75.8s/5000
  step  345000 | phase 4 (phase4_d11) | lr=7.35e-05 | loss=0.000058 | exact=0.9977 | pair=1.0000 | 75.5s/5000
  step  350000 | phase 4 (phase4_d11) | lr=7.28e-05 | loss=0.000064 | exact=0.9982 | pair=1.0000 | 75.7s/5000
  step  355000 | phase 4 (phase4_d11) | lr=7.21e-05 | loss=0.000064 | exact=0.9975 | pair=1.0000 | 75.6s/5000
  step  360000 | phase 4 (phase4_d11) | lr=7.14e-05 | loss=0.000050 | exact=0.9986 | pair=1.0000 | 75.5s/5000
  step  365000 | phase 4 (phase4_d11) | lr=7.07e-05 | loss=0.000060 | exact=0.9979 | pair=1.0000 | 75.0s/5000
  step  370000 | phase 4 (phase4_d11) | lr=6.99e-05 | loss=0.000060 | exact=0.9986 | pair=1.0000 | 75.6s/5000
  step  375000 | phase 4 (phase4_d11) | lr=6.92e-05 | loss=0.000056 | exact=0.9972 | pair=1.0000 | 75.5s/5000
  step  380000 | phase 4 (phase4_d11) | lr=6.85e-05 | loss=0.000051 | exact=0.9969 | pair=1.0000 | 75.2s/5000
  step  385000 | phase 4 (phase4_d11) | lr=6.78e-05 | loss=0.000053 | exact=0.9979 | pair=1.0000 | 75.5s/5000
  step  390000 | phase 4 (phase4_d11) | lr=6.70e-05 | loss=0.000041 | exact=0.9980 | pair=1.0000 | 75.3s/5000
  step  395000 | phase 4 (phase4_d11) | lr=6.63e-05 | loss=0.000049 | exact=0.9982 | pair=1.0000 | 75.0s/5000
  step  400000 | phase 4 (phase4_d11) | lr=6.55e-05 | loss=0.000046 | exact=0.9978 | pair=1.0000 | 75.3s/5000
  step  405000 | phase 4 (phase4_d11) | lr=6.48e-05 | loss=0.000039 | exact=0.9984 | pair=1.0000 | 75.3s/5000
  step  410000 | phase 4 (phase4_d11) | lr=6.40e-05 | loss=0.000053 | exact=0.9980 | pair=1.0000 | 75.3s/5000
  step  415000 | phase 4 (phase4_d11) | lr=6.33e-05 | loss=0.000040 | exact=0.9959 | pair=1.0000 | 75.3s/5000
  step  420000 | phase 4 (phase4_d11) | lr=6.25e-05 | loss=0.000035 | exact=0.9988 | pair=1.0000 | 75.4s/5000
  step  425000 | phase 4 (phase4_d11) | lr=6.18e-05 | loss=0.000037 | exact=0.9986 | pair=1.0000 | 75.5s/5000
  step  430000 | phase 4 (phase4_d11) | lr=6.10e-05 | loss=0.000041 | exact=0.9965 | pair=1.0000 | 75.6s/5000
  step  435000 | phase 4 (phase4_d11) | lr=6.02e-05 | loss=0.000039 | exact=0.9980 | pair=1.0000 | 75.7s/5000
