=== Job info ===
Node:  gnode10
Array task: 2  -> seed=3000
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Paper reproduction (standard Transformer): ER(n=20, p=0.08), filter=diam9, seed=3000
  arch=roberta, d_model=512, single-head, normalized-ReLU, 2 layers, online, bf16
  Output: runs/repro_paper_n20_roberta/n20_p008_diam9_seed3000
========================================================================

Generating 10,000 ER test graphs (D≤9) with 16 workers …
  done in 6.5s
Generating 10,000 two_chains test graphs …
  done in 0.4s
Generating 10,000 two_cliques test graphs …
  done in 0.5s
  device: cuda
  arch: roberta
  parameters: 6,326,804
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step  215000 | lr=8.91e-05 | loss=0.001149 | ER=0.9928 | 2chain=0.0004 | 2clique=0.0000 | 92.9s/5000
  step  220000 | lr=8.86e-05 | loss=0.001127 | ER=0.9960 | 2chain=0.0004 | 2clique=0.0000 | 93.3s/5000
  step  225000 | lr=8.81e-05 | loss=0.001099 | ER=0.9915 | 2chain=0.0000 | 2clique=0.0000 | 94.3s/5000
  step  230000 | lr=8.76e-05 | loss=0.001068 | ER=0.9938 | 2chain=0.0001 | 2clique=0.0000 | 93.4s/5000
  step  235000 | lr=8.71e-05 | loss=0.001044 | ER=0.9962 | 2chain=0.0002 | 2clique=0.0000 | 93.8s/5000
  step  240000 | lr=8.65e-05 | loss=0.001012 | ER=0.9947 | 2chain=0.0002 | 2clique=0.0000 | 93.7s/5000
  step  245000 | lr=8.60e-05 | loss=0.001006 | ER=0.9934 | 2chain=0.0000 | 2clique=0.0000 | 93.1s/5000
  step  250000 | lr=8.54e-05 | loss=0.000973 | ER=0.9953 | 2chain=0.0020 | 2clique=0.0000 | 93.4s/5000
  step  255000 | lr=8.49e-05 | loss=0.000957 | ER=0.9948 | 2chain=0.0007 | 2clique=0.0000 | 93.1s/5000
  step  260000 | lr=8.43e-05 | loss=0.000937 | ER=0.9934 | 2chain=0.0000 | 2clique=0.0000 | 92.6s/5000
  step  265000 | lr=8.37e-05 | loss=0.000911 | ER=0.9949 | 2chain=0.0007 | 2clique=0.0000 | 92.9s/5000
  step  270000 | lr=8.32e-05 | loss=0.000900 | ER=0.9974 | 2chain=0.0003 | 2clique=0.0000 | 93.8s/5000
  step  275000 | lr=8.26e-05 | loss=0.000881 | ER=0.9963 | 2chain=0.0003 | 2clique=0.0000 | 94.9s/5000
  step  280000 | lr=8.20e-05 | loss=0.000866 | ER=0.9959 | 2chain=0.0001 | 2clique=0.0000 | 93.3s/5000
