condition,split_a,exact,reach_long,reach_short,cut
baseline,1,0.0067,0.9498,nan,1.0
baseline,4,0.66,0.9994,1.0,0.9984
baseline,7,0.0,0.9896,1.0,0.5183
baseline,8,0.0,0.9697,1.0,0.536
baseline,10,0.0,0.9315,0.999,0.4979
baseline,14,0.0,0.9452,0.9904,0.2732
baseline,17,0.0,0.9544,0.9797,0.1657
baseline,20,0.0,0.9637,0.9631,0.1192
zero_attn0,1,0.0,0.0222,nan,1.0
zero_attn0,4,0.0,0.0264,0.2439,1.0
zero_attn0,7,0.0,0.0293,0.1467,1.0
zero_attn0,8,0.0,0.0296,0.1208,1.0
zero_attn0,10,0.0,0.0328,0.0988,1.0
zero_attn0,14,0.0,0.0359,0.0694,1.0
zero_attn0,17,0.0,0.0406,0.0562,1.0
zero_attn0,20,0.0,0.0468,0.0474,1.0
zero_attn1,1,0.0,0.1382,nan,0.9997
zero_attn1,4,0.0,0.1497,1.0,1.0
zero_attn1,7,0.0,0.1628,0.6967,1.0
zero_attn1,8,0.0,0.1677,0.6162,1.0
zero_attn1,10,0.0,0.1792,0.5068,1.0
zero_attn1,14,0.0,0.2049,0.3724,1.0
zero_attn1,17,0.0,0.232,0.3081,1.0
zero_attn1,20,0.0,0.265,0.264,1.0
zero_mlp0,1,0.0,0.3585,nan,0.9981
zero_mlp0,4,0.0,0.4082,0.9989,0.8278
zero_mlp0,7,0.0,0.3824,0.9981,0.9622
zero_mlp0,8,0.0,0.3885,0.9648,0.966
zero_mlp0,10,0.0,0.4027,0.8539,0.9612
zero_mlp0,14,0.0,0.4462,0.6858,0.9584
zero_mlp0,17,0.0,0.4842,0.5986,0.9553
zero_mlp0,20,0.0,0.5344,0.5317,0.9599
zero_mlp1,1,0.0,0.9927,nan,0.9665
zero_mlp1,4,0.0,0.977,1.0,0.5228
zero_mlp1,7,0.0,0.9664,1.0,0.3808
zero_mlp1,8,0.0,0.9654,1.0,0.2994
zero_mlp1,10,0.0,0.9608,1.0,0.1992
zero_mlp1,14,0.0,0.9516,0.9261,0.1679
zero_mlp1,17,0.0,0.9372,0.9082,0.1559
zero_mlp1,20,0.0,0.9215,0.9218,0.1525
bypass,1,0.0,0.24,nan,0.7511
bypass,4,0.0,0.2372,0.2461,0.7505
bypass,7,0.0,0.2395,0.2324,0.7596
bypass,8,0.0,0.239,0.222,0.7569
bypass,10,0.0,0.2405,0.2443,0.7596
bypass,14,0.0,0.2341,0.2485,0.7565
bypass,17,0.0,0.2357,0.2392,0.758
bypass,20,0.0,0.2387,0.2389,0.7565
