cell,k,small_size,stage,quantity,value
k5_s2,5,2,H0,mu_short,0.32882
k5_s2,5,2,H0,mu_long_near,0.09451
k5_s2,5,2,H0,mu_long_far,-0.04227
k5_s2,5,2,H0,mu_cross,-0.08685
k5_s2,5,2,H0,M_far,0.04459
k5_s2,5,2,Hattn1,mu_short,0.47957
k5_s2,5,2,Hattn1,mu_long_near,0.27321
k5_s2,5,2,Hattn1,mu_long_far,0.01769
k5_s2,5,2,Hattn1,mu_cross,-0.05929
k5_s2,5,2,Hattn1,M_far,0.07698
k5_s2,5,2,H1,mu_short,0.89442
k5_s2,5,2,H1,mu_long_near,0.29994
k5_s2,5,2,H1,mu_long_far,0.08544
k5_s2,5,2,H1,mu_cross,-0.04328
k5_s2,5,2,H1,M_far,0.12872
k5_s2,5,2,Hattn2,mu_short,0.93772
k5_s2,5,2,Hattn2,mu_long_near,0.80829
k5_s2,5,2,Hattn2,mu_long_far,0.52561
k5_s2,5,2,Hattn2,mu_cross,0.44094
k5_s2,5,2,Hattn2,M_far,0.08468
k5_s2,5,2,H2,mu_short,0.0892
k5_s2,5,2,H2,mu_long_near,0.79502
k5_s2,5,2,H2,mu_long_far,0.65126
k5_s2,5,2,H2,mu_cross,-0.13527
k5_s2,5,2,H2,M_far,0.78653
k5_s3,5,3,H0,mu_short,0.14997
k5_s3,5,3,H0,mu_long_near,0.09626
k5_s3,5,3,H0,mu_long_far,-0.04447
k5_s3,5,3,H0,mu_cross,-0.06783
k5_s3,5,3,H0,M_far,0.02336
k5_s3,5,3,Hattn1,mu_short,0.25437
k5_s3,5,3,Hattn1,mu_long_near,0.27603
k5_s3,5,3,Hattn1,mu_long_far,0.01392
k5_s3,5,3,Hattn1,mu_cross,-0.03488
k5_s3,5,3,Hattn1,M_far,0.0488
k5_s3,5,3,H1,mu_short,0.59302
k5_s3,5,3,H1,mu_long_near,0.29756
k5_s3,5,3,H1,mu_long_far,0.0767
k5_s3,5,3,H1,mu_cross,-0.04192
k5_s3,5,3,H1,M_far,0.11862
k5_s3,5,3,Hattn2,mu_short,0.8098
k5_s3,5,3,Hattn2,mu_long_near,0.80222
k5_s3,5,3,Hattn2,mu_long_far,0.53448
k5_s3,5,3,Hattn2,mu_cross,0.41201
k5_s3,5,3,Hattn2,M_far,0.12246
k5_s3,5,3,H2,mu_short,0.10706
k5_s3,5,3,H2,mu_long_near,0.78025
k5_s3,5,3,H2,mu_long_far,0.64976
k5_s3,5,3,H2,mu_cross,-0.18406
k5_s3,5,3,H2,M_far,0.83382
k5_s4,5,4,H0,mu_short,0.0826
k5_s4,5,4,H0,mu_long_near,0.09892
k5_s4,5,4,H0,mu_long_far,-0.0473
k5_s4,5,4,H0,mu_cross,-0.05851
k5_s4,5,4,H0,M_far,0.01121
k5_s4,5,4,Hattn1,mu_short,0.18666
k5_s4,5,4,Hattn1,mu_long_near,0.27995
k5_s4,5,4,Hattn1,mu_long_far,0.0079
k5_s4,5,4,Hattn1,mu_cross,-0.01768
k5_s4,5,4,Hattn1,M_far,0.02558
k5_s4,5,4,H1,mu_short,0.26242
k5_s4,5,4,H1,mu_long_near,0.29462
