split_a,stage,quantity,value
4,H0,mu_short,0.50995
4,H0,mu_long_near,0.1208
4,H0,mu_long_far,-0.00299
4,H0,mu_cross,-0.00565
4,H0,M_far,0.00265
4,Hattn1,mu_short,0.79651
4,Hattn1,mu_long_near,0.2371
4,Hattn1,mu_long_far,0.00309
4,Hattn1,mu_cross,-0.00306
4,Hattn1,M_far,0.00615
4,H1,mu_short,0.75615
4,H1,mu_long_near,0.30893
4,H1,mu_long_far,0.10408
4,H1,mu_cross,0.09039
4,H1,M_far,0.0137
4,Hattn2,mu_short,0.92407
4,Hattn2,mu_long_near,0.76075
4,Hattn2,mu_long_far,0.43228
4,Hattn2,mu_cross,0.33062
4,Hattn2,M_far,0.10165
4,H2,mu_short,0.90597
4,H2,mu_long_near,0.97856
4,H2,mu_long_far,0.97177
4,H2,mu_cross,-0.7004
4,H2,M_far,1.67217
23,H0,mu_short,0.08383
23,H0,mu_long_near,0.13304
23,H0,mu_long_far,-0.00393
23,H0,mu_cross,-0.00312
23,H0,M_far,-0.00081
23,Hattn1,mu_short,0.16452
23,Hattn1,mu_long_near,0.25576
23,Hattn1,mu_long_far,0.00144
23,Hattn1,mu_cross,0.00349
23,Hattn1,M_far,-0.00205
23,H1,mu_short,0.24123
23,H1,mu_long_near,0.31473
23,H1,mu_long_far,0.11063
23,H1,mu_cross,0.10922
23,H1,M_far,0.00141
23,Hattn2,mu_short,0.63396
23,Hattn2,mu_long_near,0.72493
23,Hattn2,mu_long_far,0.4793
23,Hattn2,mu_cross,0.20483
23,Hattn2,M_far,0.27447
23,H2,mu_short,0.46372
23,H2,mu_long_near,0.49444
23,H2,mu_long_far,0.40879
23,H2,mu_cross,-0.08548
23,H2,M_far,0.49427
