split_a,pair_type,mean_hTw,frac_positive,n_pairs
1,within_long,3.7837,0.9951,296400
1,cut,-3.4584,0.0,7800
1,cut,-25.3821,0.0,7800
1,within_long_d1,10.0719,1.0,76
1,within_long_d2,10.7933,1.0,74
1,within_long_d3,10.7625,1.0,72
1,within_long_d4,7.3294,1.0,70
1,within_long_d5,6.4572,1.0,68
1,within_long_d6,5.7599,1.0,66
1,within_long_d7,4.7188,1.0,64
1,within_long_d8,3.511,1.0,62
1,within_long_d9,1.762,0.9932,60
1,within_long_d10,1.5179,0.9937,58
1,within_long_d11,1.5208,0.9922,56
1,within_long_d12,1.5175,0.9948,54
1,within_long_d13,1.5128,0.9937,52
1,within_long_d14,1.5081,0.9943,50
1,within_long_d15,1.5051,0.9924,48
1,within_long_d16,1.5042,0.9923,46
1,within_long_d17,1.5025,0.9918,44
1,within_long_d18,1.5009,0.9923,42
1,within_long_d19,1.4997,0.9919,40
1,within_long_d20,1.4973,0.9911,38
1,within_long_d21,1.494,0.9904,36
1,within_long_d22,1.4919,0.9913,34
1,within_long_d23,1.4899,0.9878,32
1,within_long_d24,1.4867,0.9885,30
1,within_long_d25,1.4813,0.9886,28
1,within_long_d26,1.4712,0.9863,26
1,within_long_d27,1.4573,0.9865,24
1,within_long_d28,1.4404,0.9873,22
1,within_long_d29,1.4355,0.9885,20
1,within_long_d30,1.4692,0.9919,18
1,within_long_d31,1.5451,0.9966,16
1,within_long_d32,1.5994,0.9982,14
1,within_long_d33,1.6308,0.9992,12
1,within_long_d34,1.6512,0.9995,10
1,within_long_d35,1.6648,1.0,8
1,within_long_d36,1.5836,1.0,6
1,within_long_d37,1.558,0.9988,4
1,within_long_d38,1.6677,1.0,2
2,within_long,4.1862,0.9988,281200
2,within_short,38.6326,1.0,400
2,cut,-3.4011,0.0,15200
2,cut,-5.3052,0.0,15200
2,within_long_d1,10.7193,1.0,74
2,within_long_d2,11.4729,1.0,72
2,within_long_d3,11.4421,1.0,70
2,within_long_d4,7.889,1.0,68
2,within_long_d5,6.9838,1.0,66
2,within_long_d6,6.2545,1.0,64
2,within_long_d7,5.1546,1.0,62
2,within_long_d8,3.8887,1.0,60
2,within_long_d9,2.0192,0.9983,58
2,within_long_d10,1.7381,0.9988,56
2,within_long_d11,1.74,0.9984,54
2,within_long_d12,1.7367,0.9985,52
2,within_long_d13,1.7319,0.9982,50
2,within_long_d14,1.7292,0.9979,48
2,within_long_d15,1.7275,0.9986,46
2,within_long_d16,1.7253,0.9978,44
2,within_long_d17,1.7232,0.9977,42
2,within_long_d18,1.7201,0.998,40
2,within_long_d19,1.7166,0.9987,38
2,within_long_d20,1.7133,0.9978,36
2,within_long_d21,1.7099,0.9975,34
2,within_long_d22,1.7067,0.997,32
2,within_long_d23,1.7028,0.9972,30
2,within_long_d24,1.6976,0.9966,28
2,within_long_d25,1.6884,0.9971,26
2,within_long_d26,1.6747,0.9973,24
2,within_long_d27,1.6556,0.9964,22
2,within_long_d28,1.6455,0.9968,20
2,within_long_d29,1.6719,0.9975,18
2,within_long_d30,1.7415,0.9997,16
2,within_long_d31,1.7871,1.0,14
2,within_long_d32,1.8073,1.0,12
2,within_long_d33,1.8191,1.0,10
2,within_long_d34,1.8255,1.0,8
2,within_long_d35,1.7378,1.0,6
2,within_long_d36,1.7207,1.0,4
2,within_long_d37,1.8239,1.0,2
3,within_long,4.6031,0.9999,266400
3,within_short,29.857,1.0,1200
3,cut,-3.0535,0.0,22200
3,cut,-6.8908,0.0,22200
3,within_long_d1,11.4066,1.0,72
3,within_long_d2,12.1884,1.0,70
3,within_long_d3,12.1688,1.0,68
3,within_long_d4,8.4883,1.0,66
3,within_long_d5,7.55,1.0,64
3,within_long_d6,6.7955,1.0,62
3,within_long_d7,5.6429,1.0,60
3,within_long_d8,4.2929,1.0,58
3,within_long_d9,2.2836,0.9998,56
3,within_long_d10,1.9561,0.9999,54
3,within_long_d11,1.9556,1.0,52
3,within_long_d12,1.9494,0.9999,50
3,within_long_d13,1.9417,0.9999,48
3,within_long_d14,1.9359,0.9999,46
3,within_long_d15,1.9326,1.0,44
3,within_long_d16,1.9297,0.9999,42
3,within_long_d17,1.9261,0.9999,40
3,within_long_d18,1.9227,0.9999,38
3,within_long_d19,1.9184,0.9997,36
3,within_long_d20,1.9138,0.9999,34
3,within_long_d21,1.909,0.9997,32
3,within_long_d22,1.9041,0.9998,30
3,within_long_d23,1.8961,0.9998,28
3,within_long_d24,1.8811,0.9998,26
3,within_long_d25,1.859,0.9998,24
3,within_long_d26,1.8337,0.9995,22
3,within_long_d27,1.8154,1.0,20
3,within_long_d28,1.8352,0.9994,18
3,within_long_d29,1.8956,1.0,16
3,within_long_d30,1.9251,1.0,14
3,within_long_d31,1.9309,1.0,12
3,within_long_d32,1.9347,1.0,10
3,within_long_d33,1.932,1.0,8
3,within_long_d34,1.8368,1.0,6
3,within_long_d35,1.8087,1.0,4
3,within_long_d36,1.9064,1.0,2
4,within_long,5.2298,1.0,252000
4,within_short,28.0461,1.0,2400
4,cut,-1.1561,0.009,28800
4,cut,-4.2891,0.0,28800
4,within_long_d1,12.4656,1.0,70
4,within_long_d2,13.2647,1.0,68
4,within_long_d3,13.2489,1.0,66
4,within_long_d4,9.3662,1.0,64
4,within_long_d5,8.3688,1.0,62
4,within_long_d6,7.5697,1.0,60
4,within_long_d7,6.3757,1.0,58
4,within_long_d8,4.9531,1.0,56
4,within_long_d9,2.7041,0.9999,54
4,within_long_d10,2.2988,1.0,52
4,within_long_d11,2.2926,1.0,50
4,within_long_d12,2.283,1.0,48
4,within_long_d13,2.2747,1.0,46
4,within_long_d14,2.2686,1.0,44
4,within_long_d15,2.2658,1.0,42
4,within_long_d16,2.2645,1.0,40
4,within_long_d17,2.2624,1.0,38
4,within_long_d18,2.2604,1.0,36
4,within_long_d19,2.2575,1.0,34
4,within_long_d20,2.2547,1.0,32
4,within_long_d21,2.2509,1.0,30
4,within_long_d22,2.2438,1.0,28
4,within_long_d23,2.2324,1.0,26
4,within_long_d24,2.2128,1.0,24
4,within_long_d25,2.1816,1.0,22
4,within_long_d26,2.1513,1.0,20
4,within_long_d27,2.1476,1.0,18
4,within_long_d28,2.1828,1.0,16
4,within_long_d29,2.1883,1.0,14
4,within_long_d30,2.1668,1.0,12
4,within_long_d31,2.1402,1.0,10
4,within_long_d32,2.1041,1.0,8
4,within_long_d33,1.9853,1.0,6
4,within_long_d34,1.9296,1.0,4
4,within_long_d35,1.9983,1.0,2
5,within_long,5.5437,1.0,238000
5,within_short,23.7334,1.0,4000
5,cut,-0.4211,0.1851,35000
5,cut,-4.5798,0.0,35000
5,within_long_d1,13.0001,1.0,68
5,within_long_d2,13.8177,1.0,66
5,within_long_d3,13.7972,1.0,64
5,within_long_d4,9.8061,1.0,62
5,within_long_d5,8.7627,1.0,60
5,within_long_d6,7.9245,1.0,58
5,within_long_d7,6.6827,1.0,56
5,within_long_d8,5.186,1.0,54
5,within_long_d9,2.8137,1.0,52
5,within_long_d10,2.3603,1.0,50
5,within_long_d11,2.3529,1.0,48
5,within_long_d12,2.344,1.0,46
5,within_long_d13,2.3388,1.0,44
5,within_long_d14,2.3377,1.0,42
5,within_long_d15,2.3403,1.0,40
5,within_long_d16,2.3449,1.0,38
5,within_long_d17,2.3499,1.0,36
5,within_long_d18,2.356,1.0,34
5,within_long_d19,2.3639,1.0,32
5,within_long_d20,2.3709,1.0,30
5,within_long_d21,2.378,1.0,28
5,within_long_d22,2.3792,1.0,26
5,within_long_d23,2.3713,1.0,24
5,within_long_d24,2.3519,1.0,22
5,within_long_d25,2.3288,1.0,20
5,within_long_d26,2.3298,1.0,18
