split_a,pair_type,mean_hTw,frac_positive,n_pairs
1,within_long,43.0596,1.0,68400
1,cut,-32.077,0.0,3800
1,cut,-26.8566,0.0,3800
1,within_long_d1,51.5792,1.0,36
1,within_long_d2,49.6178,1.0,34
1,within_long_d3,50.19,1.0,32
1,within_long_d4,54.8426,1.0,30
1,within_long_d5,52.4161,1.0,28
1,within_long_d6,51.4867,1.0,26
1,within_long_d7,50.7153,1.0,24
1,within_long_d8,50.0343,1.0,22
1,within_long_d9,35.2367,1.0,20
1,within_long_d10,25.1258,1.0,18
1,within_long_d11,23.7309,1.0,16
1,within_long_d12,22.6871,1.0,14
1,within_long_d13,22.2028,1.0,12
1,within_long_d14,22.468,1.0,10
1,within_long_d15,22.9247,1.0,8
1,within_long_d16,23.3974,1.0,6
1,within_long_d17,22.9626,1.0,4
1,within_long_d18,22.9414,1.0,2
2,within_long,43.9093,1.0,61200
2,within_short,62.2199,1.0,400
2,cut,-42.5455,0.0,7200
2,cut,-28.5628,0.0,7200
2,within_long_d1,52.1429,1.0,34
2,within_long_d2,50.0797,1.0,32
2,within_long_d3,50.685,1.0,30
2,within_long_d4,54.6561,1.0,28
2,within_long_d5,52.0948,1.0,26
2,within_long_d6,50.8376,1.0,24
2,within_long_d7,49.8429,1.0,22
2,within_long_d8,49.8287,1.0,20
2,within_long_d9,35.2246,1.0,18
2,within_long_d10,24.9781,1.0,16
2,within_long_d11,23.8179,1.0,14
2,within_long_d12,23.0942,1.0,12
2,within_long_d13,23.0629,1.0,10
2,within_long_d14,23.2055,1.0,8
2,within_long_d15,23.5918,1.0,6
2,within_long_d16,23.2988,1.0,4
2,within_long_d17,23.4733,1.0,2
3,within_long,47.3575,1.0,54400
3,within_short,75.264,1.0,1200
3,cut,-53.7354,0.0,10200
3,cut,-29.882,0.0,10200
3,within_long_d1,55.4004,1.0,32
3,within_long_d2,53.0267,1.0,30
3,within_long_d3,53.7975,1.0,28
3,within_long_d4,57.6057,1.0,26
3,within_long_d5,54.9083,1.0,24
3,within_long_d6,53.4373,1.0,22
3,within_long_d7,52.3552,1.0,20
3,within_long_d8,52.8192,1.0,18
3,within_long_d9,37.2223,1.0,16
3,within_long_d10,26.3027,1.0,14
3,within_long_d11,25.5729,1.0,12
3,within_long_d12,25.3034,1.0,10
3,within_long_d13,25.0691,1.0,8
3,within_long_d14,25.3166,1.0,6
3,within_long_d15,24.3326,1.0,4
3,within_long_d16,24.3953,1.0,2
4,within_long,52.4928,1.0,48000
4,within_short,79.6356,1.0,2400
