condition,split_a,exact,reach_long,reach_short,cut
baseline,1,0.0533,0.9725,nan,1.0
baseline,4,0.8467,0.9997,1.0,0.9997
baseline,7,0.0,0.9746,1.0,0.5502
baseline,8,0.0,0.941,1.0,0.5659
baseline,10,0.0,0.8749,0.9999,0.5409
baseline,14,0.0,0.8891,0.9912,0.3399
baseline,17,0.0,0.9093,0.9585,0.2655
baseline,20,0.0,0.944,0.9335,0.2031
zero_attn0,1,0.0,0.0431,nan,1.0
zero_attn0,4,0.0,0.0481,0.435,0.9997
zero_attn0,7,0.0,0.0521,0.2419,0.9997
zero_attn0,8,0.0,0.0543,0.2115,0.9996
zero_attn0,10,0.0,0.0572,0.1708,0.9995
zero_attn0,14,0.0,0.0659,0.122,0.9991
zero_attn0,17,0.0,0.0747,0.1018,0.9992
zero_attn0,20,0.0,0.086,0.0848,0.9993
zero_attn1,1,0.0,0.1377,nan,1.0
zero_attn1,4,0.0,0.1489,1.0,1.0
zero_attn1,7,0.0,0.162,0.6967,1.0
zero_attn1,8,0.0,0.1675,0.6221,1.0
zero_attn1,10,0.0,0.1772,0.5091,1.0
zero_attn1,14,0.0,0.2041,0.371,1.0
zero_attn1,17,0.0,0.2305,0.3071,1.0
zero_attn1,20,0.0,0.2637,0.2639,1.0
zero_mlp0,1,0.0,0.3917,nan,1.0
zero_mlp0,4,0.0,0.4312,0.9989,0.8278
zero_mlp0,7,0.0,0.3901,0.9998,0.9441
zero_mlp0,8,0.0,0.4,0.9639,0.9419
zero_mlp0,10,0.0,0.413,0.852,0.9392
zero_mlp0,14,0.0,0.4457,0.6799,0.9462
zero_mlp0,17,0.0,0.4872,0.598,0.9403
zero_mlp0,20,0.0,0.5361,0.5392,0.9348
zero_mlp1,1,0.0,0.992,nan,0.9989
zero_mlp1,4,0.0,0.9766,1.0,0.5129
zero_mlp1,7,0.0,0.9679,1.0,0.3825
zero_mlp1,8,0.0,0.9655,1.0,0.3094
zero_mlp1,10,0.0,0.9613,1.0,0.2031
zero_mlp1,14,0.0,0.9496,0.9271,0.169
zero_mlp1,17,0.0,0.9402,0.9082,0.1557
zero_mlp1,20,0.0,0.9163,0.9193,0.1548
bypass,1,0.0,0.2438,nan,0.6337
bypass,4,0.0,0.2447,0.2406,0.7351
bypass,7,0.0,0.2422,0.2514,0.7386
bypass,8,0.0,0.2448,0.2412,0.7451
bypass,10,0.0,0.2467,0.2485,0.7503
bypass,14,0.0,0.25,0.2467,0.7477
bypass,17,0.0,0.2417,0.2458,0.7478
bypass,20,0.0,0.2437,0.2472,0.751
