split_a,stage,quantity,value
4,H0,mu_short,0.82533
4,H0,mu_long_near,0.07007
4,H0,mu_long_far,-0.01005
4,H0,mu_cross,-0.02326
4,H0,M_far,0.01321
4,Hattn1,mu_short,0.88979
4,Hattn1,mu_long_near,0.43741
4,Hattn1,mu_long_far,0.38994
4,Hattn1,mu_cross,0.24958
4,Hattn1,M_far,0.14037
4,H1,mu_short,0.67854
4,H1,mu_long_near,0.20628
4,H1,mu_long_far,0.12499
4,H1,mu_cross,0.0773
4,H1,M_far,0.0477
4,Hattn2,mu_short,0.91572
4,Hattn2,mu_long_near,0.82645
4,Hattn2,mu_long_far,0.78576
4,Hattn2,mu_cross,0.3775
4,Hattn2,M_far,0.40826
4,H2,mu_short,0.9129
4,H2,mu_long_near,0.97168
4,H2,mu_long_far,0.97181
4,H2,mu_cross,-0.67032
4,H2,M_far,1.64214
23,H0,mu_short,0.08193
23,H0,mu_long_near,0.08648
23,H0,mu_long_far,-0.00885
23,H0,mu_cross,-0.01356
23,H0,M_far,0.00471
23,Hattn1,mu_short,0.44175
23,Hattn1,mu_long_near,0.44051
23,Hattn1,mu_long_far,0.41964
23,Hattn1,mu_cross,0.31522
23,Hattn1,M_far,0.10441
23,H1,mu_short,0.21504
23,H1,mu_long_near,0.21722
23,H1,mu_long_far,0.13999
23,H1,mu_cross,0.09693
23,H1,M_far,0.04306
23,Hattn2,mu_short,0.69224
23,Hattn2,mu_long_near,0.69619
23,Hattn2,mu_long_far,0.56376
23,Hattn2,mu_cross,0.40141
23,Hattn2,M_far,0.16235
23,H2,mu_short,0.47516
23,H2,mu_long_near,0.48681
23,H2,mu_long_far,0.20759
23,H2,mu_cross,-0.02257
23,H2,M_far,0.23017
