cell,s1,s2,s3,stage,mu_1,mu_2,mu_3,mu_12,mu_13,mu_23
s7_15_24,7,15,24,H0,0.26561,0.11969,0.07109,-0.01572,-0.01567,-0.013
s7_15_24,7,15,24,Hattn1,0.54814,0.27588,0.18793,0.04356,0.03023,0.03276
s7_15_24,7,15,24,H1,0.50808,0.30533,0.25928,0.15995,0.13382,0.13717
s7_15_24,7,15,24,Hattn2,0.88195,0.83697,0.73178,0.5544,0.51405,0.42312
s7_15_24,7,15,24,H2,0.9883,0.90657,0.90846,-0.64902,-0.88459,0.62734
