split_a,stage,quantity,value
4,H0,mu_short,0.65717
4,H0,mu_long_near,0.08602
4,H0,mu_long_far,-0.0281
4,H0,mu_cross,-0.02805
4,H0,M_far,-5e-05
4,Hattn1,mu_short,0.88868
4,Hattn1,mu_long_near,0.55518
4,Hattn1,mu_long_far,0.44074
4,Hattn1,mu_cross,0.45569
4,Hattn1,M_far,-0.01495
4,H1,mu_short,0.92344
4,H1,mu_long_near,0.30814
4,H1,mu_long_far,0.17848
4,H1,mu_cross,0.12985
4,H1,M_far,0.04863
4,Hattn2,mu_short,0.99868
4,Hattn2,mu_long_near,0.98092
4,Hattn2,mu_long_far,0.96754
4,Hattn2,mu_cross,0.9758
4,Hattn2,M_far,-0.00827
4,H2,mu_short,0.99036
4,H2,mu_long_near,0.86494
4,H2,mu_long_far,0.8037
4,H2,mu_cross,-0.16323
4,H2,M_far,0.96692
23,H0,mu_short,0.06527
23,H0,mu_long_near,0.0862
23,H0,mu_long_far,-0.02793
23,H0,mu_cross,-0.02816
23,H0,M_far,0.00022
23,Hattn1,mu_short,0.53416
23,Hattn1,mu_long_near,0.55545
23,Hattn1,mu_long_far,0.44112
23,Hattn1,mu_cross,0.44091
23,Hattn1,M_far,0.00021
23,H1,mu_short,0.28436
23,H1,mu_long_near,0.30829
23,H1,mu_long_far,0.17942
23,H1,mu_cross,0.17841
23,H1,M_far,0.00101
23,Hattn2,mu_short,0.60803
23,Hattn2,mu_long_near,0.64603
23,Hattn2,mu_long_far,0.44267
23,Hattn2,mu_cross,0.38574
23,Hattn2,M_far,0.05693
23,H2,mu_short,0.44239
23,H2,mu_long_near,0.47985
23,H2,mu_long_far,0.26294
23,H2,mu_cross,0.17189
23,H2,M_far,0.09105
