split_a,branch,category,value
4,dZ_attn1,within_short,13.17922
4,dZ_attn1,within_long_near,5.03763
4,dZ_attn1,within_long_far,0.37768
4,dZ_attn1,cross,0.84662
4,dZ_mlp1,within_short,0.21969
4,dZ_mlp1,within_long_near,5.28019
4,dZ_mlp1,within_long_far,5.94827
4,dZ_mlp1,cross,1.74588
4,dZ_attn2,within_short,5.64322
4,dZ_attn2,within_long_near,17.00161
4,dZ_attn2,within_long_far,10.72938
4,dZ_attn2,cross,13.49604
4,dZ_mlp2,within_short,-0.24212
4,dZ_mlp2,within_long_near,5.43882
4,dZ_mlp2,within_long_far,19.09795
4,dZ_mlp2,cross,-36.91261
8,dZ_attn1,within_short,9.79056
8,dZ_attn1,within_long_near,5.09172
8,dZ_attn1,within_long_far,0.38778
8,dZ_attn1,cross,0.57144
8,dZ_mlp1,within_short,-6.21146
8,dZ_mlp1,within_long_near,5.04887
8,dZ_mlp1,within_long_far,5.67056
8,dZ_mlp1,cross,2.73267
8,dZ_attn2,within_short,20.84041
8,dZ_attn2,within_long_near,17.12677
8,dZ_attn2,within_long_far,10.84923
8,dZ_attn2,cross,14.8567
8,dZ_mlp2,within_short,1.08933
8,dZ_mlp2,within_long_near,4.75819
8,dZ_mlp2,within_long_far,17.92853
8,dZ_mlp2,cross,-41.67717
10,dZ_attn1,within_short,7.95436
10,dZ_attn1,within_long_near,5.09547
10,dZ_attn1,within_long_far,0.3983
10,dZ_attn1,cross,0.54156
10,dZ_mlp1,within_short,-4.80706
10,dZ_mlp1,within_long_near,4.88672
10,dZ_mlp1,within_long_far,5.43958
10,dZ_mlp1,cross,3.61151
10,dZ_attn2,within_short,22.78732
10,dZ_attn2,within_long_near,16.98963
10,dZ_attn2,within_long_far,10.13444
10,dZ_attn2,cross,10.90913
10,dZ_mlp2,within_short,1.94853
10,dZ_mlp2,within_long_near,2.91602
10,dZ_mlp2,within_long_far,14.74308
10,dZ_mlp2,cross,-32.54947
23,dZ_attn1,within_short,3.68296
23,dZ_attn1,within_long_near,5.39898
23,dZ_attn1,within_long_far,0.60627
23,dZ_attn1,cross,0.48588
23,dZ_mlp1,within_short,3.24453
23,dZ_mlp1,within_long_near,3.13432
23,dZ_mlp1,within_long_far,3.45724
23,dZ_mlp1,cross,5.1409
23,dZ_attn2,within_short,16.68312
23,dZ_attn2,within_long_near,18.70728
23,dZ_attn2,within_long_far,13.08251
23,dZ_attn2,cross,8.12682
23,dZ_mlp2,within_short,3.08918
23,dZ_mlp2,within_long_near,-0.04767
23,dZ_mlp2,within_long_far,8.73087
23,dZ_mlp2,cross,14.08504
