split_a,stage,quantity,value
4,H0,mu_short,0.48965
4,H0,mu_long_near,0.12849
4,H0,mu_long_far,0.00471
4,H0,mu_cross,-0.00791
4,H0,M_far,0.01262
4,Hattn1,mu_short,0.82498
4,Hattn1,mu_long_near,0.25667
4,Hattn1,mu_long_far,0.01432
4,Hattn1,mu_cross,0.01363
4,Hattn1,M_far,0.00069
4,H1,mu_short,0.83057
4,H1,mu_long_near,0.39101
4,H1,mu_long_far,0.16566
4,H1,mu_cross,0.05805
4,H1,M_far,0.10761
4,Hattn2,mu_short,0.97415
4,Hattn2,mu_long_near,0.82359
4,Hattn2,mu_long_far,0.43866
4,Hattn2,mu_cross,0.40144
4,Hattn2,M_far,0.03722
4,H2,mu_short,0.96799
4,H2,mu_long_near,0.96197
4,H2,mu_long_far,0.92457
4,H2,mu_cross,-0.53774
4,H2,M_far,1.46231
8,H0,mu_short,0.242
8,H0,mu_long_near,0.12955
8,H0,mu_long_far,0.00421
8,H0,mu_cross,-0.0001
8,H0,M_far,0.00431
8,Hattn1,mu_short,0.4911
8,Hattn1,mu_long_near,0.2591
8,Hattn1,mu_long_far,0.01408
8,Hattn1,mu_cross,0.01444
8,Hattn1,M_far,-0.00036
8,H1,mu_short,0.33306
8,H1,mu_long_near,0.38756
8,H1,mu_long_far,0.15836
8,H1,mu_cross,0.08397
8,H1,M_far,0.07439
8,Hattn2,mu_short,0.86331
8,Hattn2,mu_long_near,0.82332
8,Hattn2,mu_long_far,0.4344
8,Hattn2,mu_cross,0.46197
8,Hattn2,M_far,-0.02758
8,H2,mu_short,0.89103
8,H2,mu_long_near,0.94439
8,H2,mu_long_far,0.89056
8,H2,mu_cross,-0.59843
8,H2,M_far,1.48899
10,H0,mu_short,0.19406
10,H0,mu_long_near,0.13038
10,H0,mu_long_far,0.00369
10,H0,mu_cross,0.00151
10,H0,M_far,0.00218
10,Hattn1,mu_short,0.39645
10,Hattn1,mu_long_near,0.26002
10,Hattn1,mu_long_far,0.01382
10,Hattn1,mu_cross,0.01529
10,Hattn1,M_far,-0.00147
10,H1,mu_short,0.27414
10,H1,mu_long_near,0.38436
10,H1,mu_long_far,0.15222
10,H1,mu_cross,0.10718
10,H1,M_far,0.04504
10,Hattn2,mu_short,0.85393
10,Hattn2,mu_long_near,0.81663
10,Hattn2,mu_long_far,0.41008
10,Hattn2,mu_cross,0.38474
10,Hattn2,M_far,0.02533
10,H2,mu_short,0.9035
10,H2,mu_long_near,0.89082
10,H2,mu_long_far,0.78519
10,H2,mu_cross,-0.44342
10,H2,M_far,1.22861
23,H0,mu_short,0.0888
23,H0,mu_long_near,0.13875
23,H0,mu_long_far,-0.00027
23,H0,mu_cross,0.00383
23,H0,M_far,-0.00409
23,Hattn1,mu_short,0.1825
23,Hattn1,mu_long_near,0.27612
23,Hattn1,mu_long_far,0.01516
23,Hattn1,mu_cross,0.01619
23,Hattn1,M_far,-0.00103
23,H1,mu_short,0.26506
23,H1,mu_long_near,0.35587
23,H1,mu_long_far,0.10312
23,H1,mu_cross,0.14699
23,H1,M_far,-0.04387
23,Hattn2,mu_short,0.68953
23,Hattn2,mu_long_near,0.83185
23,Hattn2,mu_long_far,0.43599
23,Hattn2,mu_cross,0.35376
23,Hattn2,M_far,0.08222
23,H2,mu_short,0.76813
23,H2,mu_long_near,0.83063
23,H2,mu_long_far,0.65813
23,H2,mu_cross,0.71213
23,H2,M_far,-0.05401
