condition,split_a,exact,reach_long,reach_short,cut
baseline,1,0.0,0.9293,nan,1.0
baseline,4,0.6467,1.0,1.0,0.9906
baseline,7,0.0,0.9968,1.0,0.838
baseline,8,0.0,0.9994,1.0,0.7957
baseline,10,0.0,1.0,1.0,0.723
zero_attn0,1,0.0,0.0668,nan,0.9926
zero_attn0,4,0.0,0.0828,0.3639,0.9999
zero_attn0,7,0.0,0.1002,0.1971,0.9999
zero_attn0,8,0.0,0.1142,0.1693,1.0
zero_attn0,10,0.0,0.1338,0.1299,0.9998
zero_attn1,1,0.0,0.3125,nan,0.9965
zero_attn1,4,0.0,0.3876,1.0,0.9603
zero_attn1,7,0.0,0.4591,0.7313,0.9412
zero_attn1,8,0.0,0.493,0.6663,0.9445
zero_attn1,10,0.0,0.5614,0.565,0.9412
zero_mlp0,1,0.0,0.3869,nan,0.7179
zero_mlp0,4,0.0,0.3869,0.9194,0.8945
zero_mlp0,7,0.0,0.4667,0.7579,0.9578
zero_mlp0,8,0.0,0.5049,0.7244,0.955
zero_mlp0,10,0.0,0.6011,0.6039,0.9526
zero_mlp1,1,0.0,0.9966,nan,0.49
zero_mlp1,4,0.0,0.9959,1.0,0.4999
zero_mlp1,7,0.0,1.0,1.0,0.1607
zero_mlp1,8,0.0,1.0,1.0,0.0693
zero_mlp1,10,0.0,1.0,1.0,0.0263
bypass,1,0.0,0.417,nan,0.5468
bypass,4,0.0,0.4136,0.2889,0.5411
bypass,7,0.0,0.4029,0.3543,0.5429
bypass,8,0.0,0.3949,0.3718,0.5396
bypass,10,0.0,0.3904,0.382,0.5444
