split_a,stage,quantity,value
4,H0,mu_short,0.51011
4,H0,mu_long_near,0.1209
4,H0,mu_long_far,-0.00276
4,H0,mu_cross,-0.00491
4,H0,M_far,0.00215
4,Hattn1,mu_short,0.79823
4,Hattn1,mu_long_near,0.2375
4,Hattn1,mu_long_far,0.00285
4,Hattn1,mu_cross,-0.00118
4,Hattn1,M_far,0.00404
4,H1,mu_short,0.75494
4,H1,mu_long_near,0.27738
4,H1,mu_long_far,0.06246
4,H1,mu_cross,0.0556
4,H1,M_far,0.00687
4,Hattn2,mu_short,0.92591
4,Hattn2,mu_long_near,0.7731
4,Hattn2,mu_long_far,0.46268
4,Hattn2,mu_cross,0.30926
4,Hattn2,M_far,0.15342
4,H2,mu_short,0.91417
4,H2,mu_long_near,0.98255
4,H2,mu_long_far,0.97595
4,H2,mu_cross,-0.64015
4,H2,M_far,1.61609
23,H0,mu_short,0.08407
23,H0,mu_long_near,0.13346
23,H0,mu_long_far,-0.00352
23,H0,mu_cross,-0.00284
23,H0,M_far,-0.00067
23,Hattn1,mu_short,0.16488
23,Hattn1,mu_long_near,0.25637
23,Hattn1,mu_long_far,0.00233
23,Hattn1,mu_cross,0.00374
23,Hattn1,M_far,-0.00141
23,H1,mu_short,0.20789
23,H1,mu_long_near,0.2831
23,H1,mu_long_far,0.07092
23,H1,mu_cross,0.06898
23,H1,M_far,0.00194
23,Hattn2,mu_short,0.62717
23,Hattn2,mu_long_near,0.71573
23,Hattn2,mu_long_far,0.4641
23,Hattn2,mu_cross,0.17889
23,Hattn2,M_far,0.2852
23,H2,mu_short,0.46421
23,H2,mu_long_near,0.49379
23,H2,mu_long_far,0.40951
23,H2,mu_cross,-0.08266
23,H2,M_far,0.49217
