split_a,pair_type,mean_hTw,frac_positive,n_pairs
4,within_long_d31,1.6767,0.9995,10
4,within_long_d32,1.692,0.9988,8
4,within_long_d33,1.6219,0.9992,6
4,within_long_d34,1.6144,0.9988,4
4,within_long_d35,1.6911,1.0,2
5,within_long,5.4045,0.9999,238000
5,within_short,22.9381,1.0,4000
5,cut,-1.1447,0.0243,35000
5,cut,-5.2891,0.0,35000
5,within_long_d1,13.2661,1.0,68
5,within_long_d2,14.1975,1.0,66
5,within_long_d3,14.1145,1.0,64
5,within_long_d4,9.9792,1.0,62
5,within_long_d5,8.9883,1.0,60
5,within_long_d6,7.9568,1.0,58
5,within_long_d7,6.783,1.0,56
5,within_long_d8,5.2709,1.0,54
5,within_long_d9,2.5202,0.9999,52
5,within_long_d10,2.047,1.0,50
5,within_long_d11,2.0373,0.9999,48
5,within_long_d12,2.0221,1.0,46
5,within_long_d13,2.0101,1.0,44
5,within_long_d14,2.0008,0.9999,42
5,within_long_d15,1.9953,1.0,40
5,within_long_d16,1.9891,0.9999,38
5,within_long_d17,1.9844,1.0,36
5,within_long_d18,1.9789,0.9997,34
5,within_long_d19,1.9722,1.0,32
5,within_long_d20,1.9641,1.0,30
5,within_long_d21,1.9561,0.9998,28
5,within_long_d22,1.9369,0.9998,26
5,within_long_d23,1.9063,0.9998,24
5,within_long_d24,1.8596,0.9993,22
5,within_long_d25,1.8126,0.9995,20
5,within_long_d26,1.7948,0.9997,18
5,within_long_d27,1.8229,0.9997,16
5,within_long_d28,1.8458,1.0,14
5,within_long_d29,1.8547,1.0,12
5,within_long_d30,1.8565,1.0,10
5,within_long_d31,1.8483,1.0,8
5,within_long_d32,1.7656,1.0,6
5,within_long_d33,1.7474,0.9988,4
5,within_long_d34,1.792,1.0,2
6,within_long,5.0772,0.9974,224400
6,within_short,18.9245,1.0,6000
6,cut,0.9033,0.7939,40800
6,cut,-4.7666,0.0,40800
6,within_long_d1,12.8279,1.0,66
6,within_long_d2,13.6991,1.0,64
6,within_long_d3,13.5984,1.0,62
6,within_long_d4,9.5137,1.0,60
6,within_long_d5,8.5071,1.0,58
