cell,k,small_size,stage,metric,value
k5_s5,5,5,Hattn1,reach_long_near,0.51377
k5_s5,5,5,Hattn1,reach_long_far,0.00852
k5_s5,5,5,Hattn1,reach_short,0.95148
k5_s5,5,5,Hattn1,cut,0.98305
k5_s5,5,5,Hattn1,pred_positive_rate,0.18229
k5_s5,5,5,H1,exact,0.0
k5_s5,5,5,H1,reach_long,0.48865
k5_s5,5,5,H1,reach_long_near,0.6669
k5_s5,5,5,H1,reach_long_far,0.05114
k5_s5,5,5,H1,reach_short,0.59877
k5_s5,5,5,H1,cut,0.90496
k5_s5,5,5,H1,pred_positive_rate,0.31805
k5_s5,5,5,Hattn2,exact,0.0
k5_s5,5,5,Hattn2,reach_long,1.0
k5_s5,5,5,Hattn2,reach_long_near,1.0
k5_s5,5,5,Hattn2,reach_long_far,1.0
k5_s5,5,5,Hattn2,reach_short,0.21053
k5_s5,5,5,Hattn2,cut,0.0
k5_s5,5,5,Hattn2,pred_positive_rate,1.0
k5_s5,5,5,H2,exact,0.0
k5_s5,5,5,H2,reach_long,1.0
k5_s5,5,5,H2,reach_long_near,1.0
k5_s5,5,5,H2,reach_long_far,1.0
k5_s5,5,5,H2,reach_short,0.8949
k5_s5,5,5,H2,cut,0.37922
k5_s5,5,5,H2,pred_positive_rate,0.64785
k6_s2,6,2,H0,exact,0.0
k6_s2,6,2,H0,reach_long,0.13333
k6_s2,6,2,H0,reach_long_near,0.25333
k6_s2,6,2,H0,reach_long_far,0.00476
k6_s2,6,2,H0,reach_short,0.11111
k6_s2,6,2,H0,cut,0.93333
k6_s2,6,2,H0,pred_positive_rate,0.17875
k6_s2,6,2,Hattn1,exact,0.0
k6_s2,6,2,Hattn1,reach_long,0.25219
k6_s2,6,2,Hattn1,reach_long_near,0.48583
k6_s2,6,2,Hattn1,reach_long_far,0.00186
k6_s2,6,2,Hattn1,reach_short,0.11111
k6_s2,6,2,Hattn1,cut,0.93333
k6_s2,6,2,Hattn1,pred_positive_rate,0.24338
k6_s2,6,2,H1,exact,0.0
k6_s2,6,2,H1,reach_long,0.36703
k6_s2,6,2,H1,reach_long_near,0.675
k6_s2,6,2,H1,reach_long_far,0.03705
k6_s2,6,2,H1,reach_short,0.11111
k6_s2,6,2,H1,cut,0.93333
k6_s2,6,2,H1,pred_positive_rate,0.30582
k6_s2,6,2,Hattn2,exact,0.0
k6_s2,6,2,Hattn2,reach_long,1.0
k6_s2,6,2,Hattn2,reach_long_near,1.0
k6_s2,6,2,Hattn2,reach_long_far,1.0
k6_s2,6,2,Hattn2,reach_short,0.11111
k6_s2,6,2,Hattn2,cut,0.0
k6_s2,6,2,Hattn2,pred_positive_rate,1.0
k6_s2,6,2,H2,exact,0.92188
k6_s2,6,2,H2,reach_long,1.0
k6_s2,6,2,H2,reach_long_near,1.0
k6_s2,6,2,H2,reach_long_far,1.0
k6_s2,6,2,H2,reach_short,0.99306
k6_s2,6,2,H2,cut,0.99708
k6_s2,6,2,H2,pred_positive_rate,0.57648
k6_s3,6,3,H0,exact,0.0
k6_s3,6,3,H0,reach_long,0.16
k6_s3,6,3,H0,reach_long_near,0.26111
k6_s3,6,3,H0,reach_long_far,0.00833
k6_s3,6,3,H0,reach_short,0.61905
k6_s3,6,3,H0,cut,0.94667
k6_s3,6,3,H0,pred_positive_rate,0.17875
k6_s3,6,3,Hattn1,exact,0.0
k6_s3,6,3,Hattn1,reach_long,0.29865
k6_s3,6,3,Hattn1,reach_long_near,0.49549
k6_s3,6,3,Hattn1,reach_long_far,0.00339
k6_s3,6,3,Hattn1,reach_short,0.58452
k6_s3,6,3,Hattn1,cut,0.95163
k6_s3,6,3,Hattn1,pred_positive_rate,0.23295
k6_s3,6,3,H1,exact,0.0
k6_s3,6,3,H1,reach_long,0.41651
k6_s3,6,3,H1,reach_long_near,0.66875
k6_s3,6,3,H1,reach_long_far,0.03815
k6_s3,6,3,H1,reach_short,0.14286
k6_s3,6,3,H1,cut,0.94667
k6_s3,6,3,H1,pred_positive_rate,0.33744
k6_s3,6,3,Hattn2,exact,0.0
k6_s3,6,3,Hattn2,reach_long,1.0
k6_s3,6,3,Hattn2,reach_long_near,1.0
k6_s3,6,3,Hattn2,reach_long_far,1.0
k6_s3,6,3,Hattn2,reach_short,0.14286
k6_s3,6,3,Hattn2,cut,0.0
k6_s3,6,3,Hattn2,pred_positive_rate,1.0
k6_s3,6,3,H2,exact,0.01562
k6_s3,6,3,H2,reach_long,1.0
k6_s3,6,3,H2,reach_long_near,1.0
k6_s3,6,3,H2,reach_long_far,1.0
k6_s3,6,3,H2,reach_short,0.8253
k6_s3,6,3,H2,cut,0.89325
k6_s3,6,3,H2,pred_positive_rate,0.49172
k6_s4,6,4,H0,exact,0.0
k6_s4,6,4,H0,reach_long,0.2
k6_s4,6,4,H0,reach_long_near,0.27407
k6_s4,6,4,H0,reach_long_far,0.01818
k6_s4,6,4,H0,reach_short,0.78939
k6_s4,6,4,H0,cut,0.95
k6_s4,6,4,H0,pred_positive_rate,0.18498
k6_s4,6,4,Hattn1,exact,0.0
k6_s4,6,4,Hattn1,reach_long,0.36571
k6_s4,6,4,Hattn1,reach_long_near,0.51157
k6_s4,6,4,Hattn1,reach_long_far,0.00767
k6_s4,6,4,Hattn1,reach_short,0.91069
k6_s4,6,4,Hattn1,cut,0.97867
k6_s4,6,4,Hattn1,pred_positive_rate,0.18123
k6_s4,6,4,H1,exact,0.0
k6_s4,6,4,H1,reach_long,0.4875
k6_s4,6,4,H1,reach_long_near,0.66713
k6_s4,6,4,H1,reach_long_far,0.04659
k6_s4,6,4,H1,reach_short,0.53347
k6_s4,6,4,H1,cut,0.95
k6_s4,6,4,H1,pred_positive_rate,0.29248
k6_s4,6,4,Hattn2,exact,0.0
k6_s4,6,4,Hattn2,reach_long,1.0
k6_s4,6,4,Hattn2,reach_long_near,1.0
