cell,k,small_size,stage,quantity,value
k5_s2,5,2,H0,mu_short,0.31567
k5_s2,5,2,H0,mu_long_near,0.10466
k5_s2,5,2,H0,mu_long_far,-0.03141
k5_s2,5,2,H0,mu_cross,-0.085
k5_s2,5,2,H0,M_far,0.05359
k5_s2,5,2,Hattn1,mu_short,0.47469
k5_s2,5,2,Hattn1,mu_long_near,0.261
k5_s2,5,2,Hattn1,mu_long_far,0.00675
k5_s2,5,2,Hattn1,mu_cross,-0.0672
k5_s2,5,2,Hattn1,M_far,0.07396
k5_s2,5,2,H1,mu_short,0.87577
k5_s2,5,2,H1,mu_long_near,0.28919
k5_s2,5,2,H1,mu_long_far,0.07484
k5_s2,5,2,H1,mu_cross,-0.03962
k5_s2,5,2,H1,M_far,0.11445
k5_s2,5,2,Hattn2,mu_short,0.90971
k5_s2,5,2,Hattn2,mu_long_near,0.78929
k5_s2,5,2,Hattn2,mu_long_far,0.47589
k5_s2,5,2,Hattn2,mu_cross,0.45049
k5_s2,5,2,Hattn2,M_far,0.0254
k5_s2,5,2,H2,mu_short,0.10407
k5_s2,5,2,H2,mu_long_near,0.75362
k5_s2,5,2,H2,mu_long_far,0.5749
k5_s2,5,2,H2,mu_cross,-0.1599
k5_s2,5,2,H2,M_far,0.7348
k5_s3,5,3,H0,mu_short,0.14705
k5_s3,5,3,H0,mu_long_near,0.10657
k5_s3,5,3,H0,mu_long_far,-0.0338
k5_s3,5,3,H0,mu_cross,-0.06311
k5_s3,5,3,H0,M_far,0.02931
k5_s3,5,3,Hattn1,mu_short,0.27423
k5_s3,5,3,Hattn1,mu_long_near,0.26376
k5_s3,5,3,Hattn1,mu_long_far,0.00323
k5_s3,5,3,Hattn1,mu_cross,-0.04336
k5_s3,5,3,Hattn1,M_far,0.04659
k5_s3,5,3,H1,mu_short,0.51097
k5_s3,5,3,H1,mu_long_near,0.28702
k5_s3,5,3,H1,mu_long_far,0.06729
k5_s3,5,3,H1,mu_cross,-0.04353
k5_s3,5,3,H1,M_far,0.11082
k5_s3,5,3,Hattn2,mu_short,0.74278
k5_s3,5,3,Hattn2,mu_long_near,0.79171
k5_s3,5,3,Hattn2,mu_long_far,0.50594
k5_s3,5,3,Hattn2,mu_cross,0.39783
k5_s3,5,3,Hattn2,M_far,0.10811
k5_s3,5,3,H2,mu_short,0.12385
k5_s3,5,3,H2,mu_long_near,0.75491
k5_s3,5,3,H2,mu_long_far,0.60868
k5_s3,5,3,H2,mu_cross,-0.15548
k5_s3,5,3,H2,M_far,0.76417
k5_s4,5,4,H0,mu_short,0.08366
k5_s4,5,4,H0,mu_long_near,0.10874
k5_s4,5,4,H0,mu_long_far,-0.03754
k5_s4,5,4,H0,mu_cross,-0.05192
k5_s4,5,4,H0,M_far,0.01438
k5_s4,5,4,Hattn1,mu_short,0.19509
k5_s4,5,4,Hattn1,mu_long_near,0.26792
k5_s4,5,4,Hattn1,mu_long_far,-0.00274
k5_s4,5,4,Hattn1,mu_cross,-0.02682
k5_s4,5,4,Hattn1,M_far,0.02407
k5_s4,5,4,H1,mu_short,0.27685
k5_s4,5,4,H1,mu_long_near,0.28416
k5_s4,5,4,H1,mu_long_far,0.05687
k5_s4,5,4,H1,mu_cross,-0.00335
k5_s4,5,4,H1,M_far,0.06022
k5_s4,5,4,Hattn2,mu_short,0.6171
k5_s4,5,4,Hattn2,mu_long_near,0.86287
k5_s4,5,4,Hattn2,mu_long_far,0.70513
k5_s4,5,4,Hattn2,mu_cross,0.52312
k5_s4,5,4,Hattn2,M_far,0.18201
k5_s4,5,4,H2,mu_short,0.06573
k5_s4,5,4,H2,mu_long_near,0.82977
k5_s4,5,4,H2,mu_long_far,0.73767
k5_s4,5,4,H2,mu_cross,-0.1113
k5_s4,5,4,H2,M_far,0.84897
k5_s5,5,5,H0,mu_short,0.05268
k5_s5,5,5,H0,mu_long_near,0.11228
k5_s5,5,5,H0,mu_long_far,-0.04182
k5_s5,5,5,H0,mu_cross,-0.04522
k5_s5,5,5,H0,M_far,0.0034
k5_s5,5,5,Hattn1,mu_short,0.15427
k5_s5,5,5,Hattn1,mu_long_near,0.27508
k5_s5,5,5,Hattn1,mu_long_far,-0.00782
k5_s5,5,5,Hattn1,mu_cross,-0.01641
k5_s5,5,5,Hattn1,M_far,0.00859
k5_s5,5,5,H1,mu_short,0.19742
k5_s5,5,5,H1,mu_long_near,0.27962
k5_s5,5,5,H1,mu_long_far,0.04483
k5_s5,5,5,H1,mu_cross,0.03158
k5_s5,5,5,H1,M_far,0.01325
k5_s5,5,5,Hattn2,mu_short,0.81608
k5_s5,5,5,Hattn2,mu_long_near,0.85222
k5_s5,5,5,Hattn2,mu_long_far,0.71718
k5_s5,5,5,Hattn2,mu_cross,0.65759
k5_s5,5,5,Hattn2,M_far,0.05959
k5_s5,5,5,H2,mu_short,0.24931
k5_s5,5,5,H2,mu_long_near,0.82647
k5_s5,5,5,H2,mu_long_far,0.7218
k5_s5,5,5,H2,mu_cross,0.15388
k5_s5,5,5,H2,M_far,0.56792
