cell,k,small_size,branch,category,value
k5_s2,5,2,dZ_attn1,within_short,5.17916
k5_s2,5,2,dZ_attn1,within_long_near,5.09153
k5_s2,5,2,dZ_attn1,within_long_far,1.24296
k5_s2,5,2,dZ_attn1,cross,0.57975
k5_s2,5,2,dZ_mlp1,within_short,13.06239
k5_s2,5,2,dZ_mlp1,within_long_near,0.91828
k5_s2,5,2,dZ_mlp1,within_long_far,2.21733
k5_s2,5,2,dZ_mlp1,cross,0.89849
k5_s2,5,2,dZ_attn2,within_short,1.10535
k5_s2,5,2,dZ_attn2,within_long_near,16.28721
k5_s2,5,2,dZ_attn2,within_long_far,13.06163
k5_s2,5,2,dZ_attn2,cross,15.96197
k5_s2,5,2,dZ_mlp2,within_short,-26.23811
k5_s2,5,2,dZ_mlp2,within_long_near,-1.16178
k5_s2,5,2,dZ_mlp2,within_long_far,3.22459
k5_s2,5,2,dZ_mlp2,cross,-19.87936
k5_s3,5,3,dZ_attn1,within_short,4.14197
k5_s3,5,3,dZ_attn1,within_long_near,5.11944
k5_s3,5,3,dZ_attn1,within_long_far,1.20599
k5_s3,5,3,dZ_attn1,cross,0.64312
k5_s3,5,3,dZ_mlp1,within_short,7.71029
k5_s3,5,3,dZ_mlp1,within_long_near,0.75768
k5_s3,5,3,dZ_mlp1,within_long_far,2.0864
k5_s3,5,3,dZ_mlp1,cross,-0.00526
k5_s3,5,3,dZ_attn2,within_short,7.54972
k5_s3,5,3,dZ_attn2,within_long_near,16.43689
k5_s3,5,3,dZ_attn2,within_long_far,14.28585
k5_s3,5,3,dZ_attn2,cross,14.37413
k5_s3,5,3,dZ_mlp2,within_short,-20.15752
k5_s3,5,3,dZ_mlp2,within_long_near,-1.1987
k5_s3,5,3,dZ_mlp2,within_long_far,3.3463
k5_s3,5,3,dZ_mlp2,cross,-18.02033
k5_s4,5,4,dZ_attn1,within_short,3.62913
k5_s4,5,4,dZ_attn1,within_long_near,5.18406
k5_s4,5,4,dZ_attn1,within_long_far,1.13334
k5_s4,5,4,dZ_attn1,cross,0.81771
k5_s4,5,4,dZ_mlp1,within_short,2.66268
k5_s4,5,4,dZ_mlp1,within_long_near,0.52898
k5_s4,5,4,dZ_mlp1,within_long_far,1.94148
k5_s4,5,4,dZ_mlp1,cross,0.76418
k5_s4,5,4,dZ_attn2,within_short,11.08154
k5_s4,5,4,dZ_attn2,within_long_near,18.84755
k5_s4,5,4,dZ_attn2,within_long_far,21.1127
k5_s4,5,4,dZ_attn2,cross,17.1463
k5_s4,5,4,dZ_mlp2,within_short,-17.95704
k5_s4,5,4,dZ_mlp2,within_long_near,-1.07822
k5_s4,5,4,dZ_mlp2,within_long_far,1.05981
k5_s4,5,4,dZ_mlp2,cross,-20.66194
k5_s5,5,5,dZ_attn1,within_short,3.30881
k5_s5,5,5,dZ_attn1,within_long_near,5.30206
k5_s5,5,5,dZ_attn1,within_long_far,1.10722
k5_s5,5,5,dZ_attn1,cross,0.93817
k5_s5,5,5,dZ_mlp1,within_short,1.40531
k5_s5,5,5,dZ_mlp1,within_long_near,0.14799
k5_s5,5,5,dZ_mlp1,within_long_far,1.71478
k5_s5,5,5,dZ_mlp1,cross,1.56306
k5_s5,5,5,dZ_attn2,within_short,20.14833
k5_s5,5,5,dZ_attn2,within_long_near,18.64842
k5_s5,5,5,dZ_attn2,within_long_far,21.89695
k5_s5,5,5,dZ_attn2,cross,20.38797
k5_s5,5,5,dZ_mlp2,within_short,-18.45841
k5_s5,5,5,dZ_mlp2,within_long_near,-0.83851
k5_s5,5,5,dZ_mlp2,within_long_far,0.15048
k5_s5,5,5,dZ_mlp2,cross,-16.40509
k6_s2,6,2,dZ_attn1,within_short,5.37645
k6_s2,6,2,dZ_attn1,within_long_near,5.09895
k6_s2,6,2,dZ_attn1,within_long_far,1.21838
k6_s2,6,2,dZ_attn1,cross,0.59357
k6_s2,6,2,dZ_mlp1,within_short,13.47569
k6_s2,6,2,dZ_mlp1,within_long_near,0.86358
k6_s2,6,2,dZ_mlp1,within_long_far,2.15572
k6_s2,6,2,dZ_mlp1,cross,0.90254
k6_s2,6,2,dZ_attn2,within_short,1.79353
