split_a,stage,metric,value
4,H0,exact,0.0
4,H0,reach_long,0.28399
4,H0,reach_long_near,0.40358
4,H0,reach_long_far,0.20857
4,H0,reach_short,1.0
4,H0,cut,0.86114
4,H0,pred_positive_rate,0.28057
4,Hattn1,exact,0.0
4,Hattn1,reach_long,0.8969
4,Hattn1,reach_long_near,0.96673
4,Hattn1,reach_long_far,0.85286
4,Hattn1,reach_short,1.0
4,Hattn1,cut,0.66741
4,Hattn1,pred_positive_rate,0.81012
4,H1,exact,0.0
4,H1,reach_long,0.99682
4,H1,reach_long_near,0.99784
4,H1,reach_long_far,0.99618
4,H1,reach_short,1.0
4,H1,cut,0.08863
4,H1,pred_positive_rate,0.98334
4,Hattn2,exact,0.0
4,Hattn2,reach_long,1.0
4,Hattn2,reach_long_near,1.0
4,Hattn2,reach_long_far,1.0
4,Hattn2,reach_short,1.0
4,Hattn2,cut,0.00195
4,Hattn2,pred_positive_rate,0.99969
4,H2,exact,1.0
4,H2,reach_long,1.0
4,H2,reach_long_near,1.0
4,H2,reach_long_far,1.0
4,H2,reach_short,1.0
4,H2,cut,1.0
4,H2,pred_positive_rate,0.84121
23,H0,exact,0.0
23,H0,reach_long,0.32738
23,H0,reach_long_near,0.40818
23,H0,reach_long_far,0.18355
23,H0,reach_short,0.31491
23,H0,cut,0.79817
23,H0,pred_positive_rate,0.27624
23,Hattn1,exact,0.0
23,Hattn1,reach_long,0.85098
23,Hattn1,reach_long_near,0.93084
23,Hattn1,reach_long_far,0.70879
23,Hattn1,reach_short,0.8414
23,Hattn1,cut,0.18614
23,Hattn1,pred_positive_rate,0.83337
23,H1,exact,0.0
23,H1,reach_long,0.99827
23,H1,reach_long_near,0.99846
23,H1,reach_long_far,0.99794
23,H1,reach_short,0.99827
23,H1,cut,0.0023
23,H1,pred_positive_rate,0.99802
23,Hattn2,exact,0.0
23,Hattn2,reach_long,0.99994
23,Hattn2,reach_long_near,1.0
23,Hattn2,reach_long_far,0.99983
23,Hattn2,reach_short,0.99994
23,Hattn2,cut,0.00021
23,Hattn2,pred_positive_rate,0.99987
23,H2,exact,0.0
23,H2,reach_long,0.90724
23,H2,reach_long_near,0.99007
23,H2,reach_long_far,0.75979
23,H2,reach_short,0.91792
23,H2,cut,0.81023
23,H2,pred_positive_rate,0.55308
