condition,split_a,exact,reach_long,reach_short,cut
baseline,1,0.0,0.8878,nan,1.0
baseline,4,0.0,0.5848,0.9706,0.9996
baseline,7,0.0,0.6496,0.7576,0.9612
baseline,8,0.0,0.6701,0.7575,0.9471
baseline,10,0.0,0.7098,0.7137,0.9333
zero_attn0,1,0.0,0.1269,nan,1.0
zero_attn0,4,0.0,0.1083,0.4228,0.9998
zero_attn0,7,0.0,0.1332,0.2446,1.0
zero_attn0,8,0.0,0.1426,0.2152,0.9999
zero_attn0,10,0.0,0.1739,0.173,1.0
zero_attn1,1,0.0,0.2098,nan,0.5019
zero_attn1,4,0.0,0.3466,0.9967,0.8292
zero_attn1,7,0.0,0.3532,0.5933,0.8534
zero_attn1,8,0.0,0.3665,0.489,0.8629
zero_attn1,10,0.0,0.3994,0.3988,0.8812
zero_mlp0,1,0.0,0.9459,nan,0.4649
zero_mlp0,4,0.0,0.8968,1.0,0.2319
zero_mlp0,7,0.0,0.9074,0.943,0.1211
zero_mlp0,8,0.0,0.9117,0.9257,0.1207
zero_mlp0,10,0.0,0.9149,0.9096,0.1237
zero_mlp1,1,0.0,0.9193,nan,0.5396
zero_mlp1,4,0.0,0.6819,0.3283,0.3805
zero_mlp1,7,0.0,0.805,0.9721,0.5184
zero_mlp1,8,0.0,0.8583,0.9656,0.5862
zero_mlp1,10,0.0,0.9181,0.9202,0.6305
bypass,1,0.0,0.7941,nan,0.5686
bypass,4,0.0,0.7908,0.7667,0.3034
bypass,7,0.0,0.7929,0.7602,0.2699
bypass,8,0.0,0.7805,0.776,0.2587
bypass,10,0.0,0.7744,0.7772,0.2644
