split_a,stage,quantity,value
4,H0,mu_short,1.0
4,H0,mu_long_near,0.05567
4,H0,mu_long_far,nan
4,H0,mu_cross,-0.01883
4,H0,M_far,nan
4,Hattn1,mu_short,1.0
4,Hattn1,mu_long_near,0.23799
4,Hattn1,mu_long_far,nan
4,Hattn1,mu_cross,0.02532
4,Hattn1,M_far,nan
4,H1,mu_short,1.0
4,H1,mu_long_near,0.16009
4,H1,mu_long_far,nan
4,H1,mu_cross,-0.02764
4,H1,M_far,nan
4,Hattn2,mu_short,1.0
4,Hattn2,mu_long_near,0.94523
4,Hattn2,mu_long_far,nan
4,Hattn2,mu_cross,-0.25247
4,Hattn2,M_far,nan
4,H2,mu_short,1.0
4,H2,mu_long_near,0.9841
4,H2,mu_long_far,nan
4,H2,mu_cross,-0.75292
4,H2,M_far,nan
22,H0,mu_short,0.12619
22,H0,mu_long_near,0.11397
22,H0,mu_long_far,nan
22,H0,mu_cross,-0.01873
22,H0,M_far,nan
22,Hattn1,mu_short,0.45025
22,Hattn1,mu_long_near,0.39793
22,Hattn1,mu_long_far,nan
22,Hattn1,mu_cross,0.0241
22,Hattn1,M_far,nan
22,H1,mu_short,0.39474
22,H1,mu_long_near,0.33682
22,H1,mu_long_far,nan
22,H1,mu_cross,-0.08976
22,H1,M_far,nan
22,Hattn2,mu_short,0.98903
22,Hattn2,mu_long_near,0.98699
22,Hattn2,mu_long_far,nan
22,Hattn2,mu_cross,-0.4794
22,Hattn2,M_far,nan
22,H2,mu_short,0.9826
22,H2,mu_long_near,0.97871
22,H2,mu_long_far,nan
22,H2,mu_cross,-0.64238
22,H2,M_far,nan
