split_a,pair_type,mean_hTw,frac_positive,n_pairs
1,within_long,4.7023,0.9222,68400
1,cut,-14.8338,0.0,3800
1,cut,-16.4136,0.0,3800
1,within_long_d1,18.7953,1.0,36
1,within_long_d2,10.9741,1.0,34
1,within_long_d3,5.9167,1.0,32
1,within_long_d4,3.1006,0.9953,30
1,within_long_d5,2.0613,0.9755,28
1,within_long_d6,1.582,0.9402,26
1,within_long_d7,1.3857,0.899,24
1,within_long_d8,1.2781,0.8709,22
1,within_long_d9,1.1988,0.8458,20
1,within_long_d10,1.1229,0.8333,18
1,within_long_d11,1.0358,0.8231,16
1,within_long_d12,0.9418,0.8032,14
1,within_long_d13,0.9045,0.8058,12
1,within_long_d14,0.941,0.801,10
1,within_long_d15,0.9681,0.8106,8
1,within_long_d16,1.0995,0.8417,6
1,within_long_d17,1.3146,0.9287,4
1,within_long_d18,1.0225,0.885,2
2,within_long,5.5456,0.9355,61200
2,within_short,24.6339,1.0,400
2,cut,-12.1946,0.0,7200
2,cut,-6.9502,0.0,7200
2,within_long_d1,20.3259,1.0,34
2,within_long_d2,12.4347,1.0,32
2,within_long_d3,6.9355,1.0,30
2,within_long_d4,3.9205,0.9988,28
2,within_long_d5,2.6475,0.9942,26
2,within_long_d6,2.0559,0.971,24
2,within_long_d7,1.7924,0.9464,22
2,within_long_d8,1.6012,0.9107,20
2,within_long_d9,1.4434,0.8894,18
2,within_long_d10,1.2792,0.8794,16
2,within_long_d11,1.0989,0.8625,14
2,within_long_d12,0.9429,0.7963,12
2,within_long_d13,0.8876,0.752,10
2,within_long_d14,0.8607,0.7106,8
2,within_long_d15,0.8284,0.6733,6
2,within_long_d16,1.1549,0.8725,4
2,within_long_d17,0.9984,0.8275,2
3,within_long,3.1159,0.5822,54400
3,within_short,6.5702,0.98,1200
3,cut,-3.1742,0.0002,10200
3,cut,-2.5536,0.0001,10200
3,within_long_d1,14.1288,1.0,32
3,within_long_d2,8.5365,1.0,30
3,within_long_d3,4.8179,0.9982,28
3,within_long_d4,2.2434,0.9704,26
3,within_long_d5,1.0053,0.7535,24
3,within_long_d6,0.2987,0.4659,22
3,within_long_d7,-0.0821,0.3083,20
3,within_long_d8,-0.3214,0.2172,18
3,within_long_d9,-0.5256,0.1494,16
3,within_long_d10,-0.7496,0.0971,14
3,within_long_d11,-0.9876,0.0533,12
3,within_long_d12,-1.2283,0.031,10
3,within_long_d13,-1.5649,0.0063,8
3,within_long_d14,-1.8204,0.0033,6
3,within_long_d15,-1.9464,0.0013,4
3,within_long_d16,-1.4706,0.0,2
4,within_long,4.1016,0.7782,48000
4,within_short,6.1128,0.9858,2400
4,cut,-2.3285,0.0126,12800
4,cut,-2.3561,0.0006,12800
4,within_long_d1,14.8844,1.0,30
4,within_long_d2,8.6127,1.0,28
4,within_long_d3,5.2521,1.0,26
4,within_long_d4,3.0302,0.9956,24
4,within_long_d5,1.8928,0.9459,22
4,within_long_d6,1.226,0.8438,20
4,within_long_d7,0.8482,0.7314,18
4,within_long_d8,0.5943,0.6319,16
4,within_long_d9,0.3725,0.5386,14
4,within_long_d10,0.116,0.4267,12
4,within_long_d11,-0.1038,0.2725,10
4,within_long_d12,-0.33,0.1669,8
4,within_long_d13,-0.5462,0.0983,6
4,within_long_d14,-0.6546,0.0875,4
4,within_long_d15,-0.2755,0.125,2
5,within_long,4.7645,0.8061,42000
5,within_short,6.2095,0.9537,4000
5,cut,-0.6132,0.2262,15000
5,cut,-1.5833,0.1227,15000
5,within_long_d1,17.5972,1.0,28
5,within_long_d2,8.8432,1.0,26
5,within_long_d3,5.1425,1.0,24
5,within_long_d4,3.049,0.9957,22
5,within_long_d5,2.0022,0.936,20
5,within_long_d6,1.3486,0.8525,18
5,within_long_d7,0.9502,0.7597,16
5,within_long_d8,0.6715,0.6607,14
5,within_long_d9,0.3865,0.5558,12
5,within_long_d10,0.092,0.3925,10
5,within_long_d11,-0.2401,0.2062,8
5,within_long_d12,-0.4673,0.1133,6
5,within_long_d13,-0.5387,0.1313,4
5,within_long_d14,-0.0955,0.2275,2
6,within_long,5.2751,0.8232,36400
6,within_short,6.7234,0.9357,6000
6,cut,-0.3956,0.2643,16800
6,cut,-1.1427,0.1357,16800
6,within_long_d1,18.166,1.0,26
6,within_long_d2,9.2767,1.0,24
6,within_long_d3,5.4768,1.0,22
6,within_long_d4,3.2408,0.9948,20
6,within_long_d5,2.1361,0.9233,18
6,within_long_d6,1.4262,0.8491,16
6,within_long_d7,0.9583,0.7593,14
6,within_long_d8,0.5851,0.6462,12
6,within_long_d9,0.2588,0.4815,10
6,within_long_d10,-0.0822,0.2913,8
6,within_long_d11,-0.3402,0.1592,6
6,within_long_d12,-0.4383,0.1837,4
6,within_long_d13,-0.0221,0.2525,2
7,within_long,5.7132,0.8095,31200
7,within_short,7.3476,0.9245,8400
7,cut,-0.2174,0.2833,18200
7,cut,-1.2047,0.0824,18200
7,within_long_d1,18.4305,1.0,24
7,within_long_d2,9.7496,1.0,22
7,within_long_d3,5.8314,1.0,20
7,within_long_d4,3.3883,0.9919,18
7,within_long_d5,2.1356,0.8959,16
7,within_long_d6,1.2662,0.7939,14
7,within_long_d7,0.6868,0.6787,12
7,within_long_d8,0.2405,0.4715,10
7,within_long_d9,-0.1537,0.2581,8
7,within_long_d10,-0.4032,0.15,6
7,within_long_d11,-0.4786,0.17,4
7,within_long_d12,-0.0778,0.235,2
8,within_long,6.2431,0.8116,26400
8,within_short,7.6774,0.9058,11200
8,cut,-0.1211,0.3229,19200
8,cut,-1.0791,0.1086,19200
8,within_long_d1,18.676,1.0,22
