split_a,pair_type,mean_hTw,frac_positive,n_pairs
1,within_long,3.8051,0.9698,296400
1,cut,-3.8233,0.0,7800
1,cut,-27.3269,0.0,7800
1,within_long_d1,10.8983,1.0,76
1,within_long_d2,11.9459,1.0,74
1,within_long_d3,11.7846,1.0,72
1,within_long_d4,7.666,1.0,70
1,within_long_d5,6.4352,1.0,68
1,within_long_d6,5.8355,1.0,66
1,within_long_d7,4.925,1.0,64
1,within_long_d8,3.4768,0.9999,62
1,within_long_d9,1.5116,0.9772,60
1,within_long_d10,1.3643,0.9652,58
1,within_long_d11,1.3621,0.964,56
1,within_long_d12,1.3538,0.9621,54
1,within_long_d13,1.344,0.959,52
1,within_long_d14,1.3342,0.961,50
1,within_long_d15,1.3244,0.9584,48
1,within_long_d16,1.3155,0.9589,46
1,within_long_d17,1.3049,0.9558,44
1,within_long_d18,1.2945,0.9542,42
1,within_long_d19,1.2829,0.9515,40
1,within_long_d20,1.2687,0.9489,38
1,within_long_d21,1.2522,0.9439,36
1,within_long_d22,1.2365,0.9422,34
1,within_long_d23,1.2169,0.9373,32
1,within_long_d24,1.1972,0.9355,30
1,within_long_d25,1.1725,0.9329,28
1,within_long_d26,1.1397,0.9262,26
1,within_long_d27,1.0985,0.9204,24
1,within_long_d28,1.049,0.9134,22
1,within_long_d29,1.0084,0.915,20
1,within_long_d30,1.0008,0.9117,18
1,within_long_d31,1.0363,0.9266,16
1,within_long_d32,1.0935,0.9454,14
1,within_long_d33,1.163,0.9625,12
1,within_long_d34,1.2391,0.976,10
1,within_long_d35,1.2966,0.9888,8
1,within_long_d36,1.2609,0.9875,6
1,within_long_d37,1.3734,0.9912,4
1,within_long_d38,1.6601,1.0,2
2,within_long,4.2116,0.9885,281200
2,within_short,34.7786,1.0,400
2,cut,-3.7464,0.0,15200
2,cut,-5.1829,0.0,15200
2,within_long_d1,11.5755,1.0,74
2,within_long_d2,12.6804,1.0,72
2,within_long_d3,12.5207,1.0,70
2,within_long_d4,8.2511,1.0,68
2,within_long_d5,6.9751,1.0,66
2,within_long_d6,6.3484,1.0,64
2,within_long_d7,5.3962,1.0,62
2,within_long_d8,3.8726,1.0,60
2,within_long_d9,1.7569,0.9909,58
2,within_long_d10,1.5729,0.985,56
2,within_long_d11,1.568,0.9866,54
2,within_long_d12,1.5549,0.9862,52
2,within_long_d13,1.5408,0.9833,50
2,within_long_d14,1.5293,0.9848,48
2,within_long_d15,1.5195,0.9846,46
2,within_long_d16,1.5097,0.9827,44
2,within_long_d17,1.497,0.9824,42
2,within_long_d18,1.4846,0.9796,40
2,within_long_d19,1.4722,0.9814,38
2,within_long_d20,1.4594,0.9785,36
2,within_long_d21,1.4427,0.9793,34
2,within_long_d22,1.424,0.9781,32
2,within_long_d23,1.4024,0.9762,30
2,within_long_d24,1.3777,0.9773,28
2,within_long_d25,1.3425,0.9744,26
2,within_long_d26,1.2967,0.9704,24
2,within_long_d27,1.2396,0.9677,22
2,within_long_d28,1.1884,0.9677,20
2,within_long_d29,1.1728,0.9633,18
