split_a,pair_type,mean_cos,frac_positive,n_pairs
9,within_long_d13,0.2735,1.0,74
9,within_long_d14,0.2525,0.9997,74
9,within_long_d15,0.227,0.9961,74
9,within_long_d16,0.195,0.9403,74
9,within_long_d17,0.1601,0.8418,74
9,within_long_d18,0.1359,0.6296,74
10,within_long,0.4232,0.9867,252000
10,within_short,0.9745,1.0,18000
10,cut,-0.4688,0.0,72000
10,cut,-0.4688,0.0,72000
10,within_long_d1,0.9221,1.0,72
10,within_long_d2,0.8035,1.0,72
10,within_long_d3,0.6923,1.0,72
10,within_long_d4,0.5996,1.0,72
10,within_long_d5,0.5275,1.0,72
10,within_long_d6,0.4672,1.0,72
10,within_long_d7,0.4179,1.0,72
10,within_long_d8,0.384,1.0,72
10,within_long_d9,0.3561,1.0,72
10,within_long_d10,0.3388,1.0,72
10,within_long_d11,0.3232,1.0,72
10,within_long_d12,0.3087,1.0,72
10,within_long_d13,0.2902,1.0,72
10,within_long_d14,0.2696,1.0,72
10,within_long_d15,0.2433,0.999,72
10,within_long_d16,0.2098,0.9756,72
10,within_long_d17,0.1732,0.9025,72
10,within_long_d18,0.1573,0.7786,36
11,within_long,0.4234,0.9992,238000
11,within_short,0.9675,1.0,22000
11,cut,-0.459,0.0,77000
11,cut,-0.459,0.0,77000
11,within_long_d1,0.9195,1.0,70
11,within_long_d2,0.7983,1.0,70
11,within_long_d3,0.6853,1.0,70
11,within_long_d4,0.591,1.0,70
11,within_long_d5,0.5174,1.0,70
11,within_long_d6,0.4553,1.0,70
11,within_long_d7,0.4047,1.0,70
11,within_long_d8,0.3705,1.0,70
11,within_long_d9,0.3432,1.0,70
11,within_long_d10,0.3277,1.0,70
11,within_long_d11,0.3143,1.0,70
11,within_long_d12,0.3016,1.0,70
11,within_long_d13,0.2841,1.0,70
11,within_long_d14,0.2643,1.0,70
11,within_long_d15,0.2384,1.0,70
11,within_long_d16,0.2049,0.9987,70
11,within_long_d17,0.1775,0.9869,70
12,within_long,0.4214,1.0,224400
12,within_short,0.9556,1.0,26400
12,cut,-0.4459,0.0,81600
12,cut,-0.4459,0.0,81600
12,within_long_d1,0.9179,1.0,68
12,within_long_d2,0.7934,1.0,68
12,within_long_d3,0.6776,1.0,68
12,within_long_d4,0.5807,1.0,68
12,within_long_d5,0.5051,1.0,68
12,within_long_d6,0.4419,1.0,68
12,within_long_d7,0.3912,1.0,68
12,within_long_d8,0.3583,1.0,68
12,within_long_d9,0.3324,1.0,68
12,within_long_d10,0.3183,1.0,68
12,within_long_d11,0.3062,1.0,68
12,within_long_d12,0.2934,1.0,68
12,within_long_d13,0.2746,1.0,68
12,within_long_d14,0.2521,1.0,68
12,within_long_d15,0.2228,1.0,68
12,within_long_d16,0.1958,1.0,68
12,within_long_d17,0.1832,1.0,34
13,within_long,0.4379,1.0,211200
13,within_short,0.9409,1.0,31200
13,cut,-0.4399,0.0,85800
13,cut,-0.4399,0.0,85800
13,within_long_d1,0.9174,1.0,66
13,within_long_d2,0.7931,1.0,66
13,within_long_d3,0.6783,1.0,66
13,within_long_d4,0.5823,1.0,66
13,within_long_d5,0.5077,1.0,66
13,within_long_d6,0.4455,1.0,66
13,within_long_d7,0.3961,1.0,66
13,within_long_d8,0.3652,1.0,66
13,within_long_d9,0.3413,1.0,66
13,within_long_d10,0.3289,1.0,66
13,within_long_d11,0.3177,1.0,66
13,within_long_d12,0.3051,1.0,66
13,within_long_d13,0.286,1.0,66
13,within_long_d14,0.2632,1.0,66
13,within_long_d15,0.2438,1.0,66
13,within_long_d16,0.2343,1.0,66
14,within_long,0.4544,1.0,198400
14,within_short,0.884,1.0,36400
14,cut,-0.2068,0.0,89600
14,cut,-0.2068,0.0,89600
14,within_long_d1,0.9181,1.0,64
14,within_long_d2,0.7936,1.0,64
14,within_long_d3,0.6786,1.0,64
14,within_long_d4,0.5831,1.0,64
14,within_long_d5,0.5098,1.0,64
14,within_long_d6,0.4497,1.0,64
14,within_long_d7,0.403,1.0,64
14,within_long_d8,0.3746,1.0,64
14,within_long_d9,0.3527,1.0,64
14,within_long_d10,0.3411,1.0,64
14,within_long_d11,0.3297,1.0,64
14,within_long_d12,0.3162,1.0,64
14,within_long_d13,0.2954,1.0,64
14,within_long_d14,0.2803,1.0,64
14,within_long_d15,0.2769,1.0,64
14,within_long_d16,0.2797,1.0,32
15,within_long,0.4727,1.0,186000
15,within_short,0.8416,1.0,42000
15,cut,-0.163,0.0002,93000
15,cut,-0.163,0.0002,93000
15,within_long_d1,0.9167,1.0,62
15,within_long_d2,0.7923,1.0,62
15,within_long_d3,0.6781,1.0,62
15,within_long_d4,0.5839,1.0,62
15,within_long_d5,0.5125,1.0,62
15,within_long_d6,0.4546,1.0,62
15,within_long_d7,0.41,1.0,62
15,within_long_d8,0.3835,1.0,62
15,within_long_d9,0.363,1.0,62
15,within_long_d10,0.3523,1.0,62
15,within_long_d11,0.3415,1.0,62
15,within_long_d12,0.3284,1.0,62
15,within_long_d13,0.3183,1.0,62
15,within_long_d14,0.3222,1.0,62
15,within_long_d15,0.3325,1.0,62
16,within_long,0.4942,1.0,174000
16,within_short,0.8051,1.0,48000
16,cut,-0.1314,0.0012,96000
16,cut,-0.1314,0.0012,96000
16,within_long_d1,0.9174,1.0,60
16,within_long_d2,0.7941,1.0,60
16,within_long_d3,0.6816,1.0,60
16,within_long_d4,0.5897,1.0,60
16,within_long_d5,0.5209,1.0,60
16,within_long_d6,0.4656,1.0,60
16,within_long_d7,0.4233,1.0,60
16,within_long_d8,0.3981,1.0,60
16,within_long_d9,0.3778,1.0,60
16,within_long_d10,0.3666,1.0,60
16,within_long_d11,0.3551,1.0,60
16,within_long_d12,0.3516,1.0,60
16,within_long_d13,0.3586,1.0,60
16,within_long_d14,0.375,1.0,60
16,within_long_d15,0.3822,1.0,30
17,within_long,0.5162,1.0,162400
17,within_short,0.7801,1.0,54400
17,cut,-0.1186,0.0022,98600
17,cut,-0.1186,0.0022,98600
17,within_long_d1,0.9186,1.0,58
17,within_long_d2,0.7971,1.0,58
17,within_long_d3,0.6869,1.0,58
17,within_long_d4,0.5975,1.0,58
17,within_long_d5,0.531,1.0,58
17,within_long_d6,0.4775,1.0,58
17,within_long_d7,0.4363,1.0,58
17,within_long_d8,0.4115,1.0,58
17,within_long_d9,0.3909,1.0,58
17,within_long_d10,0.3789,1.0,58
17,within_long_d11,0.3766,1.0,58
17,within_long_d12,0.3902,1.0,58
17,within_long_d13,0.4102,1.0,58
17,within_long_d14,0.4236,1.0,58
18,within_long,0.5371,1.0,151200
18,within_short,0.7566,1.0,61200
18,cut,-0.1358,0.0001,100800
18,cut,-0.1358,0.0001,100800
18,within_long_d1,0.9191,1.0,56
18,within_long_d2,0.7992,1.0,56
18,within_long_d3,0.6913,1.0,56
18,within_long_d4,0.6044,1.0,56
18,within_long_d5,0.5401,1.0,56
18,within_long_d6,0.488,1.0,56
18,within_long_d7,0.4471,1.0,56
18,within_long_d8,0.422,1.0,56
18,within_long_d9,0.4007,1.0,56
18,within_long_d10,0.3983,1.0,56
18,within_long_d11,0.4133,1.0,56
18,within_long_d12,0.4395,1.0,56
18,within_long_d13,0.4563,1.0,56
18,within_long_d14,0.4625,1.0,28
19,within_long,0.56,1.0,140400
19,within_short,0.7318,1.0,68400
19,cut,-0.1358,0.0004,102600
19,cut,-0.1358,0.0004,102600
19,within_long_d1,0.9198,1.0,54
19,within_long_d2,0.8025,1.0,54
19,within_long_d3,0.6976,1.0,54
19,within_long_d4,0.6135,1.0,54
19,within_long_d5,0.5509,1.0,54
19,within_long_d6,0.4995,1.0,54
19,within_long_d7,0.4587,1.0,54
19,within_long_d8,0.4334,1.0,54
19,within_long_d9,0.422,1.0,54
19,within_long_d10,0.4366,1.0,54
19,within_long_d11,0.4635,1.0,54
19,within_long_d12,0.4862,1.0,54
19,within_long_d13,0.4954,1.0,54
20,within_long,0.5797,1.0,130000
20,within_short,0.6984,1.0,76000
20,cut,-0.1321,0.0012,104000
20,cut,-0.1321,0.0012,104000
20,within_long_d1,0.921,1.0,52
20,within_long_d2,0.8053,1.0,52
20,within_long_d3,0.7017,1.0,52
20,within_long_d4,0.6182,1.0,52
20,within_long_d5,0.5558,1.0,52
20,within_long_d6,0.5043,1.0,52
20,within_long_d7,0.4633,1.0,52
20,within_long_d8,0.4478,1.0,52
20,within_long_d9,0.4539,1.0,52
20,within_long_d10,0.4817,1.0,52
20,within_long_d11,0.5068,1.0,52
20,within_long_d12,0.5233,1.0,52
20,within_long_d13,0.5269,1.0,26
21,within_long,0.5991,1.0,120000
21,within_short,0.6766,1.0,84000
21,cut,-0.1288,0.0006,105000
21,cut,-0.1288,0.0006,105000
21,within_long_d1,0.9209,1.0,50
21,within_long_d2,0.8066,1.0,50
21,within_long_d3,0.7046,1.0,50
21,within_long_d4,0.6222,1.0,50
21,within_long_d5,0.5605,1.0,50
21,within_long_d6,0.5094,1.0,50
21,within_long_d7,0.4787,1.0,50
21,within_long_d8,0.4803,1.0,50
21,within_long_d9,0.4981,1.0,50
21,within_long_d10,0.5219,1.0,50
21,within_long_d11,0.5385,1.0,50
21,within_long_d12,0.5475,1.0,50
22,within_long,0.6154,1.0,110400
22,within_short,0.6516,1.0,92400
22,cut,-0.1272,0.0003,105600
22,cut,-0.1272,0.0003,105600
22,within_long_d1,0.922,1.0,48
22,within_long_d2,0.8062,1.0,48
22,within_long_d3,0.7021,1.0,48
22,within_long_d4,0.6179,1.0,48
22,within_long_d5,0.5547,1.0,48
22,within_long_d6,0.5134,1.0,48
22,within_long_d7,0.5012,1.0,48
22,within_long_d8,0.5174,1.0,48
22,within_long_d9,0.5352,1.0,48
22,within_long_d10,0.5543,1.0,48
22,within_long_d11,0.5664,1.0,48
22,within_long_d12,0.5729,1.0,24
23,within_long,0.6321,1.0,101200
23,within_short,0.6351,1.0,101200
23,cut,-0.1257,0.0004,105800
23,cut,-0.1257,0.0004,105800
23,within_long_d1,0.9208,1.0,46
23,within_long_d2,0.806,1.0,46
23,within_long_d3,0.7031,1.0,46
23,within_long_d4,0.6201,1.0,46
23,within_long_d5,0.5678,1.0,46
23,within_long_d6,0.5433,1.0,46
23,within_long_d7,0.5409,1.0,46
23,within_long_d8,0.5509,1.0,46
23,within_long_d9,0.558,1.0,46
23,within_long_d10,0.5676,1.0,46
23,within_long_d11,0.5748,1.0,46
