split_a,stage,quantity,value
4,H0,mu_short,0.48567
4,H0,mu_long_near,0.12351
4,H0,mu_long_far,-0.00061
4,H0,mu_cross,-0.01234
4,H0,M_far,0.01174
4,Hattn1,mu_short,0.82966
4,Hattn1,mu_long_near,0.24549
4,Hattn1,mu_long_far,-0.00035
4,Hattn1,mu_cross,0.00183
4,Hattn1,M_far,-0.00218
4,H1,mu_short,0.84742
4,H1,mu_long_near,0.39632
4,H1,mu_long_far,0.17365
4,H1,mu_cross,0.05897
4,H1,M_far,0.11468
4,Hattn2,mu_short,0.97441
4,Hattn2,mu_long_near,0.82171
4,Hattn2,mu_long_far,0.43322
4,Hattn2,mu_cross,0.38209
4,Hattn2,M_far,0.05113
4,H2,mu_short,0.96951
4,H2,mu_long_near,0.96507
4,H2,mu_long_far,0.93036
4,H2,mu_cross,-0.51925
4,H2,M_far,1.44961
8,H0,mu_short,0.23827
8,H0,mu_long_near,0.12485
8,H0,mu_long_far,-0.00122
8,H0,mu_cross,-0.00518
8,H0,M_far,0.00396
8,Hattn1,mu_short,0.48408
8,Hattn1,mu_long_near,0.24809
8,Hattn1,mu_long_far,0.00033
8,Hattn1,mu_cross,0.00082
8,Hattn1,M_far,-0.00049
8,H1,mu_short,0.32813
8,H1,mu_long_near,0.39246
8,H1,mu_long_far,0.16527
8,H1,mu_cross,0.08767
8,H1,M_far,0.0776
8,Hattn2,mu_short,0.8602
8,Hattn2,mu_long_near,0.82144
8,Hattn2,mu_long_far,0.42715
8,Hattn2,mu_cross,0.44768
8,Hattn2,M_far,-0.02053
8,H2,mu_short,0.8889
8,H2,mu_long_near,0.94658
8,H2,mu_long_far,0.89187
8,H2,mu_cross,-0.61106
8,H2,M_far,1.50293
10,H0,mu_short,0.19072
10,H0,mu_long_near,0.12549
10,H0,mu_long_far,-0.00145
10,H0,mu_cross,-0.00379
10,H0,M_far,0.00234
10,Hattn1,mu_short,0.38944
10,Hattn1,mu_long_near,0.24932
10,Hattn1,mu_long_far,-0.00074
10,Hattn1,mu_cross,0.00193
10,Hattn1,M_far,-0.00268
10,H1,mu_short,0.26837
10,H1,mu_long_near,0.38983
10,H1,mu_long_far,0.16057
10,H1,mu_cross,0.11053
10,H1,M_far,0.05005
10,Hattn2,mu_short,0.84943
10,Hattn2,mu_long_near,0.81493
10,Hattn2,mu_long_far,0.40418
10,Hattn2,mu_cross,0.37121
10,Hattn2,M_far,0.03298
10,H2,mu_short,0.90234
10,H2,mu_long_near,0.89467
10,H2,mu_long_far,0.78891
10,H2,mu_cross,-0.44865
10,H2,M_far,1.23756
23,H0,mu_short,0.08398
23,H0,mu_long_near,0.13373
23,H0,mu_long_far,-0.00487
23,H0,mu_cross,-0.00155
23,H0,M_far,-0.00332
23,Hattn1,mu_short,0.17051
23,Hattn1,mu_long_near,0.26615
23,Hattn1,mu_long_far,0.00155
23,Hattn1,mu_cross,0.00221
23,Hattn1,M_far,-0.00066
23,H1,mu_short,0.26768
23,H1,mu_long_near,0.35883
23,H1,mu_long_far,0.10702
23,H1,mu_cross,0.15307
23,H1,M_far,-0.04606
23,Hattn2,mu_short,0.68515
23,Hattn2,mu_long_near,0.82882
23,Hattn2,mu_long_far,0.42585
23,Hattn2,mu_cross,0.34667
23,Hattn2,M_far,0.07919
23,H2,mu_short,0.7653
23,H2,mu_long_near,0.83054
23,H2,mu_long_far,0.65328
23,H2,mu_cross,0.71179
23,H2,M_far,-0.05851
