condition,split_a,exact,reach_long,reach_short,cut
baseline,1,0.0067,0.9206,nan,1.0
baseline,4,0.0,0.7738,0.9844,0.994
baseline,7,0.0,0.8161,0.9311,0.7997
baseline,8,0.0,0.8107,0.8952,0.7997
baseline,10,0.0,0.8327,0.8418,0.8235
zero_attn0,1,0.0,0.1301,nan,1.0
zero_attn0,4,0.0,0.1138,0.395,0.9871
zero_attn0,7,0.0,0.1298,0.22,0.9756
zero_attn0,8,0.0,0.1427,0.1876,0.9752
zero_attn0,10,0.0,0.1599,0.1596,0.9757
zero_attn1,1,0.0,0.2383,nan,0.5154
zero_attn1,4,0.0,0.2396,0.9328,0.8647
zero_attn1,7,0.0,0.2928,0.5952,0.9086
zero_attn1,8,0.0,0.3191,0.5131,0.905
zero_attn1,10,0.0,0.3902,0.3828,0.9151
zero_mlp0,1,0.0,0.98,nan,0.4823
zero_mlp0,4,0.0,0.9615,1.0,0.1091
zero_mlp0,7,0.0,0.967,0.9797,0.0385
zero_mlp0,8,0.0,0.9668,0.9731,0.0414
zero_mlp0,10,0.0,0.9631,0.9675,0.0449
zero_mlp1,1,0.0,0.8775,nan,0.4651
zero_mlp1,4,0.0,0.6811,0.1878,0.5841
zero_mlp1,7,0.0,0.7648,0.9408,0.6076
zero_mlp1,8,0.0,0.8252,0.9424,0.6536
zero_mlp1,10,0.0,0.8956,0.8966,0.6967
bypass,1,0.0,0.7181,nan,0.6326
bypass,4,0.0,0.7244,0.6378,0.4108
bypass,7,0.0,0.7041,0.6752,0.3523
bypass,8,0.0,0.7024,0.69,0.3473
bypass,10,0.0,0.6923,0.7021,0.3439
